label,cond,abs_disc,eqn
14080.c.225280.1,14080,225280,"[[44,0,-76,55,-13,1],[]]"
141312.a.282624.1,141312,282624,"[[-1,3,0,-3,2,2],[]]"
14336.a.917504.1,14336,917504,"[[56,0,31,0,5],[0,0,0,1]]"
14336.b.917504.1,14336,917504,"[[-56,0,31,0,-5],[0,0,0,1]]"
14464.c.462848.1,14464,462848,"[[-113,0,72,0,-15,0,1],[0,1]]"
14464.c.462848.2,14464,462848,"[[113,0,72,0,15,0,1],[0,1]]"
14464.d.925696.1,14464,925696,"[[-1,1,4,-1,-3],[0,1,0,1]]"
14592.d.933888.1,14592,933888,"[[6,-14,1,12,0,-4,-1],[]]"
146432.a.585728.1,146432,585728,"[[0,2,12,15,-9,1],[]]"
14656.c.937984.1,14656,937984,"[[0,1,-3,-4,1,1],[]]"
1472.a.94208.1,1472,94208,"[[-3,7,-1,-4,-3,4],[]]"
1472.a.94208.2,1472,94208,"[[0,2,4,0,1,4],[1]]"
147456.a.884736.1,147456,884736,"[[-2,0,7,-1,-6,2],[]]"
147456.b.884736.1,147456,884736,"[[2,0,-7,-1,6,2],[]]"
147456.c.884736.1,147456,884736,"[[0,3,0,5,0,2],[]]"
147456.d.884736.1,147456,884736,"[[2,6,-1,-7,0,2],[]]"
147456.e.884736.1,147456,884736,"[[0,6,0,-5,0,1],[]]"
147456.f.884736.1,147456,884736,"[[-2,6,1,-7,0,2],[]]"
14848.e.950272.1,14848,950272,"[[-2,4,-1,-6,1,2],[]]"
14848.f.950272.1,14848,950272,"[[2,4,1,-6,-1,2],[]]"
148480.c.593920.1,148480,593920,"[[1,-2,0,-1,2,2],[]]"
150528.d.602112.1,150528,602112,"[[1,4,1,-7,0,2],[]]"
15104.b.241664.1,15104,241664,"[[0,-1,1,-2,1,1],[]]"
15104.b.483328.1,15104,483328,"[[4,20,31,8,-8,1],[]]"
15104.c.966656.1,15104,966656,"[[0,1,-5,0,3,1],[]]"
15104.d.966656.1,15104,966656,"[[1,3,2,-3,-1],[0,1,0,1]]"
151552.a.151552.1,151552,151552,"[[0,1,-2,2,0,1],[]]"
151552.b.151552.1,151552,151552,"[[0,1,2,2,0,1],[]]"
1536.a.12288.1,1536,12288,"[[0,2,-4,5,-3,1],[]]"
1536.b.49152.1,1536,49152,"[[-12,0,11,0,-3],[0,0,0,1]]"
1536.b.49152.2,1536,49152,"[[12,0,11,0,3],[0,0,0,1]]"
1536.c.98304.1,1536,98304,"[[1,-4,-5,14,3,-12,4],[1]]"
15360.c.61440.1,15360,61440,"[[0,-1,-2,-1,0,1],[]]"
15360.d.61440.1,15360,61440,"[[-1,-3,-3,-1,1,1],[]]"
15360.d.983040.1,15360,983040,"[[30,0,37,0,15,0,2],[]]"
15360.d.983040.2,15360,983040,"[[-30,0,37,0,-15,0,2],[]]"
15360.e.245760.1,15360,245760,"[[-24,28,11,-18,0,2],[0,0,0,1]]"
15360.e.61440.1,15360,61440,"[[0,-1,2,-1,0,1],[]]"
15360.f.61440.1,15360,61440,"[[1,-3,3,-1,-1,1],[]]"
15360.f.983040.1,15360,983040,"[[-2,0,15,0,-37,0,30],[]]"
15360.f.983040.2,15360,983040,"[[-30,0,-37,0,-15,0,-2],[]]"
15360.g.61440.1,15360,61440,"[[0,2,-4,-1,3,1],[]]"
15360.h.184320.1,15360,184320,"[[1,3,0,-5,-1,2],[]]"
15360.i.184320.1,15360,184320,"[[-1,3,0,-5,1,2],[]]"
15360.j.491520.1,15360,491520,"[[120,0,47,0,6],[0,0,0,1]]"
15360.j.491520.2,15360,491520,"[[-120,0,47,0,-6],[0,0,0,1]]"
15488.d.495616.1,15488,495616,"[[0,0,1,-2,1],[1,1,1,1]]"
155648.a.622592.1,155648,622592,"[[0,-2,-4,-3,0,1],[]]"
155648.b.622592.1,155648,622592,"[[0,-2,4,-3,0,1],[]]"
15616.b.249856.1,15616,249856,"[[-1,0,0,0,1],[1,1,1,1]]"
15616.c.999424.1,15616,999424,"[[-1,-2,3,4,-3,2],[]]"
15616.d.999424.1,15616,999424,"[[-2,2,-5,4,-3,2],[]]"
15616.e.999424.1,15616,999424,"[[2,2,5,4,3,2],[]]"
15744.a.503808.1,15744,503808,"[[-4,8,-1,-4,0,1],[0,0,0,1]]"
157696.a.315392.1,157696,315392,"[[2,1,-2,4,-2,1],[]]"
157696.b.315392.1,157696,315392,"[[-2,1,2,4,2,1],[]]"
159744.a.319488.1,159744,319488,"[[-1,4,-6,7,-4,2],[]]"
159744.b.319488.1,159744,319488,"[[-1,-1,0,3,3,2],[]]"
159744.c.319488.1,159744,319488,"[[1,-1,0,3,-3,2],[]]"
159744.d.958464.1,159744,958464,"[[-1,0,6,-3,-8,6],[]]"
159744.e.958464.1,159744,958464,"[[0,6,2,-5,-1,1],[]]"
159744.f.958464.1,159744,958464,"[[6,-17,0,15,1,-4,-1],[]]"
159744.g.958464.1,159744,958464,"[[-1,-8,-20,-15,0,2],[]]"
159744.h.958464.1,159744,958464,"[[1,7,14,3,-9,2],[]]"
159744.i.958464.1,159744,958464,"[[-1,7,-14,3,9,2],[]]"
1600.a.409600.1,1600,409600,"[[-1,0,-2,0,0,0,1],[]]"
1600.b.409600.1,1600,409600,"[[-1,0,4,0,-4,0,1],[]]"
16000.a.512000.1,16000,512000,"[[0,-2,3,8,-17,4],[1]]"
16128.g.774144.1,16128,774144,"[[2,-1,1,2,-1,1],[]]"
1624.a.831488.1,1624,831488,"[[1,1,2,2,0,1],[0,1,0,1]]"
16384.a.32768.1,16384,32768,"[[0,2,0,3,0,1],[]]"
163840.a.327680.1,163840,327680,"[[0,2,0,0,2,1],[]]"
