source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 65280, 61880, 46920, 59670 ] | perm=[ 4, 3, 1, 2 ] | eps=[1,1,1] | full=false | rho=96/91 sigma=9/8 tau=21/13 | intermediate=324/169 | F=[54043/4732,865378404/68574961,69201135/4845568,3532005/114244] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 65280, 61880, 59670, 46920 ] | perm=[ 4, 3, 2, 1 ] | eps=[-1,-1,1] | full=false | rho=-96/91 sigma=-21/13 tau=9/8 | intermediate=324/169 | F=[85/1183,-743580/68574961,37179/28561,-397953/4845568] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 65280, 61880, 59670, 46920 ] | perm=[ 4, 3, 2, 1 ] | eps=[-1,1,-1] | full=false | rho=-96/91 sigma=21/13 tau=-9/8 | intermediate=324/169 | F=[85/4732,-4856220/68574961,132651/114244,-728433/4845568] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 65280, 61880, 59670, 46920 ] | perm=[ 4, 3, 2, 1 ] | eps=[1,-1,-1] | full=false | rho=96/91 sigma=-21/13 tau=-9/8 | intermediate=324/169 | F=[187/1183,5836644/68574961,43605/28561,130815/4845568] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 65280, 61880, 59670, 46920 ] | perm=[ 4, 3, 2, 1 ] | eps=[1,1,1] | full=false | rho=96/91 sigma=21/13 tau=9/8 | intermediate=324/169 | F=[54043/4732,865378404/68574961,3532005/114244,69201135/4845568] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 44205, 60270, 61698, 63150 ] | perm=[ 1, 2, 3, 4 ] | eps=[-1,-1,1] | full=false | rho=-421/574 sigma=287/88 tau=-421/176 | intermediate=177241/30976 | F=[-2008125/1270016,649252725631875/420322770678272,3663106875/119939072,-355922083125/39340015616] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 44205, 60270, 61698, 63150 ] | perm=[ 1, 2, 3, 4 ] | eps=[-1,1,-1] | full=false | rho=-421/574 sigma=-287/88 tau=421/176 | intermediate=177241/30976 | F=[-18176859/8890112,544464708557211/420322770678272,3071889171/119939072,-3221684666019/275380109312] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 44205, 60270, 61698, 63150 ] | perm=[ 1, 2, 3, 4 ] | eps=[1,-1,-1] | full=false | rho=421/574 sigma=287/88 tau=421/176 | intermediate=177241/30976 | F=[222755625/8890112,6672361624475625/420322770678272,37645700625/119939072,39481429730625/275380109312] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 44205, 60270, 61698, 63150 ] | perm=[ 1, 2, 3, 4 ] | eps=[1,1,1] | full=false | rho=421/574 sigma=-287/88 tau=-421/176 | intermediate=177241/30976 | F=[6930175/1270016,2240615005468225/420322770678272,12641629225/119939072,1228311147175/39340015616] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 44205, 60270, 63150, 61698 ] | perm=[ 1, 2, 4, 3 ] | eps=[-1,-1,1] | full=false | rho=-421/574 sigma=421/176 tau=-287/88 | intermediate=177241/30976 | F=[-18176859/8890112,544464708557211/420322770678272,-3221684666019/275380109312,3071889171/119939072] | q=[0,0,0,0]
