CONTACT6_M612_TB_RECOVERY_HEIGHT_SIEVE H=100000 modulus=111469 masks=23
SURVIVOR branch=-1 n=87232 d=72127
SURVIVOR branch=-1 n=55225 d=72157
SURVIVOR branch=-1 n=81011 d=72329
SURVIVOR branch=-1 n=64846 d=72343
SURVIVOR branch=-1 n=33920 d=73049
SURVIVOR branch=-1 n=96959 d=73474
SURVIVOR branch=-1 n=33833 d=73747
SURVIVOR branch=-1 n=63029 d=73788
SURVIVOR branch=-1 n=91769 d=73953
SURVIVOR branch=-1 n=16756 d=74715
SURVIVOR branch=-1 n=45899 d=74750
SURVIVOR branch=-1 n=72267 d=75071
SURVIVOR branch=-1 n=7874 d=75073
SURVIVOR branch=-1 n=43586 d=75339
SURVIVOR branch=-1 n=40533 d=75833
SURVIVOR branch=-1 n=31077 d=76205
SURVIVOR branch=-1 n=90668 d=76211
SURVIVOR branch=-1 n=68191 d=76853
SURVIVOR branch=-1 n=55976 d=77073
SURVIVOR branch=-1 n=79277 d=77178
SURVIVOR branch=-1 n=96491 d=77786
SURVIVOR branch=-1 n=98879 d=78064
SURVIVOR branch=-1 n=55587 d=78269
SURVIVOR branch=-1 n=32045 d=78493
SURVIVOR branch=-1 n=38364 d=78773
SURVIVOR branch=-1 n=16202 d=79237
SURVIVOR branch=-1 n=39204 d=79477
SURVIVOR branch=-1 n=18672 d=79477
SURVIVOR branch=-1 n=24236 d=80019
SURVIVOR branch=-1 n=2759 d=80032
SURVIVOR branch=-1 n=28853 d=80083
SURVIVOR branch=-1 n=42453 d=80155
SURVIVOR branch=-1 n=57528 d=80401
SURVIVOR branch=-1 n=6997 d=80723
SURVIVOR branch=-1 n=73982 d=81075
SURVIVOR branch=-1 n=37298 d=81143
SURVIVOR branch=-1 n=36941 d=81670
SURVIVOR branch=-1 n=46325 d=82087
SURVIVOR branch=-1 n=118 d=82087
SURVIVOR branch=-1 n=10437 d=82160
SURVIVOR branch=-1 n=91449 d=82465
SURVIVOR branch=-1 n=88741 d=82689
SURVIVOR branch=-1 n=47150 d=82713
SURVIVOR branch=-1 n=74909 d=83105
SURVIVOR branch=-1 n=72284 d=83581
SURVIVOR branch=-1 n=39649 d=83601
SURVIVOR branch=-1 n=8235 d=83614
SURVIVOR branch=-1 n=60353 d=83660
SURVIVOR branch=-1 n=48091 d=83720
SURVIVOR branch=-1 n=5368 d=83987
SURVIVOR branch=-1 n=77992 d=84075
SURVIVOR branch=-1 n=81184 d=84419
SURVIVOR branch=-1 n=32567 d=84664
SURVIVOR branch=-1 n=56265 d=85238
SURVIVOR branch=-1 n=83315 d=85362
SURVIVOR branch=-1 n=31410 d=85561
SURVIVOR branch=-1 n=33325 d=85608
SURVIVOR branch=-1 n=36866 d=85789
SURVIVOR branch=-1 n=67633 d=86078
SURVIVOR branch=-1 n=79084 d=86505
SURVIVOR branch=-1 n=19381 d=87330
SURVIVOR branch=-1 n=70277 d=88333
SURVIVOR branch=-1 n=22345 d=88638
SURVIVOR branch=-1 n=60265 d=88924
SURVIVOR branch=-1 n=37877 d=89346
SURVIVOR branch=-1 n=30115 d=89412
SURVIVOR branch=-1 n=53062 d=90253
SURVIVOR branch=-1 n=12118 d=90335
SURVIVOR branch=-1 n=34534 d=90807
SURVIVOR branch=-1 n=47995 d=91124
SURVIVOR branch=-1 n=81940 d=91321
SURVIVOR branch=-1 n=68867 d=91403
SURVIVOR branch=-1 n=46269 d=91421
SURVIVOR branch=-1 n=60350 d=91759
SURVIVOR branch=-1 n=22831 d=91836
SURVIVOR branch=-1 n=90285 d=92128
SURVIVOR branch=-1 n=49319 d=92424
SURVIVOR branch=-1 n=66709 d=92617
SURVIVOR branch=-1 n=41837 d=92624
SURVIVOR branch=-1 n=59189 d=92701
SURVIVOR branch=-1 n=86197 d=92983
SURVIVOR branch=-1 n=56066 d=93059
SURVIVOR branch=-1 n=43945 d=93162
SURVIVOR branch=-1 n=12442 d=93699
SURVIVOR branch=-1 n=23370 d=93811
SURVIVOR branch=-1 n=38236 d=93873
SURVIVOR branch=-1 n=7387 d=94129
SURVIVOR branch=-1 n=29011 d=94341
SURVIVOR branch=-1 n=53995 d=94418
SURVIVOR branch=-1 n=12104 d=94521
SURVIVOR branch=-1 n=87394 d=94555
SURVIVOR branch=-1 n=52601 d=94670
SURVIVOR branch=-1 n=87699 d=95119
SURVIVOR branch=-1 n=96363 d=95311
SURVIVOR branch=-1 n=12201 d=95710
SURVIVOR branch=-1 n=27559 d=95902
SURVIVOR branch=-1 n=93596 d=96073
SURVIVOR branch=-1 n=42228 d=97249
SURVIVOR branch=-1 n=19981 d=98271
SURVIVOR branch=-1 n=49385 d=98411
SURVIVOR branch=-1 n=48389 d=98763
SURVIVOR branch=-1 n=21594 d=98851
SURVIVOR branch=-1 n=74341 d=98963
SURVIVOR branch=-1 n=95027 d=99517
SURVIVOR branch=-1 n=57688 d=99561
SURVIVOR branch=-1 n=17125 d=99858
BRANCH_DONE branch=-1 crt=178277260 interval=159969346 primitive=96433806 survivors=309
SURVIVOR branch=1 n=0 d=1
SURVIVOR branch=1 n=1 d=1
SURVIVOR branch=1 n=3 d=1
SURVIVOR branch=1 n=41184 d=61
SURVIVOR branch=1 n=79059 d=343
SURVIVOR branch=1 n=66992 d=413
SURVIVOR branch=1 n=29388 d=583
SURVIVOR branch=1 n=71111 d=960
SURVIVOR branch=1 n=57872 d=1169
SURVIVOR branch=1 n=70960 d=1219
SURVIVOR branch=1 n=53801 d=1394
SURVIVOR branch=1 n=44929 d=2125
SURVIVOR branch=1 n=23987 d=2201
SURVIVOR branch=1 n=82869 d=2276
SURVIVOR branch=1 n=18530 d=2581
SURVIVOR branch=1 n=14938 d=2741
SURVIVOR branch=1 n=83614 d=2745
SURVIVOR branch=1 n=66461 d=2774
SURVIVOR branch=1 n=47436 d=3143
SURVIVOR branch=1 n=82160 d=3479
SURVIVOR branch=1 n=48472 d=3813
SURVIVOR branch=1 n=95710 d=4067
SURVIVOR branch=1 n=58873 d=4248
SURVIVOR branch=1 n=18157 d=4834
SURVIVOR branch=1 n=18512 d=4929
SURVIVOR branch=1 n=10507 d=4946
SURVIVOR branch=1 n=4795 d=6068
SURVIVOR branch=1 n=43 d=6094
SURVIVOR branch=1 n=79477 d=6224
SURVIVOR branch=1 n=72240 d=6401
SURVIVOR branch=1 n=56722 d=6467
SURVIVOR branch=1 n=98851 d=7198
SURVIVOR branch=1 n=12631 d=7216
SURVIVOR branch=1 n=71764 d=7225
SURVIVOR branch=1 n=25705 d=7598
SURVIVOR branch=1 n=93811 d=7790
SURVIVOR branch=1 n=56687 d=8364
SURVIVOR branch=1 n=21722 d=9163
SURVIVOR branch=1 n=21995 d=9164
SURVIVOR branch=1 n=50327 d=9563
SURVIVOR branch=1 n=69483 d=9955
SURVIVOR branch=1 n=90381 d=10132
SURVIVOR branch=1 n=69046 d=10209
SURVIVOR branch=1 n=76205 d=10359
SURVIVOR branch=1 n=85561 d=10470
SURVIVOR branch=1 n=46379 d=10492
SURVIVOR branch=1 n=5969 d=10545
SURVIVOR branch=1 n=55022 d=10617
SURVIVOR branch=1 n=29299 d=11297
SURVIVOR branch=1 n=58311 d=11537
SURVIVOR branch=1 n=43263 d=11800
SURVIVOR branch=1 n=42423 d=11857
SURVIVOR branch=1 n=78773 d=12788
SURVIVOR branch=1 n=79477 d=13068
SURVIVOR branch=1 n=75833 d=13511
SURVIVOR branch=1 n=3470 d=13843
SURVIVOR branch=1 n=97249 d=14076
SURVIVOR branch=1 n=80155 d=14151
SURVIVOR branch=1 n=10549 d=14467
SURVIVOR branch=1 n=91421 d=15423
SURVIVOR branch=1 n=24395 d=16106
SURVIVOR branch=1 n=30459 d=16732
SURVIVOR branch=1 n=8909 d=17261
SURVIVOR branch=1 n=14407 d=17663
SURVIVOR branch=1 n=37513 d=18043
SURVIVOR branch=1 n=78269 d=18529
SURVIVOR branch=1 n=85238 d=18755
SURVIVOR branch=1 n=20155 d=18827
SURVIVOR branch=1 n=80401 d=19176
SURVIVOR branch=1 n=98439 d=19763
SURVIVOR branch=1 n=36006 d=19823
SURVIVOR branch=1 n=56621 d=21165
SURVIVOR branch=1 n=70846 d=23375
SURVIVOR branch=1 n=22413 d=23725
SURVIVOR branch=1 n=75071 d=24089
SURVIVOR branch=1 n=60569 d=25971
SURVIVOR branch=1 n=70529 d=26401
SURVIVOR branch=1 n=38179 d=26642
SURVIVOR branch=1 n=3403 d=27131
SURVIVOR branch=1 n=55504 d=27167
SURVIVOR branch=1 n=26486 d=28901
SURVIVOR branch=1 n=23116 d=29009
SURVIVOR branch=1 n=95119 d=29233
SURVIVOR branch=1 n=92307 d=29767
SURVIVOR branch=1 n=10176 d=29869
SURVIVOR branch=1 n=92128 d=30095
SURVIVOR branch=1 n=82465 d=30483
SURVIVOR branch=1 n=10355 d=31023
SURVIVOR branch=1 n=95311 d=32121
SURVIVOR branch=1 n=56579 d=32758
SURVIVOR branch=1 n=42524 d=32851
SURVIVOR branch=1 n=81357 d=32882
SURVIVOR branch=1 n=1202 d=33133
SURVIVOR branch=1 n=42767 d=33409
SURVIVOR branch=1 n=19147 d=33665
SURVIVOR branch=1 n=38092 d=33689
SURVIVOR branch=1 n=77287 d=33758
SURVIVOR branch=1 n=88303 d=34030
SURVIVOR branch=1 n=97933 d=34109
SURVIVOR branch=1 n=19669 d=34313
SURVIVOR branch=1 n=85511 d=34968
SURVIVOR branch=1 n=42049 d=35810
SURVIVOR branch=1 n=96439 d=36130
SURVIVOR branch=1 n=74905 d=36434
SURVIVOR branch=1 n=81199 d=36550
SURVIVOR branch=1 n=81770 d=36917
SURVIVOR branch=1 n=3919 d=37332
SURVIVOR branch=1 n=43442 d=37427
SURVIVOR branch=1 n=91498 d=37645
SURVIVOR branch=1 n=19012 d=37791
SURVIVOR branch=1 n=68121 d=38656
SURVIVOR branch=1 n=72437 d=39476
SURVIVOR branch=1 n=28579 d=40472
SURVIVOR branch=1 n=72611 d=40847
SURVIVOR branch=1 n=84272 d=40899
SURVIVOR branch=1 n=10931 d=41393
SURVIVOR branch=1 n=87962 d=41459
SURVIVOR branch=1 n=50776 d=41785
SURVIVOR branch=1 n=16889 d=42126
SURVIVOR branch=1 n=71207 d=42655
SURVIVOR branch=1 n=65815 d=43189
SURVIVOR branch=1 n=48071 d=43337
SURVIVOR branch=1 n=4779 d=43610
SURVIVOR branch=1 n=69505 d=43732
SURVIVOR branch=1 n=13243 d=43957
SURVIVOR branch=1 n=16724 d=44455
SURVIVOR branch=1 n=55507 d=44557
SURVIVOR branch=1 n=63971 d=45008
SURVIVOR branch=1 n=35621 d=45849
SURVIVOR branch=1 n=7157 d=46139
