101	9	79	77	25	13	55	12	55	48	9048	0
101	52	15	22	89	85	55	99	56	24	10710	0
101	0	78	93	10	56	95	48	59	98	182	0
101	12	54	49	47	46	35	28	84	2	5282	0
101	3	77	18	74	79	94	80	5	4	1311	0
101	38	30	36	0	97	84	98	58	67	11276	0
101	78	4	11	79	65	90	36	5	86	5546	0
101	24	76	41	72	67	80	82	42	73	4694	0
101	94	2	35	83	69	38	30	39	15	4388	0
101	79	17	34	18	31	15	100	95	100	13071	0
101	78	89	96	69	8	85	18	0	97	2211	0
101	56	78	62	87	52	85	20	64	30	11659	0
101	76	26	48	68	7	99	15	42	58	662	0
101	89	82	27	22	53	53	70	42	62	9110	0
101	0	87	100	72	6	96	52	38	74	11368	0
101	49	24	45	68	1	14	58	58	78	10583	0
101	46	85	92	74	17	42	85	79	66	12841	0
101	75	66	4	92	92	56	94	55	64	1410	0
101	95	7	84	68	74	41	50	98	12	9091	0
101	1	35	8	91	92	73	92	73	0	1445	0
101	87	21	42	61	34	63	92	48	90	2272	0
101	22	15	85	64	71	12	47	74	64	11187	0
101	66	43	49	25	24	26	98	39	66	43	0
101	22	33	3	58	14	44	94	24	84	10555	0
101	85	4	81	47	96	72	52	45	11	183	0
101	71	81	17	4	87	21	39	73	83	9951	1
101	55	86	98	87	42	92	39	11	90	4856	0
101	72	36	57	86	4	90	37	64	32	2631	0
101	8	0	52	20	66	4	77	16	73	727	0
101	44	98	73	70	68	90	3	50	33	3515	0
101	82	55	92	31	53	3	3	64	67	9554	0
101	86	61	70	35	74	21	38	54	2	3676	0
101	90	47	93	17	78	75	14	78	55	9301	0
101	10	43	22	8	9	70	81	31	21	10495	0
101	24	88	82	94	84	92	9	27	45	9136	0
101	35	25	8	13	59	27	86	77	70	10013	1
101	9	51	61	49	4	79	53	34	7	10102	0
101	12	27	95	70	76	7	54	3	57	1915	0
101	19	48	98	54	91	71	37	43	30	11999	0
101	34	17	19	74	97	14	98	60	93	3542	0
101	52	35	4	88	80	27	73	44	30	9742	0
101	45	40	43	36	55	92	37	47	5	148	0
101	9	86	49	91	61	67	32	78	79	2017	0
101	80	81	14	45	100	80	65	60	29	10595	0
101	17	9	28	33	87	26	0	1	36	9521	0
101	11	42	89	94	9	20	62	59	21	1458	0
101	43	64	20	95	38	93	31	11	72	9390	0
101	17	92	56	30	36	13	92	31	14	10959	0
101	79	25	8	52	49	86	72	48	31	10149	0
101	42	98	83	81	77	83	38	83	66	5892	0
101	38	31	23	85	38	98	14	49	46	10206	0
101	6	8	23	80	47	44	57	32	1	1719	0
101	33	70	35	77	10	23	41	60	43	2765	0
101	82	53	3	65	95	93	89	62	97	1412	0
101	53	84	53	29	70	78	86	99	90	1777	0
101	45	4	40	74	12	13	25	68	20	9848	0
101	59	97	30	37	82	59	53	46	63	11732	0
101	83	42	55	50	26	44	80	68	33	216	0
101	54	11	89	68	48	100	63	77	93	10899	0
101	68	17	25	70	31	16	88	21	83	9650	0
101	75	66	74	5	20	5	42	68	61	3633	0
