WSPLIT+3TORS [2,24] search RH=26 TH=26 BH=26 Part=1/3
PROGRESS tested=17600000 p=225572 rank2=201152 pre3=292 tors=292 hits24=0 hits224=0
PROGRESS tested=17800000 p=227848 rank2=202959 pre3=298 tors=298 hits24=0 hits224=0
PROGRESS tested=18000000 p=230900 rank2=205822 pre3=298 tors=298 hits24=0 hits224=0
PROGRESS tested=18200000 p=232034 rank2=206862 pre3=300 tors=300 hits24=0 hits224=0
PROGRESS tested=18400000 p=234142 rank2=208598 pre3=302 tors=302 hits24=0 hits224=0
PROGRESS tested=18600000 p=236424 rank2=210509 pre3=306 tors=306 hits24=0 hits224=0
PROGRESS tested=18800000 p=238652 rank2=212620 pre3=308 tors=308 hits24=0 hits224=0
PROGRESS tested=19000000 p=239246 rank2=213039 pre3=308 tors=308 hits24=0 hits224=0
PROGRESS tested=19200000 p=241292 rank2=214620 pre3=312 tors=312 hits24=0 hits224=0
PROGRESS tested=19400000 p=244088 rank2=217170 pre3=312 tors=312 hits24=0 hits224=0
PROGRESS tested=19600000 p=244994 rank2=217992 pre3=314 tors=314 hits24=0 hits224=0
PROGRESS tested=19800000 p=246586 rank2=219258 pre3=314 tors=314 hits24=0 hits224=0
PROGRESS tested=20000000 p=248878 rank2=221119 pre3=314 tors=314 hits24=0 hits224=0
PROGRESS tested=20200000 p=252260 rank2=224378 pre3=316 tors=316 hits24=0 hits224=0
PROGRESS tested=20400000 p=254048 rank2=226023 pre3=320 tors=320 hits24=0 hits224=0
PROGRESS tested=20600000 p=258552 rank2=230082 pre3=326 tors=326 hits24=0 hits224=0
PROGRESS tested=20800000 p=261950 rank2=233176 pre3=328 tors=328 hits24=0 hits224=0
PROGRESS tested=21000000 p=265156 rank2=236299 pre3=328 tors=328 hits24=0 hits224=0
PROGRESS tested=21200000 p=267744 rank2=238608 pre3=334 tors=334 hits24=0 hits224=0
PROGRESS tested=21400000 p=271824 rank2=242234 pre3=346 tors=346 hits24=0 hits224=0
PROGRESS tested=21600000 p=275618 rank2=245868 pre3=348 tors=348 hits24=0 hits224=0
PROGRESS tested=21800000 p=277236 rank2=247376 pre3=350 tors=350 hits24=0 hits224=0
PROGRESS tested=22000000 p=280634 rank2=250366 pre3=352 tors=352 hits24=0 hits224=0
PROGRESS tested=22200000 p=283552 rank2=252939 pre3=354 tors=354 hits24=0 hits224=0
PROGRESS tested=22400000 p=286224 rank2=255519 pre3=354 tors=354 hits24=0 hits224=0
PROGRESS tested=22600000 p=287538 rank2=256618 pre3=358 tors=358 hits24=0 hits224=0
PROGRESS tested=22800000 p=290118 rank2=258724 pre3=368 tors=368 hits24=0 hits224=0
PROGRESS tested=23000000 p=293260 rank2=261668 pre3=372 tors=372 hits24=0 hits224=0
PROGRESS tested=23200000 p=294272 rank2=262589 pre3=372 tors=372 hits24=0 hits224=0
PROGRESS tested=23400000 p=296266 rank2=264212 pre3=376 tors=376 hits24=0 hits224=0
PROGRESS tested=23600000 p=298452 rank2=266018 pre3=378 tors=378 hits24=0 hits224=0
PROGRESS tested=23800000 p=302106 rank2=269554 pre3=382 tors=382 hits24=0 hits224=0
PROGRESS tested=24000000 p=304126 rank2=271401 pre3=384 tors=384 hits24=0 hits224=0
PROGRESS tested=24200000 p=308070 rank2=274879 pre3=384 tors=384 hits24=0 hits224=0
PROGRESS tested=24400000 p=312432 rank2=278989 pre3=390 tors=390 hits24=0 hits224=0
PROGRESS tested=24600000 p=313956 rank2=280424 pre3=396 tors=396 hits24=0 hits224=0
PROGRESS tested=24800000 p=316560 rank2=282711 pre3=400 tors=400 hits24=0 hits224=0
PROGRESS tested=25000000 p=320042 rank2=285766 pre3=406 tors=406 hits24=0 hits224=0
PROGRESS tested=25200000 p=323286 rank2=288882 pre3=410 tors=410 hits24=0 hits224=0
PROGRESS tested=25400000 p=324876 rank2=290334 pre3=414 tors=414 hits24=0 hits224=0
PROGRESS tested=25600000 p=328998 rank2=294010 pre3=420 tors=420 hits24=0 hits224=0
PROGRESS tested=25800000 p=331774 rank2=296480 pre3=420 tors=420 hits24=0 hits224=0
PROGRESS tested=26000000 p=334714 rank2=299334 pre3=424 tors=424 hits24=0 hits224=0
PROGRESS tested=26200000 p=336686 rank2=301036 pre3=424 tors=424 hits24=0 hits224=0
PROGRESS tested=26400000 p=339666 rank2=303558 pre3=428 tors=428 hits24=0 hits224=0
PROGRESS tested=26600000 p=343968 rank2=307692 pre3=430 tors=430 hits24=0 hits224=0
PROGRESS tested=26800000 p=346422 rank2=310037 pre3=444 tors=444 hits24=0 hits224=0
PROGRESS tested=27000000 p=351228 rank2=314438 pre3=460 tors=460 hits24=0 hits224=0
PROGRESS tested=27200000 p=355580 rank2=318439 pre3=472 tors=472 hits24=0 hits224=0
