23 -31 86 142
23 -6 64 -14
23 -3 76 -108
23 16 49 112
23 18 59 79
23 63 140 143
23 66 81 -92
23 81 86 54
23 94 144 -64
23 138 45 138
23 138 80 -37
24 -128 96 -11
24 -108 45 -133
24 1 100 22
24 1 143 -116
24 19 44 19
24 26 27 -56
24 26 57 49
24 26 108 -141
24 26 110 107
24 27 115 -93
24 38 143 83
24 39 146 -112
24 54 130 79
24 67 70 97
24 67 122 -26
24 71 135 32
24 97 62 129
24 103 33 3
24 116 42 -16
24 116 78 -141
24 116 144 69
24 121 27 119
24 121 63 -41
24 150 85 -142
1 -137 57 110
1 -128 75 -68
1 -124 5 -33
1 -120 53 -29
1 -84 115 52
1 -66 124 -102
1 -54 15 -23
1 -53 13 69
1 -38 33 -81
1 12 85 80
1 46 147 -71
1 72 6 -5
1 126 123 99
1 141 117 -6
1 144 96 52
17 -147 150 98
17 -131 93 72
17 -128 80 -43
17 -99 87 -65
17 -51 96 -124
17 -11 116 146
17 9 49 -124
17 34 76 -144
17 38 24 -135
17 53 75 3
17 79 142 136
17 111 62 125
17 118 20 10
17 118 80 -2
17 145 19 114
18 -124 143 -38
18 -105 102 31
18 -105 119 -37
18 -96 56 -133
18 -44 121 -74
18 -43 30 94
18 -30 33 -93
18 -27 65 -150
18 -26 92 87
18 12 102 -22
18 24 56 -94
18 41 135 108
18 54 93 -138
18 54 125 -5
18 77 130 84
18 103 69 19
18 116 102 -48
22 -123 62 -127
22 -123 84 -64
22 -86 54 122
22 -64 97 129
22 -11 139 132
22 -6 59 -39
22 -2 135 118
22 14 111 86
22 69 39 -8
22 131 112 -85
22 139 59 67
22 142 73 -76
21 -99 117 19
21 -53 48 19
21 -44 144 79
21 -33 130 142
21 -23 75 -118
21 -1 140 -109
21 2 103 -31
21 6 78 94
21 52 75 112
21 75 55 -35
21 84 149 138
21 104 92 -32
21 114 78 137
19 -143 145 -93
19 -141 91 -30
19 -140 132 56
19 -117 52 82
19 -102 66 132
19 -73 27 -141
19 -36 69 -26
19 -23 60 137
19 15 35 25
19 45 99 -45
19 46 77 -1
19 62 150 -45
19 66 73 89
19 92 42 104
19 102 107 -136
19 102 130 32
19 122 22 14
19 122 137 129
16 -149 107 4
16 -142 80 -107
16 -137 32 90
16 -133 130 -73
16 -123 95 12
16 -114 30 -58
16 -46 41 -101
16 -37 108 117
16 3 109 -50
16 19 115 89
16 32 58 129
16 88 104 21
16 111 105 -53
16 115 55 -101
16 125 111 51
16 126 98 69
16 127 60 -113
16 136 62 -136
16 137 75 87
20 -127 73 -57
20 -107 72 73
20 -82 88 -77
20 -67 106 -36
20 -63 66 116
20 -53 141 132
20 -52 98 93
20 -46 141 -106
20 -35 22 -29
20 -31 107 66
20 -3 139 -63
20 7 121 -19
20 47 46 12
20 60 25 -136
20 62 129 32
20 75 57 12
20 107 126 111
25 -149 110 -16
25 -133 99 56
25 -128 81 -64
25 -122 58 -57
25 -98 139 86
25 -96 83 47
25 -71 81 -93
25 -63 109 126
25 -33 26 22
25 -30 74 104
25 -18 109 112
25 -13 54 137
25 8 52 128
25 44 76 -105
25 96 121 -32
25 112 61 -84
25 112 71 82
25 112 139 -149
25 117 109 -36
25 118 43 -39
25 136 124 75
27 -108 70 -78
27 -91 91 -139
27 -74 127 -15
27 -66 49 -19
27 -56 99 2
27 -52 86 24
27 -34 109 2
27 -25 87 -78
27 -12 45 -107
27 9 99 -38
27 11 84 23
27 17 134 -50
27 32 41 56
27 33 36 40
27 48 120 128
27 53 49 -36
