family	family_name	m	n	a	b	c	d	tuple_height	curve_key	bad11	bad13
2	filip2	-1695	107	1679347391060321565	-82244246470760929	-1302841100634951165	20638464164263946025	20638464164263946025	6764116077543271525344920272943041,1697394933503690948912925981934857225,2820207659861108606611212521204049225,425946203059607100052455163704113300625	1	1
2	filip2	1695	107	1302841100634951165	106011900202627969	-1679347391060321565	-26602746054647150025	26602746054647150025	11238522984571952014720293821064961,1697394933503690948912925981934857225,2820207659861108606611212521204049225,707706097648044506464248305854857500625	1	1
3	adam	-1501	110	319468201910	27114902100	-5048752193901	-428513450310	5048752193901	735217915892584410000,102059932031608527648100,183623777096580839096100,25489898715420160701597801	1	1
1	filip1	-1207	116	1769679465849	-666614493488	-70877434688	737491928176	1769679465849	5023610747951705657344,444374882928262794406144,543894344124754342686976,3131765411847601957290801	1	1
2	filip2	-541	126	8112094205667606	-691085968328196	-2967281816393286	12740471925942601	12740471925942601	477599815620120324815168614416,8804761377898238648729425877796,65806072401625947553092157771236,162319624895731568779842346645201	1	1
2	filip2	541	126	2967281816393286	1889323234591716	-8112094205667606	-34830499724334721	34830499724334721	3569542284768104329809215824656,8804761377898238648729425877796,65806072401625947553092157771236,1213163711046881075572346046147841	1	1
2	filip2	-1189	128	365419098223225472	-25401525387673600	-235956356921436800	2191813346715534025	2191813346715534025	645237492020626434770820136960000,55675402371636476073647376394240000,133531117346275305307558123349622784,4804045746840349767536184240932700625	1	1
2	filip2	1189	128	235956356921436800	39338641356242944	-365419098223225472	-3394400842089180361	3394400842089180361	1547528703755107692507243149787136,55675402371636476073647376394240000,133531117346275305307558123349622784,11521957076775736748944481060788090321	1	1
1	filip1	-1586	129	5416990918249	-1737288673224	-153816224328	1891104897552	5416990918249	23659430866521619051584,3018171934112406254554176,3576277733545160415592704,29343790608392144201226001	1	1
3	adam	-335	132	1822261980	1651812624	-10639042225	-9643895580	10639042225	2728484944805765376,3320638723753520400,93004721957943536400,113189219465332950625	1	1
1	filip1	-561	134	66307795009	-54825600984	-17205223728	72030824712	72030824712	296019723530534217984,3005846523256781768256,4396723678955565310081,5188439708690869882944	1	1
1	filip1	-1961	142	12868168851729	-3685456822328	-287704710704	3973161533032	12868168851729	82774000561272332175616,13582591989243999359339584,15786012567565192427113024,165589769596608450386289441	1	1
3	adam	-1817	143	182029543839	16773496740	-2708079367140	-249541692400	2708079367140	281350192886790627600,33134754830234422857921,62271056245856217760000,7333693858729382911779600	1	1
3	adam	-1706	143	595981831302	59097344163	-8411122204332	-834043854358	8411122204332	3492496087120070170569,355194343242085587015204,695629150992348715592164,70746976736206802759566224	1	1
3	adam	-1549	143	109470752963	12161797362	-1427014951938	-158536104012	1427014951938	147909315074350159044,11983845754286173279369,25133696275303682496144,2036371673054612449955844	1	1
3	adam	-1937	144	896711401872	77370847488	-13999470547777	-1207914718608	13999470547777	5986248041011355910144,804091338247247485104384,1459057967429843821457664,195985175618075656439641729	1	1
1	filip1	-1796	147	8899559803369	-2871606777648	-255989203344	3127595980992	8899559803369	65530472228695780782336,8246125485433930112411904,9781856620317310825304064,79202164693741273943750161	1	1
3	adam	-1763	151	172941548468	17587368942	-2397461292798	-243810909837	2397461292798	309315546302026199364,29908779186509593147024,59443759755545743366569,5747820650464657486668804	1	1
3	adam	-1109	152	154382834232	27881375808	-1484192103537	-268043516728	1484192103537	777371116946927652864,23834059505505191029824,71847326859913615825984,2202826200201584927910369	1	1
1	filip1	-1157	153	1404312691369	-713760001344	-108770199408	822530200752	1404312691369	11830956279256083550464,509453339518586881806336,676555931149125421365504,1972094135140044247094161	1	1
3	adam	-1859	155	209165608080	20612585100	-2965021486284	-292193149105	2965021486284	424878664504742010000,43750251603476161286400,85376836383896762301025,8791352414125780400128656	1	1
3	adam	-1156	155	179538539180	31528271775	-1753688432496	-307960428780	1753688432496	994031921118261650625,32234087050888395072400,94839625694361452288400,3075423118270277548790016	1	1
3	adam	-1184	161	199493544096	35665611135	-1928862735360	-344843581600	1928862735360	1272035817633035988225,39797674135982696457216,118917095770715858560000,3720511451860461394329600	1	1
1	filip1	-1939	170	11964618738081	-4126125065720	-396518519600	4522643585320	11964618738081	157226936385775584160000,17024908057962874319118400,20454304999836144119502400,143152101547638980879562561	1	1
3	adam	-1679	172	655851698612	82523295888	-7863593650737	-989445734388	7863593650737	6810094364218397708544,430141450572245682726544,979002861298608645734544,61836105103911259540643169	1	1
3	adam	-533	176	11955735792	7840428288	-71906619057	-47155499248	71906619057	61472315739270610944,142939618328109867264,2223641109328128565504,5170561864208515569249	1	1
2	filip2	-1066	177	315793851406124442	-26306590334094225	-158434041221155050	954184677637012900	954184677637012900	692036695005859708504451178350625,25101345417666657567023656140502500,99725756585913404213749346389811364,910468399037250225868452034766410000	1	1
2	filip2	1066	177	158434041221155050	52434813976439049	-315793851406124442	-1901899692649314436	1901899692649314436	2749409716743767833858890412024401,25101345417666657567023656140502500,99725756585913404213749346389811364,3617222440899556716100716660797998096	1	1
1	filip1	-1335	179	2481573240601	-1277350128960	-197790374640	1475140503600	2481573240601	39121032300231555129600,1631623351954128630681600,2176039505361261612960000,6158205748466948634841201	1	1
3	adam	-821	180	60719994180	20789168400	-432492341281	-148075707780	432492341281	432189522763558560000,3686917693219233872400,21926415234547952528400,187049625266720976720961	1	1
1	filip1	-1811	183	8891113349209	-3513486850368	-394943546448	3908430396816	8891113349209	155980404880923533416704,12344589847708848821735424,15275828166755275222937856,79051896588482481180925681	1	1
3	adam	-1760	183	800990092320	102614013279	-9491390233600	-1215932197920	9491390233600	10529635721222788331841,641585127994802122982400,1478491109938562052326400,90086488566477462568960000	1	1
1	filip1	-1431	184	3306262165969	-1637760358944	-241658304768	1879418663712	3306262165969	58398736263343571533824,2682258993328379720795136,3532214513508999745618944,10931369510118023301708961	1	1
1	filip1	-1051	187	889311239089	-586856337408	-127016360064	713872697472	889311239089	16133155723907694084096,344400360755932340158464,509614228195949635190784,790874479970012521549921	1	1
1	filip1	-386	187	12495439089	-11433917528	-10744435064	22178352592	22178352592	115442884844512684096,130734470037105630784,156135998026909149921,491879323695073118464	1	1
3	adam	-1613	187	153339849839	22439607300	-1669555167300	-244321110000	1669555167300	503535975778213290000,23513109548647068325921,59692804791632100000000,2787414456658130989290000	1	1
3	adam	-1342	193	341939980206	65696620035	-3176387221260	-610276412350	3176387221260	4316045884023163401225,116922950063279671802436,372437299470787232522500,10089435779383824195987600	1	1
1	filip1	-921	197	497889705769	-380419683648	-103511985744	483931669392	497889705769	10714731192666059233536,144719135706844398587904,234189860640527989649664,247894159110741391881361	1	1
2	filip2	-1910	199	6046791835948962890	-412746359607398881	-3961535411307195290	38022777063300216100	38022777063300216100	170359557369160234555781958640052161,15693762815040868959949197326198184100,36563691507299029335840536866597152100,1445731575605429005651136758306699210000	1	1
2	filip2	1910	199	3961535411307195290	630006060394682521	-6046791835948962890	-58037047269660900100	58037047269660900100	396907636134028360167928812382915441,15693762815040868959949197326198184100,36563691507299029335840536866597152100,3368298855780853739049010442742180010000	1	1
1	filip1	-1378	203	2756792008881	-1544831015000	-266894209400	1811725224400	2756792008881	71232519011251048360000,2386502864905930225000000,3282348288727230355360000,7599902180230139582872161	1	1
1	filip1	1919	204	16938599616409	7057731329616	-678180495168	-6379550834448	16938599616409	459928784026313671348224,40698668849306173103464704,49811571521043231238707456,286916156965011121942055281	1	1
1	filip1	-1680	211	6312359778481	-3059816061120	-439497065280	3499313126400	6312359778481	193157670389732581478400,9362474327887911575654400,12245192356595342376960000,39845885972984699390667361	1	1
1	filip1	-1147	212	1248558177321	-850320191600	-192799872320	1043120063920	1248558177321	37171790766608302182400,723044428242660710560000,1088099467752464885766400,1558897522155137678737041	1	1
2	filip2	-737	215	68064004445144455	-5296220274268225	-18154950428538055	62233481236430449	68064004445144455	28049949193569792442059244650625,329602225062674106889364583183025,3873006186805140767225295214341601,4632708701108644129549225817247025	1	1
2	filip2	737	215	18154950428538055	19855849329316225	-68064004445144455	-233317075702657969	233317075702657969	329602225062674106889364583183025,394254752588507582149226048250625,4632708701108644129549225817247025,54436857814439829598769571399204961	1	1
3	adam	-566	215	14992329690	12671705475	-87819510636	-74226154090	87819510636	160572119645144975625,224769949533655496100,5509521950992423728100,7712266448346517124496	1	1
1	filip1	-1674	221	6156169832569	-3124200857544	-475188155208	3599389012752	6156169832569	225803782849982297523264,9760630998278664981711936,12955601265119817218613504,37898427007432629493139761	1	1
1	filip1	-1247	227	1751570193961	-1178019950400	-262167185040	1440187135440	1751570193961	68731632911797599801600,1387731003540418460160000,2074138985086872903993600,3067998144372575160869521	1	1
3	adam	-979	228	125891791212	47121260688	-868785553537	-325186178988	868785553537	2220413208826454233344,15848743094565800428944,105746051004815572704144,754788338034591493210369	1	1
1	filip1	-888	229	406575842689	-353247639648	-122752214688	475999854336	475999854336	15068106210808842937344,124783894916883261563904,165303915858270474750721,226575861327893218000896	1	1
3	adam	-1827	230	1071707365890	173778034100	-10965193564941	-1778013142290	10965193564941	30198805135660762810000,1148556678102882335492100,3161330734155959786444100,120235469916623516384333481	1	1
3	adam	-1407	232	450669135000	103655604800	-3812457535425	-876879646104	3812457535425	10744484406453783040000,203102669241648225000000,768917913751476282378816,14534832459418865129930625	1	1
3	adam	-1079	232	179587560152	59767084608	-1292792998497	-430243990488	1292792998497	3572104402539830513664,32251691761348218263104,185109891351038234478144,1671313736962864244259009	1	1
3	adam	-1273	234	321569874522	85735466388	-2537380553917	-676504618218	2537380553917	7350570196767877766544,103407184200094824728484,457658498470281937495524,6438300075396141744042889	1	1
1	filip1	-1408	235	2913196962481	-1821069550080	-364834905600	2185904455680	2913196962481	133104508344160911360000,3316294306228573628006400,4778178289361677084262400,8486716542208524921675361	1	1
1	filip1	-893	238	411597950481	-364729597400	-132527701040	497257298440	497257298440	17563591542947617081600,133027679219566086760000,169412872840159728131361,247264820851847226433600	1	1
3	adam	-979	238	127936971162	51081389268	-864319218477	-345096699178	864319218477	2609308329548945575824,16367868590106419630244,119091731783551025875684,747047711428692058199529	1	1
2	filip2	-1003	244	347267207459782300	-29317933504838416	-120515931579315292	495399505631365729	495399505631365729	859541224994126967090082269389056,14524089764430204851439911545045264,120594513376915479509471963393290000,245420670179801564639750973755701441	1	1
2	filip2	1003	244	120515931579315292	84479759342160400	-347267207459782300	-1427495938861318225	1427495938861318225	7136829738509337379760939328160000,14524089764430204851439911545045264,120594513376915479509471963393290000,2037744655465556379767609184717150625	1	1
1	filip1	-1395	247	2763803175961	-1816414367040	-390813892560	2207228259600	2763803175961	152735498617899223353600,3299361152789323838361600,4871856589976844992160000,7638607995452110328273521	1	1
2	filip2	-799	248	119030095120162952	-8822611955137600	-28424463516753800	91577203023735025	119030095120162952	77838481710936904835034933760000,807950126215267803453289814440000,8386384113650383405833501411750625,14168163544315040198520015033354304	1	1
2	filip2	799	248	28424463516753800	36945511376471104	-119030095120162952	-383488088713750801	383488088713750801	807950126215267803453289814440000,1364970810868955769758780146978816,14168163544315040198520015033354304,147063114185325604477357181928141601	1	1
3	adam	-1474	265	570947215410	147644621475	-4567944828876	-1181251903810	4567944828876	21798934250496031175625,325980722784432941468100,1395356060254749492516100,20866119959654988923423376	1	1
3	adam	-1617	268	788621682156	182638735760	-6648801143985	-1539811373100	6648801143985	33356907800011102777600,621924157566559088808336,2371019064728107403610000,44206556652256244701680225	1	1
1	filip1	-1643	269	5428168404649	-3337515568368	-653414620008	3990930188376	5428168404649	426950665640199033920064,11139010169098774082183424,15927523768490894845517376,29465012229229669804813201	1	1
1	filip1	-1052	271	801119872809	-695580005648	-241360027568	936940033216	936940033216	58254662907625719994624,483831544257271711899904,641793050609508337550481,877856625842799183302656	1	1
2	filip2	-1244	275	1125726544168194100	-96533262738900625	-436681377626154100	1975387759152493456	1975387759152493456	9318670815017619796151633625390625,190690625565475798596460356946810000,1267260252244865061856670055274810000,3902156799009509493643264462122823936	1	1
2	filip2	1244	275	436681377626154100	248854340551650625	-1125726544168194100	-5092377530709939856	5092377530709939856	61928482811396904694243412062890625,190690625565475798596460356946810000,1267260252244865061856670055274810000,25932308915279464441195685959137300736	1	1
3	adam	-994	279	141775984350	70850488995	-899305427020	-449414825454	899305427020	5019791790830616110025,20100429738411444922500,201973685337849286306116,808750251067624546080400	1	1
3	adam	-1943	282	1511684547846	293898834900	-13952282110525	-2712576153750	13952282110525	86376525155577458010000,2285190172196365463239716,7358069389893143639062500,194666176091675948315775625	1	1
2	filip2	-711	292	81844694922797532	-3855458686675600	-9387777829542300	22858596016454025	81844694922797532	14864561684662342372979635360000,88130372576845937074627489290000,522515411843447820368534938700625,6698554087005800112545701065291024	1	1
2	filip2	711	292	9387777829542300	33612729841711504	-81844694922797532	-199286226335989881	199286226335989881	88130372576845937074627489290000,1129815607411883068747087965942016,6698554087005800112545701065291024,39715000007239386830247412134394161	1	1
1	filip1	-1696	293	6077886523569	-3912630190208	-817106661248	4729736851456	6077886523569	667663295855853824917504,15308675005327090259083264,22370410684020916209319936,36940704593381664392497761	1	1
1	filip1	-1240	297	1581379185841	-1309970486880	-412578191520	1722548678400	1722548678400	170220764117913799910400,1716022676496624252134400,2500760129411144014877281,2967173949457586626560000	1	1
3	adam	-1675	297	236161829475	59925136986	-1906012566250	-483643205100	1906012566250	3591022042790865164196,55772409700978978775625,233910749839400666010000,3632883902702910639062500	1	1
1	filip1	-1994	299	12035563731361	-6851658972600	-1208640727320	8060299699920	12035563731361	1460812407736618594382400,46945230676810087550760000,64968431252530442048006400,144854794331652317374912321	1	1
1	filip1	-1094	301	918038008449	-828304810424	-314400690968	1142705501392	1142705501392	98847794481155836777024,686088858971538579059776,842793784957006195385601,1305775862911542113937664	1	1
1	filip1	-1244	303	1593686582569	-1335064497168	-429887930544	1764952427712	1764952427712	184803632827402968135936,1782397211598444680020224,2539836923460458054639761,3115057072086482585554944	1	1
1	filip1	-1400	309	2633742740161	-2059662242400	-583350717600	2643012960000	2643012960000	340298059724434949760000,4242208552768196357760000,6936600821350772762305921,6985517506727961600000000	1	1
1	filip1	-1904	311	9795604222849	-6010614517824	-1173447027648	7184061545472	9795604222849	1376977926695926076411904,36127486881876636013694976,51610740289129541123702784,95953862090697161253676801	1	1
2	filip2	-1110	311	756749956682998410	-60389405303868481	-215537748833742810	769282640532008100	769282640532008100	3646880272954898624023663745247361,46456521172317600052310833226696100,572670496939719969897626748062528100,591795781023898791621800618465610000	1	1
2	filip2	1110	311	215537748833742810	212026339214786041	-756749956682998410	-2700940359865364100	2700940359865364100	44955168520823516929200841408453681,46456521172317600052310833226696100,572670496939719969897626748062528100,7295078827549642527588278825568810000	1	1
3	adam	-1903	311	374994858128	85227837012	-3191084211348	-725261158017	3191084211348	7263784201744037088144,140621143622438847664384,526003747328159843372289,10183018443914487131977104	1	1
1	filip1	-1421	313	2797045518969	-2184127201088	-616996221968	2801123423056	2801123423056	380684337922785525793024,4770411630532500788383744,7823463635184562538822961,7846292431192962752379136	1	1
2	filip2	-377	318	3103358671537566	-629214982568964	-745956127133646	884356792230769	3103358671537566	395911494289261670361016033296,556450543608228234115945253316,782086935964695529119350331361,9630835044207406455958549204356	1	1
2	filip2	377	318	745956127133646	2617687155302244	-3103358671537566	-3679139053992649	3679139053992649	556450543608228234115945253316,6852286043034354498042991435536,9630835044207406455958549204356,13536064178613924213628146037201	1	1
3	adam	-1317	319	104611047123	41537008502	-707987188998	-281114382252	707987188998	1725323075295220284004,10943471180170526577129,79025295908923572591504,501245859785289772244004	1	1
1	filip1	1999	320	22449411562561	13760184625920	-1898774937600	-11861409688320	22449411562561	3605346263657883893760000,140693039794171559544422400,189342680939405130335846400,503976079505247519616878721	1	1
2	filip2	-1358	321	2066036637220630158	-175536535442348025	-742612508195353950	3141644193549192100	3141644193549192100	30813075275102704340858525221400625,551473337328194637552576365780602500,4268507386337929748358874958619104964,9869928238861353592914562562702410000	1	1
