Z35 candidate u values: 6
Z45 candidate u values: 4
JOBS 154
Z3xZ12 t=2 m=1 u=-8/7 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 2730 [ 12 ] | F 910 [ 6 ] | MODEL 1736*x^6 + 11895289*x^4 + 2726705254*x^2 + 24125692185
Z3xZ12 t=-1 m=2 u=-259/251 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 2730 [ 12 ] | F 8451170 [ 6 ] | MODEL -34028930584664866816*x^6 + 35180138316880109380864*x^4 + 155222713995316098125041*x^2 + 24619404673126923834420
Z3xZ12 t=3/2 m=2 u=-27/23 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 4290 [ 12 ] | F 15180 [ 6 ] | MODEL 762586499664*x^6 + 16839998201644024*x^4 + 14893241843339556961*x^2 + 76805309180755944360
Z3xZ12 t=3/2 m=2 u=-27/23 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 4290 [ 12 ] | F 15180 [ 6 ] | MODEL -1500336*x^6 + 30300980344*x^4 + 30592957180081*x^2 + 151109114055640
Z3xZ12 t=-2 m=2 u=-1923/1915 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 274170 [ 12 ] | F 3542608290 [ 6 ] | MODEL 183610201370603253931459975680*x^6 + 11729041141072754642536248257265300*x^4 + 193635950814158938868302877122575625*x^2 + 367010391191160915470771700500000000
Z3xZ12 t=-2 m=2 u=-1923/1915 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 274170 [ 12 ] | F 3542608290 [ 6 ] | MODEL -2469175555820975406656229358080*x^6 + 157649671222101887277351876373055700*x^4 + 2604210729704170784152582791857405625*x^2 + 4935526892824359161614012540500000000
Z2xZ24 t=1/2 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL -16272298617475608439042500000000*X^6 + 12877489479599498313680905581750625*X^4 + 26145185446713249874132999355725200*X^2 - 177106608791083397243490293514240
Z2xZ24 t=1/2 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL 4684183461211184725882500000000*X^6 - 6702749169945525292904491019375*X^4 - 30811234871481918459687500857200*X^2 + 50982339205565270723723726684160
Z2xZ24 t=1/2 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL -1880660981910744140625*X^6 + 12599652072153775772500*X^4 - 27910519771400818070400*X^2 + 20468988224823560500224
Z2xZ24 t=1/2 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL -13458462518663728457500000000*X^6 + 10614963139699287731865249875625*X^4 + 21767686804099337648515258525200*X^2 + 146481005066032355280660725760
Z2xZ24 t=1/2 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL 2048300236883400390625*X^6 + 1623904473240151395772500*X^4 + 3304537961462420725929600*X^2 + 22293562653207351604224
Z2xZ24 t=1/2 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL 795312683155315964074117500000000*X^6 + 632607556825399268489824201108980625*X^4 + 1274533853812947165475228308915142800*X^2 - 8656130000644424527586354327715840
Z2xZ24 t=1/3 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL -20908657031880000000000*X^6 + 17102819152914807872250625*X^4 + 35586693860845688677577925*X^2 - 566952999052455927737280
Z2xZ24 t=1/3 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL 14736821079475656000000000*X^6 + 29125556730667905729630625*X^4 - 316444252705702805538445275*X^2 + 399599309260702309052339136
Z2xZ24 t=1/3 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL -18458921266875000000*X^6 + 191277709042190055625*X^4 - 558625920160010377050*X^2 + 500526684022371678945
Z2xZ24 t=1/3 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL -36323109858475311480000000000*X^6 + 29485685139757521668742164205625*X^4 + 62758203757624964569172835887325*X^2 + 984926771613066317839067234880
Z2xZ24 t=1/3 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL 8844875055411766875000000*X^6 + 7217431398302263735173555625*X^4 + 15243971154249062521318702950*X^2 + 239835032506584124466346945
Z2xZ24 t=1/3 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL 2002998301554936000000000*X^6 + 1646711727398879311630575625*X^4 + 3400115614101456038779668525*X^2 - 54312713266665437367690816
Z2xZ24 t=2/3 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL -937514261853213789507708422400*X^6 + 724288387211977896292496937483289*X^4 + 1442193584160064664118588838924176*X^2 - 2961540893877084705379904815104
Z2xZ24 t=2/3 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL 31327465596211109710360594080000*X^6 - 99395714842866587371251831734159*X^4 + 24008255209918353446056681594128*X^2 + 98961236367018396433568914636800
Z2xZ24 t=2/3 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL 39876185651015771603038473750*X^6 - 190354107908693096032547989799*X^4 + 284190726587284140962199146208*X^2 - 125966035187428331719228204800
Z2xZ24 t=2/3 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL -13933576337644271922472274169600*X^6 + 10753320435481617786300169708954369*X^4 + 21478390722208087221943855831969296*X^2 + 44015176942825467448930972041216
Z2xZ24 t=2/3 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL 25977776473550792753213011526250*X^6 + 20151878870392598586511971639970201*X^4 + 39942131692919219217492533303786208*X^2 + 82061948803147144620573379795200
Z2xZ24 t=2/3 u=2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 266910 [ 2, 8 ] | MODEL 584447796865088594271288359520000*X^6 + 453841001194817414402116006968282121*X^4 + 896751909184823263391429976181876368*X^2 - 1846229034778489869460388455219200
Z5xZ10 t=3 u=12/169 | TOR [ 5, 10 ] | ORD 50 | 2RK [ 2 ] | E 870 [ 10 ] | F 7189970161530 [ 10 ] | MODEL -14144179775643803407694806274784*X^6 + 94316277468214826741494969790939582121*X^4 + 68415768994864293721669863297374894837790*X^2 + 11440446260010239010559410175300412889693273
Z5xZ10 t=3 u=12/169 | TOR [ 5, 10 ] | ORD 50 | 2RK [ 2 ] | E 870 [ 10 ] | F 7189970161530 [ 10 ] | MODEL -501815972473382024324701943572902682902528*X^6 + 7670805676727540894412244352099854107935939382985*X^4 - 453384439532830631587730766010171178604202075500191*X^2 - 405891239828729500535678470696967043528666013143676416
Z5xZ10 t=4 u=107/88 | TOR [ 5, 10 ] | ORD 50 | 2RK [ 2 ] | E 11550 [ 10 ] | F 1318255242150 [ 10 ] | MODEL -5671978435366720992353060069018368608*X^6 + 205096513240206209689483257839443451767081*X^4 + 17267231602348097839276267477771034888620816*X^2 + 196951322996163093613604324916962763265277952
