prime	torsion_coset	m	n	k	ord_g1	ord_g2	ord_g3	state	t
17	1	6	2	3	12	6	6	3	inf
17	1	6	2	4	12	6	6	3	inf
17	1	6	2	5	12	6	6	3	inf
17	1	6	3	0	12	6	6	3	1
17	1	6	3	1	12	6	6	3	inf
17	1	6	3	2	12	6	6	3	inf
17	1	6	3	3	12	6	6	3	inf
17	1	6	3	4	12	6	6	3	inf
17	1	6	3	5	12	6	6	3	inf
17	1	6	4	0	12	6	6	3	inf
17	1	6	4	1	12	6	6	3	inf
17	1	6	4	2	12	6	6	3	inf
17	1	6	4	3	12	6	6	3	inf
17	1	6	4	4	12	6	6	3	inf
17	1	6	4	5	12	6	6	3	1
17	1	6	5	0	12	6	6	3	inf
17	1	6	5	1	12	6	6	3	inf
17	1	6	5	2	12	6	6	3	inf
17	1	6	5	3	12	6	6	3	inf
17	1	6	5	4	12	6	6	3	1
17	1	6	5	5	12	6	6	3	inf
17	1	7	0	0	12	6	6	3	inf
17	1	7	0	1	12	6	6	3	inf
17	1	7	0	2	12	6	6	3	inf
17	1	7	0	3	12	6	6	3	inf
17	1	7	0	4	12	6	6	3	inf
17	1	7	0	5	12	6	6	3	inf
17	1	7	1	0	12	6	6	3	inf
17	1	7	1	1	12	6	6	3	inf
17	1	7	1	2	12	6	6	3	inf
17	1	7	1	3	12	6	6	3	inf
17	1	7	1	4	12	6	6	3	inf
17	1	7	1	5	12	6	6	3	inf
17	1	7	2	0	12	6	6	3	inf
17	1	7	2	1	12	6	6	3	inf
17	1	7	2	2	12	6	6	3	inf
17	1	7	2	3	12	6	6	3	inf
17	1	7	2	4	12	6	6	3	inf
17	1	7	2	5	12	6	6	3	inf
17	1	7	3	0	12	6	6	3	inf
17	1	7	3	1	12	6	6	3	inf
17	1	7	3	2	12	6	6	3	inf
17	1	7	3	3	12	6	6	3	inf
17	1	7	3	4	12	6	6	3	inf
17	1	7	3	5	12	6	6	3	inf
17	1	7	4	0	12	6	6	3	inf
17	1	7	4	1	12	6	6	3	inf
17	1	7	4	2	12	6	6	3	inf
17	1	7	4	3	12	6	6	3	inf
17	1	7	4	4	12	6	6	3	inf
17	1	7	4	5	12	6	6	3	inf
17	1	7	5	0	12	6	6	3	inf
17	1	7	5	1	12	6	6	3	inf
17	1	7	5	2	12	6	6	3	inf
17	1	7	5	3	12	6	6	3	inf
17	1	7	5	4	12	6	6	3	inf
17	1	7	5	5	12	6	6	3	inf
17	1	8	0	0	12	6	6	3	inf
17	1	8	0	1	12	6	6	3	inf
17	1	8	0	2	12	6	6	3	inf
17	1	8	0	3	12	6	6	3	inf
17	1	8	0	4	12	6	6	3	1
17	1	8	0	5	12	6	6	3	inf
17	1	8	1	0	12	6	6	3	inf
17	1	8	1	1	12	6	6	3	inf
17	1	8	1	2	12	6	6	3	inf
17	1	8	1	3	12	6	6	3	1
17	1	8	1	4	12	6	6	3	inf
17	1	8	1	5	12	6	6	3	inf
17	1	8	2	0	12	6	6	3	inf
17	1	8	2	1	12	6	6	3	inf
17	1	8	2	2	12	6	6	3	1
17	1	8	2	3	12	6	6	3	inf
17	1	8	2	4	12	6	6	3	inf
