p	A	B	C	rho	sigma	pairing	M	N	reason
47	11	43	16	22	43	1	-1	-1	projective_MN_missing_6
47	11	43	16	22	43	2	-1	-1	projective_MN_missing_6
47	11	43	16	22	43	3	-1	-1	projective_MN_missing_6
47	13	14	39	35	38	1	-1	-1	projective_MN_missing_6
47	13	14	39	35	38	2	-1	-1	projective_MN_missing_6
47	13	14	39	35	38	3	-1	-1	projective_MN_missing_6
47	13	39	14	35	38	1	-1	-1	projective_MN_missing_6
47	13	39	14	35	38	2	-1	-1	projective_MN_missing_6
47	13	39	14	35	38	3	-1	-1	projective_MN_missing_6
47	14	13	39	35	38	1	-1	-1	projective_MN_missing_6
47	14	13	39	35	38	2	-1	-1	projective_MN_missing_6
47	14	13	39	35	38	3	-1	-1	projective_MN_missing_6
47	14	39	13	35	38	1	-1	-1	projective_MN_missing_6
47	14	39	13	35	38	2	-1	-1	projective_MN_missing_6
47	14	39	13	35	38	3	-1	-1	projective_MN_missing_6
47	16	7	34	46	5	1	-1	-1	projective_MN_missing_6
47	16	7	34	46	5	2	-1	-1	projective_MN_missing_6
47	16	7	34	46	5	3	-1	-1	projective_MN_missing_6
47	16	11	43	22	43	1	-1	-1	projective_MN_missing_6
47	16	11	43	22	43	2	-1	-1	projective_MN_missing_6
47	16	11	43	22	43	3	-1	-1	projective_MN_missing_6
47	16	34	7	46	5	1	-1	-1	projective_MN_missing_6
47	16	34	7	46	5	2	-1	-1	projective_MN_missing_6
47	16	34	7	46	5	3	-1	-1	projective_MN_missing_6
47	16	43	11	22	43	1	-1	-1	projective_MN_missing_6
47	16	43	11	22	43	2	-1	-1	projective_MN_missing_6
47	16	43	11	22	43	3	-1	-1	projective_MN_missing_6
47	17	2	18	12	8	1	-1	-1	projective_MN_missing_6
47	17	2	18	12	8	2	-1	-1	projective_MN_missing_6
47	17	2	18	12	8	3	-1	-1	projective_MN_missing_6
47	17	18	2	12	8	1	-1	-1	projective_MN_missing_6
47	17	18	2	12	8	2	-1	-1	projective_MN_missing_6
47	17	18	2	12	8	3	-1	-1	projective_MN_missing_6
47	17	35	44	43	22	1	-1	-1	projective_MN_missing_6
47	17	35	44	43	22	2	-1	-1	projective_MN_missing_6
47	17	35	44	43	22	3	-1	-1	projective_MN_missing_6
47	17	44	35	43	22	1	-1	-1	projective_MN_missing_6
47	17	44	35	43	22	2	-1	-1	projective_MN_missing_6
47	17	44	35	43	22	3	-1	-1	projective_MN_missing_6
47	18	2	17	12	8	1	-1	-1	projective_MN_missing_6
47	18	2	17	12	8	2	-1	-1	projective_MN_missing_6
47	18	2	17	12	8	3	-1	-1	projective_MN_missing_6
47	18	3	27	42	1	1	-1	-1	projective_MN_missing_6
47	18	3	27	42	1	2	-1	-1	projective_MN_missing_6
47	18	3	27	42	1	3	-1	-1	projective_MN_missing_6
47	18	17	2	12	8	1	-1	-1	projective_MN_missing_6
47	18	17	2	12	8	2	-1	-1	projective_MN_missing_6
47	18	17	2	12	8	3	-1	-1	projective_MN_missing_6
47	18	27	3	42	1	1	-1	-1	projective_MN_missing_6
47	18	27	3	42	1	2	-1	-1	projective_MN_missing_6
47	18	27	3	42	1	3	-1	-1	projective_MN_missing_6
47	18	30	45	35	39	1	-1	-1	projective_MN_missing_6
47	18	30	45	35	39	2	-1	-1	projective_MN_missing_6
47	18	30	45	35	39	3	-1	-1	projective_MN_missing_6
47	18	45	30	35	39	1	-1	-1	projective_MN_missing_6
47	18	45	30	35	39	2	-1	-1	projective_MN_missing_6
47	18	45	30	35	39	3	-1	-1	projective_MN_missing_6
47	23	11	34	8	12	1	-1	-1	projective_MN_missing_6
47	23	11	34	8	12	2	-1	-1	projective_MN_missing_6
47	23	11	34	8	12	3	-1	-1	projective_MN_missing_6
47	23	34	11	8	12	1	-1	-1	projective_MN_missing_6
47	23	34	11	8	12	2	-1	-1	projective_MN_missing_6
47	23	34	11	8	12	3	-1	-1	projective_MN_missing_6
47	24	34	36	39	35	1	-1	-1	projective_MN_missing_6
47	24	34	36	39	35	2	-1	-1	projective_MN_missing_6
47	24	34	36	39	35	3	-1	-1	projective_MN_missing_6
47	24	36	34	39	35	1	-1	-1	projective_MN_missing_6
47	24	36	34	39	35	2	-1	-1	projective_MN_missing_6
47	24	36	34	39	35	3	-1	-1	projective_MN_missing_6
47	27	3	18	42	1	1	-1	-1	projective_MN_missing_6
47	27	3	18	42	1	2	-1	-1	projective_MN_missing_6
47	27	3	18	42	1	3	-1	-1	projective_MN_missing_6
47	27	18	3	42	1	1	-1	-1	projective_MN_missing_6
47	27	18	3	42	1	2	-1	-1	projective_MN_missing_6
47	27	18	3	42	1	3	-1	-1	projective_MN_missing_6
47	29	37	41	9	12	1	-1	-1	projective_MN_missing_6
47	29	37	41	9	12	2	-1	-1	projective_MN_missing_6
47	29	37	41	9	12	3	-1	-1	projective_MN_missing_6
47	29	41	37	9	12	1	-1	-1	projective_MN_missing_6
47	29	41	37	9	12	2	-1	-1	projective_MN_missing_6
47	29	41	37	9	12	3	-1	-1	projective_MN_missing_6
47	30	3	35	4	25	1	-1	-1	projective_MN_missing_6
47	30	3	35	4	25	2	-1	-1	projective_MN_missing_6
47	30	3	35	4	25	3	-1	-1	projective_MN_missing_6
47	30	18	45	35	39	1	-1	-1	projective_MN_missing_6
47	30	18	45	35	39	2	-1	-1	projective_MN_missing_6
47	30	18	45	35	39	3	-1	-1	projective_MN_missing_6
47	30	35	3	4	25	1	-1	-1	projective_MN_missing_6
47	30	35	3	4	25	2	-1	-1	projective_MN_missing_6
47	30	35	3	4	25	3	-1	-1	projective_MN_missing_6
47	30	45	18	35	39	1	-1	-1	projective_MN_missing_6
47	30	45	18	35	39	2	-1	-1	projective_MN_missing_6
47	30	45	18	35	39	3	-1	-1	projective_MN_missing_6
47	31	36	43	25	4	1	-1	-1	projective_MN_missing_6
47	31	36	43	25	4	2	-1	-1	projective_MN_missing_6
47	31	36	43	25	4	3	-1	-1	projective_MN_missing_6
47	31	43	36	25	4	1	-1	-1	projective_MN_missing_6
47	31	43	36	25	4	2	-1	-1	projective_MN_missing_6
47	31	43	36	25	4	3	-1	-1	projective_MN_missing_6
47	34	7	16	46	5	1	-1	-1	projective_MN_missing_6
47	34	7	16	46	5	2	-1	-1	projective_MN_missing_6
47	34	7	16	46	5	3	-1	-1	projective_MN_missing_6
47	34	11	23	8	12	1	-1	-1	projective_MN_missing_6
47	34	11	23	8	12	2	-1	-1	projective_MN_missing_6
47	34	11	23	8	12	3	-1	-1	projective_MN_missing_6
47	34	16	7	46	5	1	-1	-1	projective_MN_missing_6
47	34	16	7	46	5	2	-1	-1	projective_MN_missing_6
47	34	16	7	46	5	3	-1	-1	projective_MN_missing_6
47	34	23	11	8	12	1	-1	-1	projective_MN_missing_6
47	34	23	11	8	12	2	-1	-1	projective_MN_missing_6
47	34	23	11	8	12	3	-1	-1	projective_MN_missing_6
47	34	24	36	39	35	1	-1	-1	projective_MN_missing_6
47	34	24	36	39	35	2	-1	-1	projective_MN_missing_6
47	34	24	36	39	35	3	-1	-1	projective_MN_missing_6
47	34	36	24	39	35	1	-1	-1	projective_MN_missing_6
47	34	36	24	39	35	2	-1	-1	projective_MN_missing_6
47	34	36	24	39	35	3	-1	-1	projective_MN_missing_6
47	35	3	30	4	25	1	-1	-1	projective_MN_missing_6
47	35	3	30	4	25	2	-1	-1	projective_MN_missing_6
47	35	3	30	4	25	3	-1	-1	projective_MN_missing_6
47	35	17	44	43	22	1	-1	-1	projective_MN_missing_6
47	35	17	44	43	22	2	-1	-1	projective_MN_missing_6
47	35	17	44	43	22	3	-1	-1	projective_MN_missing_6
47	35	30	3	4	25	1	-1	-1	projective_MN_missing_6
47	35	30	3	4	25	2	-1	-1	projective_MN_missing_6
47	35	30	3	4	25	3	-1	-1	projective_MN_missing_6
47	35	44	17	43	22	1	-1	-1	projective_MN_missing_6
47	35	44	17	43	22	2	-1	-1	projective_MN_missing_6
47	35	44	17	43	22	3	-1	-1	projective_MN_missing_6
47	36	24	34	39	35	1	-1	-1	projective_MN_missing_6
47	36	24	34	39	35	2	-1	-1	projective_MN_missing_6
47	36	24	34	39	35	3	-1	-1	projective_MN_missing_6
47	36	31	43	25	4	1	-1	-1	projective_MN_missing_6
47	36	31	43	25	4	2	-1	-1	projective_MN_missing_6
47	36	31	43	25	4	3	-1	-1	projective_MN_missing_6
47	36	34	24	39	35	1	-1	-1	projective_MN_missing_6
47	36	34	24	39	35	2	-1	-1	projective_MN_missing_6
47	36	34	24	39	35	3	-1	-1	projective_MN_missing_6
47	36	43	31	25	4	1	-1	-1	projective_MN_missing_6
47	36	43	31	25	4	2	-1	-1	projective_MN_missing_6
47	36	43	31	25	4	3	-1	-1	projective_MN_missing_6
47	37	29	41	9	12	1	-1	-1	projective_MN_missing_6
47	37	29	41	9	12	2	-1	-1	projective_MN_missing_6
47	37	29	41	9	12	3	-1	-1	projective_MN_missing_6
47	37	41	29	9	12	1	-1	-1	projective_MN_missing_6
47	37	41	29	9	12	2	-1	-1	projective_MN_missing_6
47	37	41	29	9	12	3	-1	-1	projective_MN_missing_6
47	39	13	14	35	38	1	-1	-1	projective_MN_missing_6
47	39	13	14	35	38	2	-1	-1	projective_MN_missing_6
47	39	13	14	35	38	3	-1	-1	projective_MN_missing_6
47	39	14	13	35	38	1	-1	-1	projective_MN_missing_6
47	39	14	13	35	38	2	-1	-1	projective_MN_missing_6
47	39	14	13	35	38	3	-1	-1	projective_MN_missing_6
47	41	29	37	9	12	1	-1	-1	projective_MN_missing_6
47	41	29	37	9	12	2	-1	-1	projective_MN_missing_6
47	41	29	37	9	12	3	-1	-1	projective_MN_missing_6
47	41	37	29	9	12	1	-1	-1	projective_MN_missing_6
47	41	37	29	9	12	2	-1	-1	projective_MN_missing_6
47	41	37	29	9	12	3	-1	-1	projective_MN_missing_6
47	43	11	16	22	43	1	-1	-1	projective_MN_missing_6
47	43	11	16	22	43	2	-1	-1	projective_MN_missing_6
47	43	11	16	22	43	3	-1	-1	projective_MN_missing_6
47	43	16	11	22	43	1	-1	-1	projective_MN_missing_6
47	43	16	11	22	43	2	-1	-1	projective_MN_missing_6
47	43	16	11	22	43	3	-1	-1	projective_MN_missing_6
47	43	31	36	25	4	1	-1	-1	projective_MN_missing_6
47	43	31	36	25	4	2	-1	-1	projective_MN_missing_6
47	43	31	36	25	4	3	-1	-1	projective_MN_missing_6
47	43	36	31	25	4	1	-1	-1	projective_MN_missing_6
47	43	36	31	25	4	2	-1	-1	projective_MN_missing_6
47	43	36	31	25	4	3	-1	-1	projective_MN_missing_6
47	44	17	35	43	22	1	-1	-1	projective_MN_missing_6
47	44	17	35	43	22	2	-1	-1	projective_MN_missing_6
47	44	17	35	43	22	3	-1	-1	projective_MN_missing_6
47	44	35	17	43	22	1	-1	-1	projective_MN_missing_6
47	44	35	17	43	22	2	-1	-1	projective_MN_missing_6
47	44	35	17	43	22	3	-1	-1	projective_MN_missing_6
47	45	18	30	35	39	1	-1	-1	projective_MN_missing_6
47	45	18	30	35	39	2	-1	-1	projective_MN_missing_6
47	45	18	30	35	39	3	-1	-1	projective_MN_missing_6
47	45	30	18	35	39	1	-1	-1	projective_MN_missing_6
47	45	30	18	35	39	2	-1	-1	projective_MN_missing_6
47	45	30	18	35	39	3	-1	-1	projective_MN_missing_6
