u_num	u_den	t_num	t_den	w_num	w_den
26535	125431	-47489	211732	-139907	119843
79054	109419	174613	260064	67875	224516
218494	229067	127383	99115	85627	70617
-230927	258202	236262	160691	-94011	132676
-228389	65231	-155027	135429	127382	153723
-228389	65231	-145716	195061	-29701	46630
-115163	22274	-93147	95309	-161373	86551
-260805	53519	47017	9805	32900	104017
221339	180534	-152780	10291	-30531	198875
60685	182924	-14449	6845	256211	65231
258955	48159	69797	190651	256211	65231
-228389	65231	-234397	121318	-11161	113989
-228389	65231	-210931	243631	169443	151999
-228389	65231	178561	207527	124175	35083
-228389	65231	7822	40771	-191765	75979
254384	20597	91612	177571	184743	161570
-199085	197671	158203	97047	87337	189588
250531	132612	-174494	59655	7757	126355
-29957	204203	77909	65887	107361	143857
-171332	59379	-27910	146329	-74662	143005
-228389	65231	-135651	147625	174424	15557
-71615	206722	-37147	68709	141509	81184
-227853	125431	40898	20951	-231414	74999
-50503	204109	34001	223901	-91657	139157
-49416	131887	40898	20951	-128008	202573
200847	228364	34001	223901	95125	199432
-57697	9288	-207878	176897	-240727	208034
178205	88177	-59411	75235	157473	235468
111448	28927	-256188	192037	-7806	93439
136713	165353	-10647	246020	200931	63941
-258611	172559	-251303	172077	170818	219743
130007	250254	-18083	174322	150873	79661
-221429	35506	247062	74777	-123565	39053
149635	165722	-96161	47195	-82276	149517
-203580	207829	3967	27997	53378	72283
-28043	230953	-242177	34854	63182	20133
-28043	230953	-242177	34854	32445	99871
159365	209754	249936	227329	-97447	207237
76421	22102	-212197	7379	49999	226033
-2088	171871	-128740	250897	185692	231719
-65279	240998	2535	206572	118016	244903
-158893	32336	-155649	222920	16039	27306
52548	162611	-57484	179783	35399	156292
-248213	228521	-155649	222920	16039	27306
47125	259851	58154	107543	-92209	56941
136713	165353	121849	152736	-235881	97645
-100159	82123	121849	152736	-92954	174965
-32921	126936	44785	87338	-36767	27491
-204131	160476	-154155	63608	16890	153217
-17854	66871	-197392	203537	95454	73057
-101095	42558	-231360	59	196329	120443
215181	260614	43	224516	4074	9245
-212125	143112	157109	69577	172429	116143
154259	225664	166021	243497	-19695	162439
200149	160273	-11323	210432	215768	65231
244979	179183	-162578	177913	-102513	3526
-71615	206722	-139301	95847	-173035	19758
141739	206066	248683	27090	-174005	235394
213989	151700	48503	5938	-48271	165593
-259753	101158	-34940	139277	78857	108117
183947	107414	-200433	99179	-208187	97569
143985	119021	-41579	44675	-107810	65231
-20329	157727	259584	82843	-255787	61189
129079	252625	106577	138152	-107810	65231
-175599	39302	-233369	191956	48606	186755
-181250	214989	148156	93477	-107810	65231
211874	251125	228924	189113	233987	65016
-20850	84323	-102245	35793	-61416	182047
59624	236245	-218768	44731	27257	97481
-110357	56295	-98273	136826	-94156	178801
5469	70520	147885	28157	200407	198013
112830	251453	-26549	204684	182824	150113
233455	156177	-130637	39647	-214759	130323
154947	73358	-203401	33398	55393	159285
-15805	54481	40898	20951	145339	44696
-60349	195693	81796	70003	204818	165887
-58018	256667	73684	210781	86888	168683
-84483	125689	250708	15705	210590	198727
-22243	117734	-178217	208099	-80236	200449
-229354	2083	-189063	65231	168569	67242
116131	75929	-126992	159659	210590	198727
