p	A	B	C	rho	sigma	pairing	M	N	reason
43	35	38	14	29	32	1	-1	-1	projective_MN_missing_6
43	35	38	14	29	32	2	-1	-1	projective_MN_missing_6
43	35	38	14	29	32	3	-1	-1	projective_MN_missing_6
43	36	40	41	4	38	1	-1	-1	projective_MN_missing_6
43	36	40	41	4	38	2	-1	-1	projective_MN_missing_6
43	36	40	41	4	38	3	-1	-1	projective_MN_missing_6
43	36	41	40	4	38	1	-1	-1	projective_MN_missing_6
43	36	41	40	4	38	2	-1	-1	projective_MN_missing_6
43	36	41	40	4	38	3	-1	-1	projective_MN_missing_6
43	37	21	29	38	4	1	-1	-1	projective_MN_missing_6
43	37	21	29	38	4	2	-1	-1	projective_MN_missing_6
43	37	21	29	38	4	3	-1	-1	projective_MN_missing_6
43	37	29	21	38	4	1	-1	-1	projective_MN_missing_6
43	37	29	21	38	4	2	-1	-1	projective_MN_missing_6
43	37	29	21	38	4	3	-1	-1	projective_MN_missing_6
43	38	14	35	29	32	1	-1	-1	projective_MN_missing_6
43	38	14	35	29	32	2	-1	-1	projective_MN_missing_6
43	38	14	35	29	32	3	-1	-1	projective_MN_missing_6
43	38	35	14	29	32	1	-1	-1	projective_MN_missing_6
43	38	35	14	29	32	2	-1	-1	projective_MN_missing_6
43	38	35	14	29	32	3	-1	-1	projective_MN_missing_6
43	39	2	16	31	35	1	-1	-1	projective_MN_missing_6
43	39	2	16	31	35	2	-1	-1	projective_MN_missing_6
43	39	2	16	31	35	3	-1	-1	projective_MN_missing_6
43	39	16	2	31	35	1	-1	-1	projective_MN_missing_6
43	39	16	2	31	35	2	-1	-1	projective_MN_missing_6
43	39	16	2	31	35	3	-1	-1	projective_MN_missing_6
43	40	16	17	11	14	1	-1	-1	projective_MN_missing_6
43	40	16	17	11	14	2	-1	-1	projective_MN_missing_6
43	40	16	17	11	14	3	-1	-1	projective_MN_missing_6
43	40	17	16	11	14	1	-1	-1	projective_MN_missing_6
43	40	17	16	11	14	2	-1	-1	projective_MN_missing_6
43	40	17	16	11	14	3	-1	-1	projective_MN_missing_6
43	40	36	41	4	38	1	-1	-1	projective_MN_missing_6
43	40	36	41	4	38	2	-1	-1	projective_MN_missing_6
43	40	36	41	4	38	3	-1	-1	projective_MN_missing_6
43	40	41	36	4	38	1	-1	-1	projective_MN_missing_6
43	40	41	36	4	38	2	-1	-1	projective_MN_missing_6
43	40	41	36	4	38	3	-1	-1	projective_MN_missing_6
43	41	3	7	39	5	1	-1	-1	projective_MN_missing_6
43	41	3	7	39	5	2	-1	-1	projective_MN_missing_6
43	41	3	7	39	5	3	-1	-1	projective_MN_missing_6
43	41	7	3	39	5	1	-1	-1	projective_MN_missing_6
43	41	7	3	39	5	2	-1	-1	projective_MN_missing_6
43	41	7	3	39	5	3	-1	-1	projective_MN_missing_6
43	41	36	40	4	38	1	-1	-1	projective_MN_missing_6
43	41	36	40	4	38	2	-1	-1	projective_MN_missing_6
43	41	36	40	4	38	3	-1	-1	projective_MN_missing_6
43	41	40	36	4	38	1	-1	-1	projective_MN_missing_6
43	41	40	36	4	38	2	-1	-1	projective_MN_missing_6
43	41	40	36	4	38	3	-1	-1	projective_MN_missing_6
