u	t	w	source
5720	84942	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	85426	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	86273	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	86757	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	87604	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	88088	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	88935	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	89419	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	90266	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	90750	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	91597	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	92081	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	92928	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	93412	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	94259	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	94743	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	95590	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	96074	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	96921	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	97405	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	98252	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	98736	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	99583	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	100067	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	100914	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	101398	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	102245	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	102729	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	103576	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	104060	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	104907	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	105391	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	106238	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	106722	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	107569	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	108053	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	108900	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	109384	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	110231	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	110715	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	111562	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	112046	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	112893	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	113377	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	114224	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	114708	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	115555	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	116039	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	116886	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	117370	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	118217	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	118701	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	119548	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	120032	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
