prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
53	1	45	0	64	1	3	inf
53	1	46	0	64	1	3	27
53	1	52	0	64	1	2	10
53	1	54	0	64	1	2	11
53	1	56	0	64	1	2	24
53	1	58	0	64	1	2	1
53	1	61	0	64	1	3	38
53	2	0	0	64	1	2	52
53	2	2	0	64	1	2	29
53	2	4	0	64	1	2	42
53	2	6	0	64	1	2	43
53	2	12	0	64	1	3	26
53	2	13	0	64	1	3	inf
53	2	14	0	64	1	3	27
53	2	20	0	64	1	2	10
53	2	22	0	64	1	2	11
53	2	24	0	64	1	2	24
53	2	26	0	64	1	2	1
53	2	29	0	64	1	3	38
53	2	32	0	64	1	2	1
53	2	34	0	64	1	2	24
53	2	36	0	64	1	2	11
53	2	38	0	64	1	3	inf
53	2	44	0	64	1	3	27
53	2	45	0	64	1	3	inf
53	2	46	0	64	1	3	26
53	2	52	0	64	1	2	43
53	2	54	0	64	1	2	42
53	2	56	0	64	1	2	29
53	2	58	0	64	1	2	52
53	2	61	0	64	1	3	15
59	1	1	0	28	1	2	23
59	1	4	0	28	1	2	40
59	1	6	0	28	1	3	inf
59	1	9	0	28	1	3	53
59	1	13	0	28	1	3	53
59	1	18	0	28	1	2	40
59	1	21	0	28	1	2	23
59	1	23	0	28	1	2	48
59	1	25	0	28	1	3	55
59	1	27	0	28	1	2	48
59	2	1	0	28	1	2	36
59	2	4	0	28	1	2	19
59	2	9	0	28	1	3	6
59	2	13	0	28	1	3	6
59	2	18	0	28	1	2	19
59	2	21	0	28	1	2	36
59	2	23	0	28	1	2	11
59	2	25	0	28	1	3	4
59	2	27	0	28	1	2	11
61	1	6	0	68	1	3	inf
61	1	8	0	68	1	2	9
61	1	9	0	68	1	2	14
61	1	14	0	68	1	3	inf
61	1	19	0	68	1	2	47
61	1	20	0	68	1	2	52
61	1	30	0	68	1	2	43
61	1	31	0	68	1	3	36
61	1	32	0	68	1	2	43
61	1	42	0	68	1	2	52
61	1	43	0	68	1	2	47
61	1	48	0	68	1	3	inf
61	1	53	0	68	1	2	14
61	1	54	0	68	1	2	9
61	1	64	0	68	1	2	18
61	1	65	0	68	1	3	25
61	1	66	0	68	1	2	18
61	2	8	0	68	1	2	52
61	2	9	0	68	1	2	47
61	2	14	0	68	1	3	inf
61	2	19	0	68	1	2	14
61	2	20	0	68	1	2	9
61	2	30	0	68	1	2	18
61	2	31	0	68	1	3	25
61	2	32	0	68	1	2	18
61	2	40	0	68	1	3	inf
61	2	42	0	68	1	2	9
61	2	43	0	68	1	2	14
61	2	48	0	68	1	3	inf
61	2	53	0	68	1	2	47
61	2	54	0	68	1	2	52
61	2	64	0	68	1	2	43
61	2	65	0	68	1	3	36
61	2	66	0	68	1	2	43
67	1	1	0	12	1	3	60
67	1	5	0	12	1	3	60
67	1	6	0	12	1	3	inf
67	1	8	0	12	1	2	14
67	1	10	0	12	1	2	14
67	2	1	0	12	1	3	7
67	2	5	0	12	1	3	7
67	2	8	0	12	1	2	53
67	2	10	0	12	1	2	53
71	1	1	0	44	1	2	15
71	1	5	0	44	1	2	54
71	1	6	0	44	1	3	inf
71	1	7	0	44	1	3	50
71	1	8	0	44	1	3	0
71	1	9	0	44	1	3	21
71	1	11	0	44	1	2	17
71	1	15	0	44	1	2	56
71	1	18	0	44	1	2	16
71	1	20	0	44	1	2	16
71	1	23	0	44	1	2	56
71	1	27	0	44	1	2	17
71	1	29	0	44	1	3	21
71	1	30	0	44	1	3	0
71	1	31	0	44	1	3	50
71	1	33	0	44	1	2	54
71	1	37	0	44	1	2	15
71	1	40	0	44	1	2	55
71	1	42	0	44	1	2	55
71	2	1	0	44	1	2	56
71	2	5	0	44	1	2	17
71	2	7	0	44	1	3	21
71	2	8	0	44	1	3	0
71	2	9	0	44	1	3	50
71	2	11	0	44	1	2	54
71	2	15	0	44	1	2	15
71	2	18	0	44	1	2	55
71	2	20	0	44	1	2	55
71	2	23	0	44	1	2	15
71	2	27	0	44	1	2	54
71	2	28	0	44	1	3	inf
71	2	29	0	44	1	3	50
71	2	30	0	44	1	3	0
71	2	31	0	44	1	3	21
71	2	33	0	44	1	2	17
71	2	37	0	44	1	2	56
71	2	40	0	44	1	2	16
71	2	42	0	44	1	2	16
73	1	0	0	10	1	3	1
73	1	4	0	10	1	3	1
73	1	6	0	10	1	3	inf
73	1	7	0	10	1	3	17
73	2	0	0	10	1	3	72
73	2	4	0	10	1	3	72
73	2	7	0	10	1	3	56
79	1	6	0	19	1	3	inf
79	1	16	0	19	1	3	8
79	2	16	0	19	1	3	71
83	1	0	0	16	1	2	1
83	1	3	0	16	1	3	11
83	1	6	0	16	1	3	inf
83	1	7	0	16	1	3	11
83	1	10	0	16	1	2	1
