p	u	t	w	pairing	a	b	c	d	ordD3	ordD4	D4div2
41	4	24	34	3	2	22	10	14	3	4	1
41	4	24	34	1	39	31	14	22	3	4	1
41	4	24	34	2	39	14	31	22	3	4	1
41	4	24	34	3	39	22	31	14	3	4	1
41	4	24	34	1	2	10	27	19	3	4	1
41	4	24	34	2	2	27	10	19	3	4	1
41	4	24	34	3	2	19	10	27	3	4	1
41	4	24	34	1	39	31	27	19	3	4	1
41	4	24	34	2	39	27	31	19	3	4	1
41	4	24	34	3	39	19	31	27	3	4	1
41	7	31	38	1	17	13	27	30	3	4	1
41	7	31	38	2	17	27	13	30	3	4	1
41	7	31	38	3	17	30	13	27	3	4	1
41	7	31	38	1	17	28	14	30	3	4	1
41	7	31	38	2	17	14	28	30	3	4	1
41	7	31	38	3	17	30	28	14	3	4	1
41	7	31	38	1	24	13	27	11	3	4	1
41	7	31	38	2	24	27	13	11	3	4	1
41	7	31	38	3	24	11	13	27	3	4	1
41	7	31	38	1	24	28	14	11	3	4	1
41	7	31	38	2	24	14	28	11	3	4	1
41	7	31	38	3	24	11	28	14	3	4	1
41	8	15	29	1	39	34	20	27	3	4	1
41	8	15	29	2	39	20	34	27	3	4	1
41	8	15	29	3	39	27	34	20	3	4	1
41	8	15	29	1	2	7	21	14	3	4	1
41	8	15	29	2	2	21	7	14	3	4	1
41	8	15	29	3	2	14	7	21	3	4	1
41	8	29	14	1	7	10	5	27	3	4	1
41	8	29	14	2	7	5	10	27	3	4	1
41	8	29	14	3	7	27	10	5	3	4	1
41	8	29	14	1	34	31	5	27	3	4	1
41	8	29	14	2	34	5	31	27	3	4	1
41	8	29	14	3	34	27	31	5	3	4	1
41	8	29	14	1	7	10	36	14	3	4	1
41	8	29	14	2	7	36	10	14	3	4	1
41	8	29	14	3	7	14	10	36	3	4	1
41	8	29	14	1	34	31	36	14	3	4	1
41	8	29	14	2	34	36	31	14	3	4	1
41	8	29	14	3	34	14	31	36	3	4	1
41	10	19	32	1	39	36	27	30	3	4	1
41	10	19	32	2	39	27	36	30	3	4	1
41	10	19	32	3	39	30	36	27	3	4	1
41	10	19	32	1	2	5	27	30	3	4	1
41	10	19	32	2	2	27	5	30	3	4	1
41	10	19	32	3	2	30	5	27	3	4	1
41	10	19	32	1	39	36	14	11	3	4	1
41	10	19	32	2	39	14	36	11	3	4	1
41	10	19	32	3	39	11	36	14	3	4	1
41	10	19	32	1	2	5	14	11	3	4	1
41	10	19	32	2	2	14	5	11	3	4	1
41	10	19	32	3	2	11	5	14	3	4	1
41	10	29	39	1	31	8	20	18	3	4	1
41	10	29	39	2	31	20	8	18	3	4	1
41	10	29	39	3	31	18	8	20	3	4	1
41	10	29	39	1	10	33	21	23	3	4	1
41	10	29	39	2	10	21	33	23	3	4	1
41	10	29	39	3	10	23	33	21	3	4	1
41	11	10	6	1	40	39	10	36	3	4	1
41	11	10	6	2	40	10	39	36	3	4	1
41	11	10	6	3	40	36	39	10	3	4	1
41	11	10	6	1	1	39	31	36	3	4	1
41	11	10	6	2	1	31	39	36	3	4	1
41	11	10	6	3	1	36	39	31	3	4	1
41	11	10	6	1	40	2	10	5	3	4	1
41	11	10	6	2	40	10	2	5	3	4	1
41	11	10	6	3	40	5	2	10	3	4	1
41	11	10	6	1	1	2	31	5	3	4	1
41	11	10	6	2	1	31	2	5	3	4	1
41	11	10	6	3	1	5	2	31	3	4	1
41	12	4	33	1	25	10	33	20	3	4	1
41	12	4	33	2	25	33	10	20	3	4	1
41	12	4	33	3	25	20	10	33	3	4	1
41	12	4	33	1	16	10	8	20	3	4	1
41	12	4	33	2	16	8	10	20	3	4	1
41	12	4	33	3	16	20	10	8	3	4	1
41	12	4	33	1	25	31	33	21	3	4	1
41	12	4	33	2	25	33	31	21	3	4	1
41	12	4	33	3	25	21	31	33	3	4	1
41	12	4	33	1	16	31	8	21	3	4	1
41	12	4	33	2	16	8	31	21	3	4	1
41	12	4	33	3	16	21	31	8	3	4	1
41	12	10	21	1	8	27	30	32	3	4	1
41	12	10	21	2	8	30	27	32	3	4	1
41	12	10	21	3	8	32	27	30	3	4	1
41	12	10	21	1	8	14	11	32	3	4	1
41	12	10	21	2	8	11	14	32	3	4	1
41	12	10	21	3	8	32	14	11	3	4	1
41	12	10	21	1	33	27	30	9	3	4	1
41	12	10	21	2	33	30	27	9	3	4	1
41	12	10	21	3	33	9	27	30	3	4	1
41	12	10	21	1	33	14	11	9	3	4	1
41	12	10	21	2	33	11	14	9	3	4	1
41	12	10	21	3	33	9	14	11	3	4	1
41	14	5	5	1	38	37	29	32	3	4	1
41	14	5	5	2	38	29	37	32	3	4	1
41	14	5	5	3	38	32	37	29	3	4	1
41	14	5	5	1	38	4	12	32	3	4	1
41	14	5	5	2	38	12	4	32	3	4	1
41	14	5	5	3	38	32	4	12	3	4	1
41	14	5	5	1	3	37	29	9	3	4	1
41	14	5	5	2	3	29	37	9	3	4	1
41	14	5	5	3	3	9	37	29	3	4	1
41	14	5	5	1	3	4	12	9	3	4	1
41	14	5	5	2	3	12	4	9	3	4	1
41	14	5	5	3	3	9	4	12	3	4	1
41	14	6	32	1	1	28	26	32	3	4	1
41	14	6	32	2	1	26	28	32	3	4	1
41	14	6	32	3	1	32	28	26	3	4	1
41	14	6	32	1	40	13	15	9	3	4	1
41	14	6	32	2	40	15	13	9	3	4	1
41	14	6	32	3	40	9	13	15	3	4	1
41	15	40	30	1	24	39	13	33	3	4	1
41	15	40	30	2	24	13	39	33	3	4	1
41	15	40	30	3	24	33	39	13	3	4	1
41	15	40	30	1	17	39	28	33	3	4	1
41	15	40	30	2	17	28	39	33	3	4	1
41	15	40	30	3	17	33	39	28	3	4	1
41	15	40	30	1	24	2	13	8	3	4	1
41	15	40	30	2	24	13	2	8	3	4	1
41	15	40	30	3	24	8	2	13	3	4	1
41	15	40	30	1	17	2	28	8	3	4	1
41	15	40	30	2	17	28	2	8	3	4	1
41	15	40	30	3	17	8	2	28	3	4	1
41	16	5	34	1	34	36	14	18	3	4	1
41	16	5	34	2	34	14	36	18	3	4	1
41	16	5	34	3	34	18	36	14	3	4	1
41	16	5	34	1	7	5	14	18	3	4	1
41	16	5	34	2	7	14	5	18	3	4	1
41	16	5	34	3	7	18	5	14	3	4	1
41	16	5	34	1	34	36	27	23	3	4	1
41	16	5	34	2	34	27	36	23	3	4	1
41	16	5	34	3	34	23	36	27	3	4	1
41	16	5	34	1	7	5	27	23	3	4	1
41	16	5	34	2	7	27	5	23	3	4	1
41	16	5	34	3	7	23	5	27	3	4	1
41	17	13	10	1	17	33	35	32	3	4	1
41	17	13	10	2	17	35	33	32	3	4	1
41	17	13	10	3	17	32	33	35	3	4	1
41	17	13	10	1	24	8	35	32	3	4	1
41	17	13	10	2	24	35	8	32	3	4	1
41	17	13	10	3	24	32	8	35	3	4	1
41	17	13	10	1	17	33	6	9	3	4	1
41	17	13	10	2	17	6	33	9	3	4	1
41	17	13	10	3	17	9	33	6	3	4	1
41	17	13	10	1	24	8	6	9	3	4	1
41	17	13	10	2	24	6	8	9	3	4	1
41	17	13	10	3	24	9	8	6	3	4	1
41	17	19	26	1	38	31	20	27	3	4	1
41	17	19	26	2	38	20	31	27	3	4	1
41	17	19	26	3	38	27	31	20	3	4	1
41	17	19	26	1	3	10	21	14	3	4	1
41	17	19	26	2	3	21	10	14	3	4	1
41	17	19	26	3	3	14	10	21	3	4	1
41	17	27	5	1	40	24	4	27	3	4	1
41	17	27	5	2	40	4	24	27	3	4	1
41	17	27	5	3	40	27	24	4	3	4	1
41	17	27	5	1	1	17	37	14	3	4	1
41	17	27	5	2	1	37	17	14	3	4	1
41	17	27	5	3	1	14	17	37	3	4	1
41	18	1	7	1	28	4	10	22	3	4	1
41	18	1	7	2	28	10	4	22	3	4	1
41	18	1	7	3	28	22	4	10	3	4	1
41	18	1	7	1	28	37	31	22	3	4	1
41	18	1	7	2	28	31	37	22	3	4	1
41	18	1	7	3	28	22	37	31	3	4	1
41	18	1	7	1	13	4	10	19	3	4	1
41	18	1	7	2	13	10	4	19	3	4	1
41	18	1	7	3	13	19	4	10	3	4	1
41	18	1	7	1	13	37	31	19	3	4	1
41	18	1	7	2	13	31	37	19	3	4	1
41	18	1	7	3	13	19	37	31	3	4	1
41	18	18	3	1	40	24	18	30	3	4	1
41	18	18	3	2	40	18	24	30	3	4	1
41	18	18	3	3	40	30	24	18	3	4	1
41	18	18	3	1	40	17	23	30	3	4	1
41	18	18	3	2	40	23	17	30	3	4	1
41	18	18	3	3	40	30	17	23	3	4	1
41	18	18	3	1	1	24	18	11	3	4	1
41	18	18	3	2	1	18	24	11	3	4	1
41	18	18	3	3	1	11	24	18	3	4	1
41	18	18	3	1	1	17	23	11	3	4	1
41	18	18	3	2	1	23	17	11	3	4	1
41	18	18	3	3	1	11	17	23	3	4	1
41	20	19	26	1	39	3	21	30	3	4	1
41	20	19	26	2	39	21	3	30	3	4	1
41	20	19	26	3	39	30	3	21	3	4	1
41	20	19	26	1	2	38	21	30	3	4	1
41	20	19	26	2	2	21	38	30	3	4	1
41	20	19	26	3	2	30	38	21	3	4	1
41	20	19	26	1	39	3	20	11	3	4	1
41	20	19	26	2	39	20	3	11	3	4	1
41	20	19	26	3	39	11	3	20	3	4	1
41	20	19	26	1	2	38	20	11	3	4	1
41	20	19	26	2	2	20	38	11	3	4	1
41	20	19	26	3	2	11	38	20	3	4	1
41	20	21	19	1	24	2	27	18	3	4	1
41	20	21	19	2	24	27	2	18	3	4	1
41	20	21	19	3	24	18	2	27	3	4	1
41	20	21	19	1	17	39	14	23	3	4	1
41	20	21	19	2	17	14	39	23	3	4	1
41	20	21	19	3	17	23	39	14	3	4	1
41	21	9	35	1	1	13	37	30	3	4	1
41	21	9	35	2	1	37	13	30	3	4	1
41	21	9	35	3	1	30	13	37	3	4	1
41	21	9	35	1	40	28	37	30	3	4	1
41	21	9	35	2	40	37	28	30	3	4	1
41	21	9	35	3	40	30	28	37	3	4	1
41	21	9	35	1	1	13	4	11	3	4	1
41	21	9	35	2	1	4	13	11	3	4	1
41	21	9	35	3	1	11	13	4	3	4	1
41	21	9	35	1	40	28	4	11	3	4	1
41	21	9	35	2	40	4	28	11	3	4	1
41	21	9	35	3	40	11	28	4	3	4	1
41	21	23	39	1	17	13	27	30	3	4	1
41	21	23	39	2	17	27	13	30	3	4	1
41	21	23	39	3	17	30	13	27	3	4	1
41	21	23	39	1	17	28	14	30	3	4	1
41	21	23	39	2	17	14	28	30	3	4	1
41	21	23	39	3	17	30	28	14	3	4	1
41	21	23	39	1	24	13	27	11	3	4	1
41	21	23	39	2	24	27	13	11	3	4	1
41	21	23	39	3	24	11	13	27	3	4	1
41	21	23	39	1	24	28	14	11	3	4	1
41	21	23	39	2	24	14	28	11	3	4	1
41	21	23	39	3	24	11	28	14	3	4	1
41	21	40	9	1	34	38	27	35	3	4	1
41	21	40	9	2	34	27	38	35	3	4	1
41	21	40	9	3	34	35	38	27	3	4	1
41	21	40	9	1	7	3	14	6	3	4	1
41	21	40	9	2	7	14	3	6	3	4	1
41	21	40	9	3	7	6	3	14	3	4	1
41	22	21	19	1	34	29	14	35	3	4	1
41	22	21	19	2	34	14	29	35	3	4	1
41	22	21	19	3	34	35	29	14	3	4	1
41	22	21	19	1	7	12	14	35	3	4	1
41	22	21	19	2	7	14	12	35	3	4	1
41	22	21	19	3	7	35	12	14	3	4	1
41	22	21	19	1	34	29	27	6	3	4	1
41	22	21	19	2	34	27	29	6	3	4	1
41	22	21	19	3	34	6	29	27	3	4	1
41	22	21	19	1	7	12	27	6	3	4	1
41	22	21	19	2	7	27	12	6	3	4	1
41	22	21	19	3	7	6	12	27	3	4	1
41	23	36	30	1	2	25	33	18	3	4	1
41	23	36	30	2	2	33	25	18	3	4	1
41	23	36	30	3	2	18	25	33	3	4	1
41	23	36	30	1	2	16	8	18	3	4	1
41	23	36	30	2	2	8	16	18	3	4	1
41	23	36	30	3	2	18	16	8	3	4	1
41	23	36	30	1	39	25	33	23	3	4	1
41	23	36	30	2	39	33	25	23	3	4	1
41	23	36	30	3	39	23	25	33	3	4	1
41	23	36	30	1	39	16	8	23	3	4	1
41	23	36	30	2	39	8	16	23	3	4	1
41	23	36	30	3	39	23	16	8	3	4	1
41	25	11	6	1	28	26	29	22	3	4	1
41	25	11	6	2	28	29	26	22	3	4	1
41	25	11	6	3	28	22	26	29	3	4	1
41	25	11	6	1	13	15	12	19	3	4	1
41	25	11	6	2	13	12	15	19	3	4	1
41	25	11	6	3	13	19	15	12	3	4	1
41	26	11	4	1	24	3	10	32	3	4	1
41	26	11	4	2	24	10	3	32	3	4	1
41	26	11	4	3	24	32	3	10	3	4	1
41	26	11	4	1	17	38	31	9	3	4	1
41	26	11	4	2	17	31	38	9	3	4	1
41	26	11	4	3	17	9	38	31	3	4	1
41	27	32	0	1	10	36	22	35	3	4	1
41	27	32	0	2	10	22	36	35	3	4	1
41	27	32	0	3	10	35	36	22	3	4	1
41	27	32	0	1	10	5	19	35	3	4	1
41	27	32	0	2	10	19	5	35	3	4	1
41	27	32	0	3	10	35	5	19	3	4	1
41	27	32	0	1	31	36	22	6	3	4	1
41	27	32	0	2	31	22	36	6	3	4	1
41	27	32	0	3	31	6	36	22	3	4	1
41	27	32	0	1	31	5	19	6	3	4	1
41	27	32	0	2	31	19	5	6	3	4	1
41	27	32	0	3	31	6	5	19	3	4	1
41	27	38	0	1	39	7	22	18	3	4	1
41	27	38	0	2	39	22	7	18	3	4	1
41	27	38	0	3	39	18	7	22	3	4	1
41	27	38	0	1	2	7	19	18	3	4	1
41	27	38	0	2	2	19	7	18	3	4	1
41	27	38	0	3	2	18	7	19	3	4	1
41	27	38	0	1	39	34	22	23	3	4	1
41	27	38	0	2	39	22	34	23	3	4	1
41	27	38	0	3	39	23	34	22	3	4	1
41	27	38	0	1	2	34	19	23	3	4	1
41	27	38	0	2	2	19	34	23	3	4	1
41	27	38	0	3	2	23	34	19	3	4	1
41	28	39	38	1	1	2	23	32	3	4	1
41	28	39	38	2	1	23	2	32	3	4	1
41	28	39	38	3	1	32	2	23	3	4	1
41	28	39	38	1	40	39	23	32	3	4	1
41	28	39	38	2	40	23	39	32	3	4	1
41	28	39	38	3	40	32	39	23	3	4	1
41	28	39	38	1	1	2	18	9	3	4	1
41	28	39	38	2	1	18	2	9	3	4	1
41	28	39	38	3	1	9	2	18	3	4	1
41	28	39	38	1	40	39	18	9	3	4	1
41	28	39	38	2	40	18	39	9	3	4	1
41	28	39	38	3	40	9	39	18	3	4	1
41	29	23	29	1	34	29	22	35	3	4	1
41	29	23	29	2	34	22	29	35	3	4	1
41	29	23	29	3	34	35	29	22	3	4	1
41	29	23	29	1	7	29	19	35	3	4	1
41	29	23	29	2	7	19	29	35	3	4	1
41	29	23	29	3	7	35	29	19	3	4	1
41	29	23	29	1	34	12	22	6	3	4	1
41	29	23	29	2	34	22	12	6	3	4	1
41	29	23	29	3	34	6	12	22	3	4	1
41	29	23	29	1	7	12	19	6	3	4	1
41	29	23	29	2	7	19	12	6	3	4	1
41	29	23	29	3	7	6	12	19	3	4	1
41	30	13	38	1	3	16	29	18	3	4	1
41	30	13	38	2	3	29	16	18	3	4	1
41	30	13	38	3	3	18	16	29	3	4	1
41	30	13	38	1	38	25	29	18	3	4	1
41	30	13	38	2	38	29	25	18	3	4	1
41	30	13	38	3	38	18	25	29	3	4	1
41	30	13	38	1	3	16	12	23	3	4	1
41	30	13	38	2	3	12	16	23	3	4	1
41	30	13	38	3	3	23	16	12	3	4	1
41	30	13	38	1	38	25	12	23	3	4	1
41	30	13	38	2	38	12	25	23	3	4	1
41	30	13	38	3	38	23	25	12	3	4	1
41	30	19	24	1	7	3	20	32	3	4	1
41	30	19	24	2	7	20	3	32	3	4	1
41	30	19	24	3	7	32	3	20	3	4	1
41	30	19	24	1	34	3	20	32	3	4	1
41	30	19	24	2	34	20	3	32	3	4	1
41	30	19	24	3	34	32	3	20	3	4	1
41	30	19	24	1	7	38	21	32	3	4	1
41	30	19	24	2	7	21	38	32	3	4	1
41	30	19	24	3	7	32	38	21	3	4	1
41	30	19	24	1	34	38	21	32	3	4	1
41	30	19	24	2	34	21	38	32	3	4	1
41	30	19	24	3	34	32	38	21	3	4	1
41	30	19	24	1	7	3	20	9	3	4	1
41	30	19	24	2	7	20	3	9	3	4	1
41	30	19	24	3	7	9	3	20	3	4	1
41	30	19	24	1	34	3	20	9	3	4	1
41	30	19	24	2	34	20	3	9	3	4	1
41	30	19	24	3	34	9	3	20	3	4	1
41	30	19	24	1	7	38	21	9	3	4	1
41	30	19	24	2	7	21	38	9	3	4	1
41	30	19	24	3	7	9	38	21	3	4	1
41	30	19	24	1	34	38	21	9	3	4	1
41	30	19	24	2	34	21	38	9	3	4	1
41	30	19	24	3	34	9	38	21	3	4	1
41	30	40	16	1	13	33	36	22	3	4	1
41	30	40	16	2	13	36	33	22	3	4	1
41	30	40	16	3	13	22	33	36	3	4	1
41	30	40	16	1	13	8	36	22	3	4	1
41	30	40	16	2	13	36	8	22	3	4	1
41	30	40	16	3	13	22	8	36	3	4	1
41	30	40	16	1	13	33	5	22	3	4	1
41	30	40	16	2	13	5	33	22	3	4	1
41	30	40	16	3	13	22	33	5	3	4	1
41	30	40	16	1	13	8	5	22	3	4	1
41	30	40	16	2	13	5	8	22	3	4	1
41	30	40	16	3	13	22	8	5	3	4	1
41	30	40	16	1	28	33	36	19	3	4	1
41	30	40	16	2	28	36	33	19	3	4	1
41	30	40	16	3	28	19	33	36	3	4	1
41	30	40	16	1	28	8	36	19	3	4	1
41	30	40	16	2	28	36	8	19	3	4	1
41	30	40	16	3	28	19	8	36	3	4	1
41	30	40	16	1	28	33	5	19	3	4	1
41	30	40	16	2	28	5	33	19	3	4	1
41	30	40	16	3	28	19	33	5	3	4	1
41	30	40	16	1	28	8	5	19	3	4	1
41	30	40	16	2	28	5	8	19	3	4	1
41	30	40	16	3	28	19	8	5	3	4	1
41	31	2	36	1	7	10	5	27	3	4	1
41	31	2	36	2	7	5	10	27	3	4	1
41	31	2	36	3	7	27	10	5	3	4	1
41	31	2	36	1	34	31	5	27	3	4	1
41	31	2	36	2	34	5	31	27	3	4	1
41	31	2	36	3	34	27	31	5	3	4	1
41	31	2	36	1	7	10	36	14	3	4	1
41	31	2	36	2	7	36	10	14	3	4	1
41	31	2	36	3	7	14	10	36	3	4	1
41	31	2	36	1	34	31	36	14	3	4	1
41	31	2	36	2	34	36	31	14	3	4	1
41	31	2	36	3	34	14	31	36	3	4	1
41	31	4	24	1	17	7	8	20	3	4	1
41	31	4	24	2	17	8	7	20	3	4	1
41	31	4	24	3	17	20	7	8	3	4	1
41	31	4	24	1	24	34	33	21	3	4	1
41	31	4	24	2	24	33	34	21	3	4	1
41	31	4	24	3	24	21	34	33	3	4	1
41	31	28	4	1	1	13	26	20	3	4	1
41	31	28	4	2	1	26	13	20	3	4	1
41	31	28	4	3	1	20	13	26	3	4	1
41	31	28	4	1	40	28	26	20	3	4	1
41	31	28	4	2	40	26	28	20	3	4	1
41	31	28	4	3	40	20	28	26	3	4	1
41	31	28	4	1	1	13	15	21	3	4	1
41	31	28	4	2	1	15	13	21	3	4	1
41	31	28	4	3	1	21	13	15	3	4	1
41	31	28	4	1	40	28	15	21	3	4	1
41	31	28	4	2	40	15	28	21	3	4	1
41	31	28	4	3	40	21	28	15	3	4	1
41	31	34	40	1	17	39	22	32	3	4	1
41	31	34	40	2	17	22	39	32	3	4	1
41	31	34	40	3	17	32	39	22	3	4	1
41	31	34	40	1	24	2	19	9	3	4	1
41	31	34	40	2	24	19	2	9	3	4	1
41	31	34	40	3	24	9	2	19	3	4	1
41	31	37	14	1	28	26	8	18	3	4	1
41	31	37	14	2	28	8	26	18	3	4	1
41	31	37	14	3	28	18	26	8	3	4	1
41	31	37	14	1	13	15	33	23	3	4	1
41	31	37	14	2	13	33	15	23	3	4	1
41	31	37	14	3	13	23	15	33	3	4	1
41	32	9	21	1	2	15	22	18	3	4	1
41	32	9	21	2	2	22	15	18	3	4	1
41	32	9	21	3	2	18	15	22	3	4	1
41	32	9	21	1	39	26	19	23	3	4	1
41	32	9	21	2	39	19	26	23	3	4	1
41	32	9	21	3	39	23	26	19	3	4	1
41	33	26	3	1	17	10	5	35	3	4	1
41	33	26	3	2	17	5	10	35	3	4	1
41	33	26	3	3	17	35	10	5	3	4	1
41	33	26	3	1	24	31	36	6	3	4	1
41	33	26	3	2	24	36	31	6	3	4	1
41	33	26	3	3	24	6	31	36	3	4	1
41	35	25	16	1	39	7	20	35	3	4	1
41	35	25	16	2	39	20	7	35	3	4	1
41	35	25	16	3	39	35	7	20	3	4	1
41	35	25	16	1	2	7	21	35	3	4	1
41	35	25	16	2	2	21	7	35	3	4	1
41	35	25	16	3	2	35	7	21	3	4	1
41	35	25	16	1	39	34	20	6	3	4	1
41	35	25	16	2	39	20	34	6	3	4	1
41	35	25	16	3	39	6	34	20	3	4	1
41	35	25	16	1	2	34	21	6	3	4	1
41	35	25	16	2	2	21	34	6	3	4	1
41	35	25	16	3	2	6	34	21	3	4	1
41	35	39	22	1	28	14	22	30	3	4	1
41	35	39	22	2	28	22	14	30	3	4	1
41	35	39	22	3	28	30	14	22	3	4	1
41	35	39	22	1	28	27	19	30	3	4	1
41	35	39	22	2	28	19	27	30	3	4	1
41	35	39	22	3	28	30	27	19	3	4	1
41	35	39	22	1	13	14	22	11	3	4	1
41	35	39	22	2	13	22	14	11	3	4	1
41	35	39	22	3	13	11	14	22	3	4	1
41	35	39	22	1	13	27	19	11	3	4	1
41	35	39	22	2	13	19	27	11	3	4	1
41	35	39	22	3	13	11	27	19	3	4	1
41	36	22	10	1	10	29	36	35	3	4	1
41	36	22	10	2	10	36	29	35	3	4	1
41	36	22	10	3	10	35	29	36	3	4	1
41	36	22	10	1	10	12	5	35	3	4	1
41	36	22	10	2	10	5	12	35	3	4	1
41	36	22	10	3	10	35	12	5	3	4	1
41	36	22	10	1	31	29	36	6	3	4	1
41	36	22	10	2	31	36	29	6	3	4	1
41	36	22	10	3	31	6	29	36	3	4	1
41	36	22	10	1	31	12	5	6	3	4	1
41	36	22	10	2	31	5	12	6	3	4	1
41	36	22	10	3	31	6	12	5	3	4	1
41	36	33	18	1	17	16	4	35	3	4	1
41	36	33	18	2	17	4	16	35	3	4	1
41	36	33	18	3	17	35	16	4	3	4	1
41	36	33	18	1	24	25	4	35	3	4	1
41	36	33	18	2	24	4	25	35	3	4	1
41	36	33	18	3	24	35	25	4	3	4	1
41	36	33	18	1	17	16	37	6	3	4	1
41	36	33	18	2	17	37	16	6	3	4	1
41	36	33	18	3	17	6	16	37	3	4	1
41	36	33	18	1	24	25	37	6	3	4	1
41	36	33	18	2	24	37	25	6	3	4	1
41	36	33	18	3	24	6	25	37	3	4	1
41	37	23	6	1	26	33	23	30	3	4	1
41	37	23	6	2	26	23	33	30	3	4	1
41	37	23	6	3	26	30	33	23	3	4	1
41	37	23	6	1	15	8	18	11	3	4	1
41	37	23	6	2	15	18	8	11	3	4	1
41	37	23	6	3	15	11	8	18	3	4	1
41	40	12	29	1	26	8	22	32	3	4	1
41	40	12	29	2	26	22	8	32	3	4	1
41	40	12	29	3	26	32	8	22	3	4	1
41	40	12	29	1	26	33	19	32	3	4	1
41	40	12	29	2	26	19	33	32	3	4	1
41	40	12	29	3	26	32	33	19	3	4	1
41	40	12	29	1	15	8	22	9	3	4	1
41	40	12	29	2	15	22	8	9	3	4	1
41	40	12	29	3	15	9	8	22	3	4	1
41	40	12	29	1	15	33	19	9	3	4	1
41	40	12	29	2	15	19	33	9	3	4	1
41	40	12	29	3	15	9	33	19	3	4	1
41	40	18	23	1	24	36	20	30	3	4	1
41	40	18	23	2	24	20	36	30	3	4	1
41	40	18	23	3	24	30	36	20	3	4	1
41	40	18	23	1	17	5	21	11	3	4	1
41	40	18	23	2	17	21	5	11	3	4	1
41	40	18	23	3	17	11	5	21	3	4	1
41	40	29	12	1	40	15	12	32	3	4	1
41	40	29	12	2	40	12	15	32	3	4	1
41	40	29	12	3	40	32	15	12	3	4	1
41	40	29	12	1	1	26	12	32	3	4	1
41	40	29	12	2	1	12	26	32	3	4	1
41	40	29	12	3	1	32	26	12	3	4	1
41	40	29	12	1	40	15	29	9	3	4	1
41	40	29	12	2	40	29	15	9	3	4	1
41	40	29	12	3	40	9	15	29	3	4	1
41	40	29	12	1	1	26	29	9	3	4	1
41	40	29	12	2	1	29	26	9	3	4	1
41	40	29	12	3	1	9	26	29	3	4	1
