p	A	B	C	rho	sigma	pairing	a	b	c	d	mc	nc	U1	U0	V1	V0	M	N	G1	G0	W1	W0	ordD	ordH	relrankMN
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	28	61	3	31	40	9	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	35	18	62	66	57	34	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	46	22	2	47	41	35	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	48	10	25	53	56	34	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	51	58	15	46	30	45	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	62	62	18	17	36	63	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	63	52	23	19	53	35	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	8	39	32	33	60	21	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	8	64	10	41	7	46	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	11	1	56	7	28	33	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	13	66	4	13	27	22	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	14	7	27	48	26	24	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	16	44	13	56	62	31	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	17	38	23	1	14	44	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	25	33	52	29	43	12	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	27	40	33	9	3	10	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	28	61	3	31	40	9	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	35	18	62	66	57	34	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	46	22	2	47	41	35	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	48	10	25	53	56	34	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	51	58	15	46	30	45	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	62	62	18	17	36	63	12	24	2
67	3	23	34	4	54	2	59	21	28	31	36	30	26	39	64	37	63	52	23	19	53	35	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	8	39	32	33	60	21	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	8	64	10	41	7	46	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	11	1	56	7	28	33	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	13	66	4	13	27	22	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	14	7	27	48	26	24	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	16	44	13	56	62	31	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	17	38	23	1	14	44	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	25	33	52	29	43	12	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	27	40	33	9	3	10	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	28	61	3	31	40	9	12	24	2
