level	modulus	z	contact_incidences	full_cover_possible
4	28561	8138	2	0
4	28561	8151	2	0
4	28561	8164	2	0
4	28561	8177	2	0
4	28561	8190	2	0
4	28561	8203	2	0
4	28561	8216	2	0
4	28561	8229	2	0
4	28561	8242	2	0
4	28561	8255	2	0
4	28561	8268	2	0
4	28561	8281	2	0
4	28561	8294	2	0
4	28561	8307	2	0
4	28561	8320	2	0
4	28561	8333	2	0
4	28561	8346	2	0
4	28561	8359	2	0
4	28561	8372	2	0
4	28561	8385	2	0
4	28561	8398	2	0
4	28561	8411	2	0
4	28561	8424	2	0
4	28561	8437	2	0
4	28561	8450	2	0
4	28561	8463	2	0
4	28561	8476	2	0
4	28561	8489	2	0
4	28561	8502	2	0
4	28561	8515	2	0
4	28561	8528	2	0
4	28561	8541	2	0
4	28561	8554	2	0
4	28561	8567	2	0
4	28561	8580	2	0
4	28561	8593	2	0
4	28561	8606	2	0
4	28561	8619	2	0
4	28561	8632	2	0
4	28561	8645	2	0
4	28561	8658	2	0
4	28561	8671	2	0
4	28561	8684	2	0
4	28561	8697	2	0
4	28561	8710	2	0
4	28561	8723	2	0
4	28561	8736	2	0
4	28561	8749	2	0
4	28561	8762	2	0
4	28561	8775	2	0
4	28561	8788	2	0
4	28561	8801	2	0
4	28561	8814	2	0
4	28561	8827	2	0
4	28561	8840	2	0
4	28561	8853	2	0
4	28561	8866	2	0
4	28561	8879	2	0
4	28561	8892	2	0
4	28561	8905	2	0
4	28561	8918	2	0
4	28561	8931	2	0
4	28561	8944	2	0
4	28561	8957	2	0
4	28561	8970	2	0
4	28561	8983	2	0
4	28561	8996	2	0
4	28561	9009	2	0
4	28561	9022	2	0
4	28561	9035	2	0
4	28561	9048	2	0
4	28561	9061	2	0
4	28561	9074	2	0
4	28561	9087	2	0
4	28561	9100	2	0
4	28561	9113	2	0
4	28561	9126	2	0
4	28561	9139	2	0
4	28561	9152	2	0
4	28561	9165	2	0
4	28561	9178	2	0
4	28561	9191	2	0
4	28561	9204	2	0
4	28561	9217	2	0
4	28561	9230	2	0
4	28561	9243	2	0
4	28561	9256	2	0
4	28561	9269	2	0
4	28561	9282	2	0
4	28561	9295	2	0
4	28561	9308	2	0
4	28561	9321	2	0
4	28561	9334	2	0
4	28561	9347	2	0
4	28561	9360	2	0
