a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
3240	3510	4320	4680	6	36	39	-48	-52	1	0	0	0	0
3240	3520	3645	3960	6	648	704	-729	-792	1	0	0	0	0
3240	3744	5490	6344	6	1620	1872	-2745	-3172	1	0	0	0	0
3240	3960	6840	8360	6	81	99	-171	-209	1	0	0	0	0
3240	4860	5184	5400	6	30	45	-48	-50	0	0	0	0	0
3240	6480	6615	9720	6	24	48	-49	-72	0	0	0	0	0
3243	6900	7050	7350	6	1081	2300	-2350	-2450	0	0	0	0	0
3245	3835	5995	7085	6	649	767	-1199	-1417	1	0	0	0	0
3248	3712	5278	6032	6	56	64	-91	-104	1	0	0	0	0
3248	4032	7308	9072	6	116	144	-261	-324	1	0	0	0	0
3250	3900	6375	7650	6	130	156	-255	-306	1	0	0	0	0
3264	3876	6144	7296	6	272	323	-512	-608	1	0	0	0	0
3264	3936	6528	7872	6	34	41	-68	-82	1	0	0	0	0
3264	6528	6664	9792	6	24	48	-49	-72	0	0	0	0	0
3266	3749	5396	6194	6	3266	3749	-5396	-6194	1	0	0	0	0
3266	4508	5183	7154	6	3266	4508	-5183	-7154	1	0	0	0	0
3268	3440	3515	3700	6	3268	3440	-3515	-3700	1	0	0	0	0
3268	4085	7568	9460	6	76	95	-176	-220	1	0	0	0	0
3270	4905	5232	5450	6	30	45	-48	-50	0	0	0	0	0
3276	3549	4368	4732	6	36	39	-48	-52	1	0	0	0	0
3276	3864	6006	7084	6	234	276	-429	-506	1	0	0	0	0
3276	4134	7896	9964	6	1638	2067	-3948	-4982	1	0	0	0	0
3283	3969	6633	8019	6	3283	3969	-6633	-8019	1	0	0	0	0
3286	3657	4836	5382	6	3286	3657	-4836	-5382	1	0	0	0	0
3288	6576	6713	9864	6	24	48	-49	-72	0	0	0	0	0
3289	3575	4439	4825	6	3289	3575	-4439	-4825	1	0	0	0	0
3296	3502	4096	4352	6	1648	1751	-2048	-2176	1	0	0	0	0
3296	5776	6768	9682	6	1648	2888	-3384	-4841	0	0	0	0	0
3298	3977	6596	7954	6	34	41	-68	-82	1	0	0	0	0
3300	4530	6270	8607	0	1100	1510	2090	2869	1	1	0	0	0
3300	4950	5280	5500	6	30	45	-48	-50	0	0	0	0	0
3300	5085	6160	9492	6	3300	5085	-6160	-9492	1	0	0	0	0
3300	5324	5577	6336	6	300	484	-507	-576	0	0	0	0	0
3304	3696	4956	5544	6	118	132	-177	-198	1	0	0	0	0
3304	3776	5369	6136	6	56	64	-91	-104	1	0	0	0	0
3306	3915	6156	7290	6	1102	1305	-2052	-2430	1	0	0	0	0
3310	3940	6289	7486	6	3310	3940	-6289	-7486	1	0	0	0	0
3312	3450	3680	5520	6	72	75	-80	-120	0	0	0	0	0
3312	3588	4416	4784	6	36	39	-48	-52	1	0	0	0	0
3312	3648	4692	5168	6	828	912	-1173	-1292	1	0	0	0	0
3312	6624	6762	9936	6	24	48	-49	-72	0	0	0	0	0
3318	3612	4503	4902	6	1106	1204	-1501	-1634	1	0	0	0	0
3320	3680	4814	5336	6	1660	1840	-2407	-2668	1	0	0	0	0
3321	4059	7011	8569	6	81	99	-171	-209	1	0	0	0	0
3322	3553	4228	4522	6	3322	3553	-4228	-4522	1	0	0	0	0
