a	b	c	d	e1	e2	e3	e4	L	U	v
1	11	24	28	25	12	29	10	13	12	25
1	11	25	17	13	17	10	5	13	30	16
1	11	27	28	23	29	9	2	12	3	14
1	11	28	24	25	12	29	10	13	12	25
1	11	28	27	23	29	9	2	12	3	14
1	12	11	18	1	23	20	28	15	17	12
1	12	16	27	14	1	6	18	1	4	15
1	12	18	11	1	23	20	28	15	17	12
1	12	24	28	17	5	5	16	10	10	22
1	12	27	16	14	1	6	18	1	4	15
1	12	28	24	17	5	5	16	10	10	22
1	13	2	23	21	19	18	19	6	16	29
1	13	10	22	10	10	3	2	13	25	24
1	13	17	19	14	13	10	10	9	21	13
1	13	19	17	14	13	10	10	9	21	13
1	13	22	10	10	10	3	2	13	25	24
1	13	23	2	21	19	18	19	6	16	29
1	14	2	9	3	29	12	16	7	27	2
1	14	3	11	17	18	11	9	9	25	11
1	14	4	10	3	3	5	4	1	6	28
1	14	5	7	23	3	17	5	13	21	5
1	14	7	5	23	3	17	5	13	21	5
1	14	9	2	3	29	12	16	7	27	2
1	14	10	4	3	3	5	4	1	6	28
1	14	10	18	1	29	17	19	5	15	8
1	14	11	3	17	18	11	9	9	25	11
1	14	15	21	26	14	22	2	3	20	15
1	14	18	10	1	29	17	19	5	15	8
1	14	18	20	22	27	20	14	11	13	9
1	14	19	20	28	13	6	20	7	17	7
1	14	20	18	22	27	20	14	11	13	9
1	14	20	19	28	13	6	20	7	17	7
1	14	21	15	26	14	22	2	3	20	15
1	14	24	29	2	14	20	7	10	3	14
1	14	29	24	2	14	20	7	10	3	14
1	15	14	21	26	14	22	2	3	20	15
1	15	19	24	16	28	10	28	5	24	19
1	15	20	22	25	2	18	9	14	22	20
1	15	21	14	26	14	22	2	3	20	15
1	15	22	20	25	2	18	9	14	22	20
1	15	24	19	16	28	10	28	5	24	19
1	16	3	26	12	12	3	2	1	24	16
1	16	4	5	19	2	22	7	10	18	6
1	16	4	28	3	5	8	5	12	4	22
1	16	5	4	19	2	22	7	10	18	6
1	16	7	20	24	27	6	2	12	30	16
1	16	12	27	14	1	6	18	1	4	15
1	16	20	7	24	27	6	2	12	30	16
1	16	22	27	13	7	9	14	3	4	15
1	16	26	3	12	12	3	2	1	24	16
1	16	27	12	14	1	6	18	1	4	15
1	16	27	22	13	7	9	14	3	4	15
1	16	28	4	3	5	8	5	12	4	22
1	17	5	11	2	22	15	25	4	27	2
1	17	10	22	6	26	18	28	4	21	5
1	17	10	23	20	30	27	16	6	22	20
1	17	11	5	2	22	15	25	4	27	2
1	17	11	25	13	17	10	5	13	30	16
1	17	13	19	14	13	10	10	9	21	13
1	17	18	27	10	6	5	8	7	15	27
1	17	19	13	14	13	10	10	9	21	13
1	17	20	21	15	2	26	7	2	2	17
1	17	21	20	15	2	26	7	2	2	17
1	17	22	10	6	26	18	28	4	21	5
1	17	23	10	20	30	27	16	6	22	20
1	17	25	11	13	17	10	5	13	30	16
1	17	27	18	10	6	5	8	7	15	27
1	18	3	6	29	21	3	10	6	27	18
1	18	4	19	20	6	3	16	2	21	5
1	18	6	3	29	21	3	10	6	27	18
1	18	8	19	6	12	9	2	8	12	25
1	18	10	14	1	29	17	19	5	15	8
1	18	11	12	1	23	20	28	15	17	12
1	18	12	11	1	23	20	28	15	17	12
1	18	14	10	1	29	17	19	5	15	8
1	18	14	20	22	27	20	14	11	13	9
1	18	17	27	10	6	5	8	7	15	27
1	18	19	4	20	6	3	16	2	21	5
1	18	19	8	6	12	9	2	8	12	25
1	18	20	14	22	27	20	14	11	13	9
1	18	22	29	7	1	5	10	3	26	18
1	18	27	17	10	6	5	8	7	15	27
1	18	29	22	7	1	5	10	3	26	18
1	19	4	18	20	6	3	16	2	21	5
1	19	8	18	6	12	9	2	8	12	25
1	19	11	23	20	24	9	4	6	30	23
1	19	13	17	14	13	10	10	9	21	13
1	19	14	20	28	13	6	20	7	17	7
1	19	15	24	16	28	10	28	5	24	19
1	19	17	13	14	13	10	10	9	21	13
1	19	18	4	20	6	3	16	2	21	5
1	19	18	8	6	12	9	2	8	12	25
1	19	20	14	28	13	6	20	7	17	7
1	19	20	28	27	26	18	18	3	23	4
1	19	21	26	22	30	6	28	10	13	19
1	19	23	11	20	24	9	4	6	30	23
1	19	24	15	16	28	10	28	5	24	19
1	19	26	21	22	30	6	28	10	13	19
1	19	28	20	27	26	18	18	3	23	4
1	20	3	29	11	7	13	16	6	18	29
1	20	7	16	24	27	6	2	12	30	16
1	20	8	28	9	24	24	8	15	11	10
1	20	9	25	22	13	17	25	15	12	25
1	20	14	18	22	27	20	14	11	13	9
1	20	14	19	28	13	6	20	7	17	7
1	20	15	22	25	2	18	9	14	22	20
1	20	16	7	24	27	6	2	12	30	16
1	20	17	21	15	2	26	7	2	2	17
1	20	18	14	22	27	20	14	11	13	9
1	20	19	14	28	13	6	20	7	17	7
1	20	19	28	27	26	18	18	3	23	4
1	20	21	17	15	2	26	7	2	2	17
1	20	22	15	25	2	18	9	14	22	20
1	20	25	9	22	13	17	25	15	12	25
1	20	28	8	9	24	24	8	15	11	10
1	20	28	19	27	26	18	18	3	23	4
1	20	29	3	11	7	13	16	6	18	29
1	21	2	6	17	6	6	16	2	3	2
1	21	6	2	17	6	6	16	2	3	2
1	21	14	15	26	14	22	2	3	20	15
1	21	15	14	26	14	22	2	3	20	15
1	21	17	20	15	2	26	7	2	2	17
1	21	19	26	22	30	6	28	10	13	19
1	21	20	17	15	2	26	7	2	2	17
1	21	24	28	4	13	28	18	3	7	21
1	21	26	19	22	30	6	28	10	13	19
1	21	28	24	4	13	28	18	3	7	21
1	22	3	10	5	30	14	19	9	1	3
1	22	10	3	5	30	14	19	9	1	3
1	22	10	13	10	10	3	2	13	25	24
1	22	10	17	6	26	18	28	4	21	5
1	22	13	10	10	10	3	2	13	25	24
1	22	15	20	25	2	18	9	14	22	20
1	22	16	27	13	7	9	14	3	4	15
1	22	17	10	6	26	18	28	4	21	5
1	22	18	29	7	1	5	10	3	26	18
1	22	20	15	25	2	18	9	14	22	20
1	22	25	27	10	23	15	1	7	11	10
1	22	27	16	13	7	9	14	3	4	15
1	22	27	25	10	23	15	1	7	11	10
1	22	27	28	14	12	7	8	4	9	27
1	22	28	27	14	12	7	8	4	9	27
1	22	29	18	7	1	5	10	3	26	18
1	23	2	13	21	19	18	19	6	16	29
1	23	2	24	25	16	12	20	2	16	29
1	23	5	24	15	23	10	1	3	6	28
1	23	10	17	20	30	27	16	6	22	20
1	23	10	24	28	17	25	4	1	18	23
1	23	10	27	26	28	10	7	7	8	30
1	23	11	19	20	24	9	4	6	30	23
1	23	13	2	21	19	18	19	6	16	29
1	23	17	10	20	30	27	16	6	22	20
1	23	19	11	20	24	9	4	6	30	23
1	23	24	2	25	16	12	20	2	16	29
1	23	24	5	15	23	10	1	3	6	28
1	23	24	10	28	17	25	4	1	18	23
1	23	27	10	26	28	10	7	7	8	30
1	23	27	28	28	4	17	9	8	8	30
1	23	28	27	28	4	17	9	8	8	30
1	24	2	23	25	16	12	20	2	16	29
1	24	5	23	15	23	10	1	3	6	28
1	24	10	23	28	17	25	4	1	18	23
1	24	11	28	25	12	29	10	13	12	25
1	24	12	28	17	5	5	16	10	10	22
1	24	14	29	2	14	20	7	10	3	14
1	24	15	19	16	28	10	28	5	24	19
1	24	19	15	16	28	10	28	5	24	19
1	24	21	28	4	13	28	18	3	7	21
1	24	23	2	25	16	12	20	2	16	29
1	24	23	5	15	23	10	1	3	6	28
1	24	23	10	28	17	25	4	1	18	23
1	24	28	11	25	12	29	10	13	12	25
1	24	28	12	17	5	5	16	10	10	22
1	24	28	21	4	13	28	18	3	7	21
1	24	29	14	2	14	20	7	10	3	14
1	25	2	8	12	18	16	9	7	16	26
1	25	7	28	2	19	22	4	2	28	30
1	25	8	2	12	18	16	9	7	16	26
1	25	9	20	22	13	17	25	15	12	25
1	25	11	17	13	17	10	5	13	30	16
1	25	17	11	13	17	10	5	13	30	16
1	25	20	9	22	13	17	25	15	12	25
1	25	22	27	10	23	15	1	7	11	10
1	25	27	22	10	23	15	1	7	11	10
1	25	28	7	2	19	22	4	2	28	30
1	26	3	16	12	12	3	2	1	24	16
1	26	16	3	12	12	3	2	1	24	16
1	26	19	21	22	30	6	28	10	13	19
1	26	21	19	22	30	6	28	10	13	19
1	27	10	23	26	28	10	7	7	8	30
1	27	11	28	23	29	9	2	12	3	14
1	27	12	16	14	1	6	18	1	4	15
1	27	16	12	14	1	6	18	1	4	15
1	27	16	22	13	7	9	14	3	4	15
1	27	17	18	10	6	5	8	7	15	27
1	27	18	17	10	6	5	8	7	15	27
1	27	22	16	13	7	9	14	3	4	15
1	27	22	25	10	23	15	1	7	11	10
1	27	22	28	14	12	7	8	4	9	27
1	27	23	10	26	28	10	7	7	8	30
1	27	23	28	28	4	17	9	8	8	30
1	27	25	22	10	23	15	1	7	11	10
1	27	28	11	23	29	9	2	12	3	14
1	27	28	22	14	12	7	8	4	9	27
1	27	28	23	28	4	17	9	8	8	30
1	28	4	16	3	5	8	5	12	4	22
1	28	7	25	2	19	22	4	2	28	30
1	28	8	20	9	24	24	8	15	11	10
1	28	11	24	25	12	29	10	13	12	25
1	28	11	27	23	29	9	2	12	3	14
1	28	12	24	17	5	5	16	10	10	22
1	28	16	4	3	5	8	5	12	4	22
1	28	19	20	27	26	18	18	3	23	4
1	28	20	8	9	24	24	8	15	11	10
1	28	20	19	27	26	18	18	3	23	4
1	28	21	24	4	13	28	18	3	7	21
1	28	22	27	14	12	7	8	4	9	27
1	28	23	27	28	4	17	9	8	8	30
1	28	24	11	25	12	29	10	13	12	25
1	28	24	12	17	5	5	16	10	10	22
1	28	24	21	4	13	28	18	3	7	21
1	28	25	7	2	19	22	4	2	28	30
1	28	27	11	23	29	9	2	12	3	14
1	28	27	22	14	12	7	8	4	9	27
1	28	27	23	28	4	17	9	8	8	30
1	29	3	20	11	7	13	16	6	18	29
1	29	14	24	2	14	20	7	10	3	14
1	29	18	22	7	1	5	10	3	26	18
1	29	20	3	11	7	13	16	6	18	29
1	29	22	18	7	1	5	10	3	26	18
1	29	24	14	2	14	20	7	10	3	14
