T_key	T_mod13	component	radicand_valuations	radicand_units_mod13
125061	1	exceptional_plus1	0,0,0,2	1,3,9,12
125230	1	exceptional_plus1	0,0,0,2	1,3,9,9
125568	1	exceptional_plus1	0,0,0,2	1,3,9,3
125906	1	exceptional_plus1	0,0,0,2	1,3,9,10
126244	1	exceptional_plus1	0,0,0,2	1,3,9,4
126413	1	exceptional_plus1	0,0,0,2	1,3,9,1
127258	1	exceptional_plus1	0,0,0,2	1,3,9,12
127427	1	exceptional_plus1	0,0,0,2	1,3,9,9
127765	1	exceptional_plus1	0,0,0,2	1,3,9,3
128103	1	exceptional_plus1	0,0,0,2	1,3,9,10
128441	1	exceptional_plus1	0,0,0,2	1,3,9,4
128610	1	exceptional_plus1	0,0,0,2	1,3,9,1
129455	1	exceptional_plus1	0,0,0,2	1,3,9,12
129624	1	exceptional_plus1	0,0,0,2	1,3,9,9
129962	1	exceptional_plus1	0,0,0,2	1,3,9,3
130300	1	exceptional_plus1	0,0,0,2	1,3,9,10
130638	1	exceptional_plus1	0,0,0,2	1,3,9,4
130807	1	exceptional_plus1	0,0,0,2	1,3,9,1
131652	1	exceptional_plus1	0,0,0,2	1,3,9,12
131821	1	exceptional_plus1	0,0,0,2	1,3,9,9
132159	1	exceptional_plus1	0,0,0,2	1,3,9,3
132497	1	exceptional_plus1	0,0,0,2	1,3,9,10
132835	1	exceptional_plus1	0,0,0,2	1,3,9,4
133004	1	exceptional_plus1	0,0,0,2	1,3,9,1
133849	1	exceptional_plus1	0,0,0,2	1,3,9,12
134018	1	exceptional_plus1	0,0,0,2	1,3,9,9
134356	1	exceptional_plus1	0,0,0,2	1,3,9,3
134694	1	exceptional_plus1	0,0,0,2	1,3,9,10
135032	1	exceptional_plus1	0,0,0,2	1,3,9,4
135201	1	exceptional_plus1	0,0,0,2	1,3,9,1
136046	1	exceptional_plus1	0,0,0,2	1,3,9,12
136215	1	exceptional_plus1	0,0,0,2	1,3,9,9
136553	1	exceptional_plus1	0,0,0,2	1,3,9,3
136891	1	exceptional_plus1	0,0,0,2	1,3,9,10
137229	1	exceptional_plus1	0,0,0,2	1,3,9,4
137398	1	exceptional_plus1	0,0,0,2	1,3,9,1
138243	1	exceptional_plus1	0,0,0,2	1,3,9,12
138412	1	exceptional_plus1	0,0,0,2	1,3,9,9
138750	1	exceptional_plus1	0,0,0,2	1,3,9,3
139088	1	exceptional_plus1	0,0,0,2	1,3,9,10
139426	1	exceptional_plus1	0,0,0,2	1,3,9,4
139595	1	exceptional_plus1	0,0,0,2	1,3,9,1
140440	1	exceptional_plus1	0,0,0,2	1,3,9,12
140609	1	exceptional_plus1	0,0,0,2	1,3,9,9
140947	1	exceptional_plus1	0,0,0,2	1,3,9,3
141285	1	exceptional_plus1	0,0,0,2	1,3,9,10
141623	1	exceptional_plus1	0,0,0,2	1,3,9,4
141792	1	exceptional_plus1	0,0,0,2	1,3,9,1
142637	1	exceptional_plus1	0,0,0,2	1,3,9,12
142806	1	exceptional_plus1	0,0,0,2	1,3,9,9
143144	1	exceptional_plus1	0,0,0,2	1,3,9,3
143482	1	exceptional_plus1	0,0,0,2	1,3,9,10
143820	1	exceptional_plus1	0,0,0,2	1,3,9,4
143989	1	exceptional_plus1	0,0,0,2	1,3,9,1
144834	1	exceptional_plus1	0,0,0,2	1,3,9,12
145003	1	exceptional_plus1	0,0,0,2	1,3,9,9
145341	1	exceptional_plus1	0,0,0,2	1,3,9,3
145679	1	exceptional_plus1	0,0,0,2	1,3,9,10
146017	1	exceptional_plus1	0,0,0,2	1,3,9,4
146186	1	exceptional_plus1	0,0,0,2	1,3,9,1
147031	1	exceptional_plus1	0,0,0,2	1,3,9,12
147200	1	exceptional_plus1	0,0,0,2	1,3,9,9
147538	1	exceptional_plus1	0,0,0,2	1,3,9,3
147876	1	exceptional_plus1	0,0,0,2	1,3,9,10
148214	1	exceptional_plus1	0,0,0,2	1,3,9,4
148383	1	exceptional_plus1	0,0,0,2	1,3,9,1
149228	1	exceptional_plus1	0,0,0,2	1,3,9,12
149397	1	exceptional_plus1	0,0,0,2	1,3,9,9
149735	1	exceptional_plus1	0,0,0,2	1,3,9,3
150073	1	exceptional_plus1	0,0,0,2	1,3,9,10
150411	1	exceptional_plus1	0,0,0,2	1,3,9,4
150580	1	exceptional_plus1	0,0,0,2	1,3,9,1
151425	1	exceptional_plus1	0,0,0,2	1,3,9,12
151594	1	exceptional_plus1	0,0,0,2	1,3,9,9
151932	1	exceptional_plus1	0,0,0,2	1,3,9,3
152270	1	exceptional_plus1	0,0,0,2	1,3,9,10
152608	1	exceptional_plus1	0,0,0,2	1,3,9,4
152777	1	exceptional_plus1	0,0,0,2	1,3,9,1
153622	1	exceptional_plus1	0,0,0,2	1,3,9,12
153791	1	exceptional_plus1	0,0,0,2	1,3,9,9
154129	1	exceptional_plus1	0,0,0,2	1,3,9,3
154467	1	exceptional_plus1	0,0,0,2	1,3,9,10
154805	1	exceptional_plus1	0,0,0,2	1,3,9,4
154974	1	exceptional_plus1	0,0,0,2	1,3,9,1
155819	1	exceptional_plus1	0,0,0,2	1,3,9,12
155988	1	exceptional_plus1	0,0,0,2	1,3,9,9
156326	1	exceptional_plus1	0,0,0,2	1,3,9,3
156664	1	exceptional_plus1	0,0,0,2	1,3,9,10
157002	1	exceptional_plus1	0,0,0,2	1,3,9,4
157171	1	exceptional_plus1	0,0,0,2	1,3,9,1
158016	1	exceptional_plus1	0,0,0,2	1,3,9,12
158185	1	exceptional_plus1	0,0,0,2	1,3,9,9
158523	1	exceptional_plus1	0,0,0,2	1,3,9,3
158861	1	exceptional_plus1	0,0,0,2	1,3,9,10
159199	1	exceptional_plus1	0,0,0,2	1,3,9,4
159368	1	exceptional_plus1	0,0,0,2	1,3,9,1
160213	1	exceptional_plus1	0,0,0,2	1,3,9,12
160382	1	exceptional_plus1	0,0,0,2	1,3,9,9
160720	1	exceptional_plus1	0,0,0,2	1,3,9,3
161058	1	exceptional_plus1	0,0,0,2	1,3,9,10
161396	1	exceptional_plus1	0,0,0,2	1,3,9,4
161565	1	exceptional_plus1	0,0,0,2	1,3,9,1
162410	1	exceptional_plus1	0,0,0,2	1,3,9,12
162579	1	exceptional_plus1	0,0,0,2	1,3,9,9
162917	1	exceptional_plus1	0,0,0,2	1,3,9,3
163255	1	exceptional_plus1	0,0,0,2	1,3,9,10
163593	1	exceptional_plus1	0,0,0,2	1,3,9,4
163762	1	exceptional_plus1	0,0,0,2	1,3,9,1
164607	1	exceptional_plus1	0,0,0,2	1,3,9,12
164776	1	exceptional_plus1	0,0,0,2	1,3,9,9
165114	1	exceptional_plus1	0,0,0,2	1,3,9,3
165452	1	exceptional_plus1	0,0,0,2	1,3,9,10
165790	1	exceptional_plus1	0,0,0,2	1,3,9,4
165959	1	exceptional_plus1	0,0,0,2	1,3,9,1
166804	1	exceptional_plus1	0,0,0,2	1,3,9,12
166973	1	exceptional_plus1	0,0,0,2	1,3,9,9
167311	1	exceptional_plus1	0,0,0,2	1,3,9,3
167649	1	exceptional_plus1	0,0,0,2	1,3,9,10
167987	1	exceptional_plus1	0,0,0,2	1,3,9,4
168156	1	exceptional_plus1	0,0,0,2	1,3,9,1
