u	t	w	source
115146	285432	358013	target_22224_direct_contact_deep13_padic_tangent_p13
115474	291511	89759	target_22224_direct_contact_deep13_padic_tangent_p13
118526	348638	205068	target_22224_direct_contact_deep13_padic_tangent_p13
118864	107137	173296	target_22224_direct_contact_deep13_padic_tangent_p13
120723	278334	198477	target_22224_direct_contact_deep13_padic_tangent_p13
121389	74515	241859	target_22224_direct_contact_deep13_padic_tangent_p13
124302	191145	66865	target_22224_direct_contact_deep13_padic_tangent_p13
126131	221719	98767	target_22224_direct_contact_deep13_padic_tangent_p13
134243	175244	287540	target_22224_direct_contact_deep13_padic_tangent_p13
139313	184370	329452	target_22224_direct_contact_deep13_padic_tangent_p13
142862	97166	88120	target_22224_direct_contact_deep13_padic_tangent_p13
143707	114066	272330	target_22224_direct_contact_deep13_padic_tangent_p13
144035	120145	318247	target_22224_direct_contact_deep13_padic_tangent_p13
147087	177272	119385	target_22224_direct_contact_deep13_padic_tangent_p13
147425	307064	87613	target_22224_direct_contact_deep13_padic_tangent_p13
149284	106968	112794	target_22224_direct_contact_deep13_padic_tangent_p13
149950	274442	99054	target_22224_direct_contact_deep13_padic_tangent_p13
152863	19779	152548	target_22224_direct_contact_deep13_padic_tangent_p13
154692	50353	13084	target_22224_direct_contact_deep13_padic_tangent_p13
162804	3878	201857	target_22224_direct_contact_deep13_padic_tangent_p13
167874	13004	243769	target_22224_direct_contact_deep13_padic_tangent_p13
171423	297093	2437	target_22224_direct_contact_deep13_padic_tangent_p13
172268	313993	186647	target_22224_direct_contact_deep13_padic_tangent_p13
172596	320072	175442	target_22224_direct_contact_deep13_padic_tangent_p13
175648	5906	33702	target_22224_direct_contact_deep13_padic_tangent_p13
175986	135698	1930	target_22224_direct_contact_deep13_padic_tangent_p13
177845	306895	27111	target_22224_direct_contact_deep13_padic_tangent_p13
178511	103076	327542	target_22224_direct_contact_deep13_padic_tangent_p13
181424	219706	238231	target_22224_direct_contact_deep13_padic_tangent_p13
183253	250280	298694	target_22224_direct_contact_deep13_padic_tangent_p13
191365	203805	116174	target_22224_direct_contact_deep13_padic_tangent_p13
196435	212931	158086	target_22224_direct_contact_deep13_padic_tangent_p13
199984	125727	288047	target_22224_direct_contact_deep13_padic_tangent_p13
200829	142627	100964	target_22224_direct_contact_deep13_padic_tangent_p13
201157	148706	32637	target_22224_direct_contact_deep13_padic_tangent_p13
204209	205833	319312	target_22224_direct_contact_deep13_padic_tangent_p13
204547	335625	287540	target_22224_direct_contact_deep13_padic_tangent_p13
206406	135529	312721	target_22224_direct_contact_deep13_padic_tangent_p13
207072	303003	184737	target_22224_direct_contact_deep13_padic_tangent_p13
209985	48340	323914	target_22224_direct_contact_deep13_padic_tangent_p13
211814	78914	213011	target_22224_direct_contact_deep13_padic_tangent_p13
219926	32439	30491	target_22224_direct_contact_deep13_padic_tangent_p13
224996	41565	72403	target_22224_direct_contact_deep13_padic_tangent_p13
228545	325654	202364	target_22224_direct_contact_deep13_padic_tangent_p13
229390	342554	15281	target_22224_direct_contact_deep13_padic_tangent_p13
229718	348633	261125	target_22224_direct_contact_deep13_padic_tangent_p13
232770	34467	233629	target_22224_direct_contact_deep13_padic_tangent_p13
233108	164259	201857	target_22224_direct_contact_deep13_padic_tangent_p13
234967	335456	227038	target_22224_direct_contact_deep13_padic_tangent_p13
235633	131637	41932	target_22224_direct_contact_deep13_padic_tangent_p13
238546	248267	38304	target_22224_direct_contact_deep13_padic_tangent_p13
240375	278841	127328	target_22224_direct_contact_deep13_padic_tangent_p13
248487	232366	316101	target_22224_direct_contact_deep13_padic_tangent_p13
253557	241492	358013	target_22224_direct_contact_deep13_padic_tangent_p13
257106	154288	116681	target_22224_direct_contact_deep13_padic_tangent_p13
257951	171188	300891	target_22224_direct_contact_deep13_padic_tangent_p13
258279	177267	118320	target_22224_direct_contact_deep13_padic_tangent_p13
261331	234394	147946	target_22224_direct_contact_deep13_padic_tangent_p13
261669	364186	116174	target_22224_direct_contact_deep13_padic_tangent_p13
263528	164090	141355	target_22224_direct_contact_deep13_padic_tangent_p13
264194	331564	270420	target_22224_direct_contact_deep13_padic_tangent_p13
267107	76901	123987	target_22224_direct_contact_deep13_padic_tangent_p13
268936	107475	41645	target_22224_direct_contact_deep13_padic_tangent_p13
277048	61000	230418	target_22224_direct_contact_deep13_padic_tangent_p13
282118	70126	272330	target_22224_direct_contact_deep13_padic_tangent_p13
285667	354215	30998	target_22224_direct_contact_deep13_padic_tangent_p13
286512	371115	215208	target_22224_direct_contact_deep13_padic_tangent_p13
286840	5901	346808	target_22224_direct_contact_deep13_padic_tangent_p13
289892	63028	62263	target_22224_direct_contact_deep13_padic_tangent_p13
290230	192820	30491	target_22224_direct_contact_deep13_padic_tangent_p13
292089	364017	55672	target_22224_direct_contact_deep13_padic_tangent_p13
292755	160198	127615	target_22224_direct_contact_deep13_padic_tangent_p13
295668	276828	209670	target_22224_direct_contact_deep13_padic_tangent_p13
297497	307402	327255	target_22224_direct_contact_deep13_padic_tangent_p13
305609	260927	144735	target_22224_direct_contact_deep13_padic_tangent_p13
310679	270053	186647	target_22224_direct_contact_deep13_padic_tangent_p13
314228	182849	316608	target_22224_direct_contact_deep13_padic_tangent_p13
315073	199749	129525	target_22224_direct_contact_deep13_padic_tangent_p13
315401	205828	204003	target_22224_direct_contact_deep13_padic_tangent_p13
318453	262955	347873	target_22224_direct_contact_deep13_padic_tangent_p13
318791	21454	316101	target_22224_direct_contact_deep13_padic_tangent_p13
320650	192651	341282	target_22224_direct_contact_deep13_padic_tangent_p13
321316	360125	356103	target_22224_direct_contact_deep13_padic_tangent_p13
324229	105462	295353	target_22224_direct_contact_deep13_padic_tangent_p13
326058	136036	241572	target_22224_direct_contact_deep13_padic_tangent_p13
330567	82774	99868	target_22224_direct_contact_deep13_padic_tangent_p13
334170	89561	59052	target_22224_direct_contact_deep13_padic_tangent_p13
339240	98687	100964	target_22224_direct_contact_deep13_padic_tangent_p13
342789	11483	230925	target_22224_direct_contact_deep13_padic_tangent_p13
343634	28383	43842	target_22224_direct_contact_deep13_padic_tangent_p13
343962	34462	61198	target_22224_direct_contact_deep13_padic_tangent_p13
347014	91589	262190	target_22224_direct_contact_deep13_padic_tangent_p13
347352	221381	230418	target_22224_direct_contact_deep13_padic_tangent_p13
349211	21285	255599	target_22224_direct_contact_deep13_padic_tangent_p13
349877	188759	213298	target_22224_direct_contact_deep13_padic_tangent_p13
352790	305389	9743	target_22224_direct_contact_deep13_padic_tangent_p13
354619	335963	155889	target_22224_direct_contact_deep13_padic_tangent_p13
362731	289488	344662	target_22224_direct_contact_deep13_padic_tangent_p13
367801	298614	15281	target_22224_direct_contact_deep13_padic_tangent_p13
