t_num	t_den	p	r	boundary	jorder	jmod3	allowed
1	2	71	16	0	5760	0	1
1	2	71	17	0	4480	1	0
1	2	71	18	0	5120	2	0
1	2	71	19	0	5760	0	1
1	2	71	20	0	6400	1	0
1	2	71	21	0	5120	2	0
1	2	71	22	0	5120	2	0
1	2	71	23	0	6400	1	0
1	2	71	24	0	5760	0	1
1	2	71	25	0	6400	1	0
1	2	71	26	0	5760	0	1
1	2	71	27	0	5760	0	1
1	2	71	28	0	5760	0	1
1	2	71	29	0	5760	0	1
1	2	71	30	0	6400	1	0
1	2	71	31	0	7040	2	0
1	2	71	32	0	6400	1	0
1	2	71	33	0	5760	0	1
1	2	71	34	0	6400	1	0
1	2	71	35	0	6400	1	0
1	2	71	36	0	5760	0	1
1	2	71	37	0	5760	0	1
1	2	71	38	1	0	-1	1
1	2	71	39	0	5120	2	0
1	2	71	40	0	5760	0	1
1	2	71	41	0	5760	0	1
1	2	71	42	0	5120	2	0
1	2	71	43	1	0	-1	1
1	2	71	44	0	5120	2	0
1	2	71	45	0	6400	1	0
1	2	71	46	0	4480	1	0
1	2	71	47	0	5760	0	1
1	2	71	48	0	5760	0	1
1	2	71	49	0	5760	0	1
1	2	71	50	0	5760	0	1
1	2	71	51	0	5120	2	0
1	2	71	52	0	5120	2	0
1	2	71	53	0	5760	0	1
1	2	71	54	0	6400	1	0
1	2	71	55	0	7040	2	0
1	2	71	56	0	5120	2	0
1	2	71	57	1	0	-1	1
1	2	71	58	0	5120	2	0
1	2	71	59	0	5760	0	1
1	2	71	60	0	5120	2	0
1	2	71	61	0	4480	1	0
1	2	71	62	0	6400	1	0
1	2	71	63	0	6400	1	0
1	2	71	64	0	5760	0	1
1	2	71	65	0	5760	0	1
1	2	71	66	0	7040	2	0
1	2	71	67	0	5760	0	1
1	2	71	68	0	5760	0	1
1	2	71	69	0	6400	1	0
1	2	71	70	1	0	-1	1
1	2	71	inf	1	0	-1	1
1	2	73	0	1	0	-1	1
1	2	73	1	1	0	-1	1
1	2	73	2	0	5632	1	0
1	2	73	3	0	4608	0	1
1	2	73	4	0	4096	1	0
1	2	73	5	0	5632	1	0
1	2	73	6	0	4608	0	1
1	2	73	7	0	4096	1	0
1	2	73	8	0	4608	0	1
1	2	73	9	0	5120	2	0
1	2	73	10	0	5632	1	0
1	2	73	11	0	4096	1	0
1	2	73	12	0	5120	2	0
1	2	73	13	0	5120	2	0
1	2	73	14	0	5120	2	0
1	2	73	15	0	4608	0	1
