a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
26	44	611	1034	6	26	44	-611	-1034	1	0	0	0	0
26	49	572	1078	0	26	49	572	1078	1	1	0	0	0
26	52	104	1300	6	1	2	-4	-50	0	0	0	0	0
26	52	299	598	0	2	4	23	46	1	1	0	0	0
26	54	234	486	0	13	27	117	243	1	1	0	0	0
26	65	124	310	0	26	65	124	310	1	1	0	0	0
26	325	650	1300	6	2	25	-50	-100	0	0	0	0	0
26	416	468	1300	6	1	16	-18	-50	0	0	0	0	0
26	552	1248	1656	0	13	276	624	828	0	1	0	0	0
26	650	810	1690	6	13	325	-405	-845	0	0	0	0	0
27	45	477	795	6	9	15	-159	-265	1	0	0	0	0
27	54	108	1350	6	1	2	-4	-50	0	0	0	0	0
27	63	153	357	0	9	21	51	119	1	1	0	0	0
27	98	108	162	6	27	98	-108	-162	0	0	0	0	0
27	405	605	675	6	27	405	-605	-675	0	0	0	0	0
27	432	486	1350	6	1	16	-18	-50	0	0	0	0	0
27	441	675	729	6	3	49	-75	-81	0	0	0	0	0
28	42	168	252	6	2	3	-12	-18	1	0	0	0	0
28	47	560	940	6	28	47	-560	-940	1	0	0	0	0
28	48	903	1548	6	28	48	-903	-1548	1	0	0	0	0
28	49	50	126	6	28	49	-50	-126	0	0	0	0	0
28	49	126	578	6	28	49	-126	-578	0	0	0	0	0
28	52	812	1508	0	7	13	203	377	1	1	0	0	0
28	56	112	1400	6	1	2	-4	-50	0	0	0	0	0
28	56	322	644	0	2	4	23	46	1	1	0	0	0
28	72	126	324	0	14	36	63	162	1	1	0	0	0
28	74	266	703	6	28	74	-266	-703	1	0	0	0	0
28	77	112	308	0	4	11	16	44	1	1	0	0	0
28	98	100	224	6	14	49	-50	-112	0	0	0	0	0
28	98	224	676	6	14	49	-112	-338	0	0	0	0	0
28	192	567	588	6	28	192	-567	-588	0	0	0	0	0
28	350	700	1400	6	2	25	-50	-100	0	0	0	0	0
28	448	504	1400	6	1	16	-18	-50	0	0	0	0	0
28	484	616	1078	6	14	242	-308	-539	0	0	0	0	0
29	36	484	1856	6	29	36	-484	-1856	0	0	0	0	0
29	58	116	1450	6	1	2	-4	-50	0	0	0	0	0
29	71	145	355	0	29	71	145	355	1	1	0	0	0
29	121	125	145	6	29	121	-125	-145	0	0	0	0	0
29	464	522	1450	6	1	16	-18	-50	0	0	0	0	0
30	45	48	50	6	30	45	-48	-50	0	0	0	0	0
30	45	50	192	6	30	45	-50	-192	0	0	0	0	0
