m	n	k	torsion_coset
-273	-360	969	1
-272	-35	613	1
-272	-35	-107	1
-270	591	-795	1
-267	-522	969	1
-260	-359	973	1
-255	-54	-615	1
-255	162	-687	1
-250	-829	145	2
-250	-829	-575	2
-250	-325	865	2
-250	-37	-143	2
-250	251	505	2
-250	251	-215	2
-245	-284	73	1
-245	796	433	1
-238	-601	-743	2
-238	-601	-239	2
-238	-385	-671	2
-238	-97	769	2
-238	407	-455	2
-238	407	-167	2
-238	695	-311	2
-237	-324	969	1
-237	-324	-687	1
-237	-36	393	1
-237	756	-831	1
-237	756	-327	1
-234	-93	-291	1
-231	-990	-39	1
-231	-486	-111	1
-231	90	321	1
-231	594	249	1
-227	-482	-575	1
-227	598	-215	1
-224	757	-35	1
-221	-644	505	1
-221	436	865	1
-219	-522	753	1
-218	595	-755	1
-216	717	-507	1
-214	-217	-647	2
-214	287	217	2
-214	287	-215	2
-214	863	-935	2
-214	863	-287	2
-213	-396	681	1
-213	-396	-183	1
-213	-180	-255	1
-213	-180	-111	1
-213	900	105	1
-213	900	249	1
-210	51	645	1
-210	555	573	1
-209	-968	-935	1
-209	112	-575	1
-202	-565	-167	2
-202	-277	337	2
-202	515	193	2
-202	803	697	2
-202	803	-815	2
-195	-882	177	1
-192	861	573	1
-183	-990	825	1
-183	-702	-687	1
-183	-198	825	1
-183	90	-831	1
-183	378	-327	1
-182	-377	685	1
-178	-685	865	2
-178	-397	721	2
-178	-397	-287	2
-178	107	145	2
-178	107	-215	2
-178	395	-863	2
-178	683	73	2
-178	683	-719	2
-178	899	-143	2
-177	-864	249	1
-177	-72	105	1
-177	216	609	1
-167	-230	-287	1
-167	778	865	1
-166	-961	121	2
-166	-961	913	2
-166	-961	-887	2
-166	-169	625	2
-166	47	-95	2
-164	-71	-107	1
-162	-741	573	1
-162	339	933	1
-159	-558	249	1
-159	-54	177	1
-159	-54	681	1
-159	522	609	1
-152	-395	253	1
-152	685	613	1
-149	-716	-647	1
-147	990	-975	1
-142	-865	793	2
-142	-865	-575	2
-142	215	-215	2
-142	719	505	2
-141	-540	177	1
-141	36	105	1
-141	36	969	1
-141	540	537	1
-138	-597	573	1
-138	483	933	1
-134	-881	613	1
-134	199	973	1
-130	-925	913	2
-130	-637	337	2
-130	-349	985	2
-130	-133	121	2
-130	155	-887	2
-130	443	697	2
-130	947	481	2
-129	-576	-975	1
-129	-288	465	1
-129	504	-615	1
-126	-921	933	1
-126	951	-651	1
-123	-450	465	1
-123	-450	969	1
-123	558	-471	1
-120	-3	429	1
-120	-3	573	1
-119	562	-935	1
-113	-680	-215	1
-113	400	145	1
-111	-774	-975	1
-111	-558	33	1
-111	234	609	1
-111	522	393	1
-108	-327	789	1
-106	-469	-431	2
-106	539	73	2
-105	-720	33	1
-105	-432	-39	1
-105	360	393	1
-105	648	321	1
-98	-773	613	1
-94	-817	265	2
-94	-817	553	2
-94	-313	985	2
-94	-313	-383	2
-94	263	625	2
-94	263	913	2
-94	479	193	2
