m	n	k	torsion_coset
-885	-558	903	1
-885	-558	-537	1
-885	-270	-33	1
-885	522	399	1
-885	522	759	1
-885	522	-177	1
-885	738	471	1
-885	738	831	1
-885	738	-33	1
-882	-663	-789	1
-882	-375	-429	1
-882	417	-429	1
-882	921	3	1
-880	-541	-613	1
-880	-541	-253	1
-880	539	107	1
-880	539	-253	1
-879	-720	399	1
-879	-720	543	1
-879	-720	903	1
-879	-432	-33	1
-879	-216	975	1
-879	-216	-609	1
-879	-216	-465	1
-879	360	759	1
-879	360	903	1
-879	360	-681	1
-879	576	327	1
-879	576	831	1
-879	576	-609	1
-879	576	-33	1
-879	864	-249	1
-879	864	-105	1
-878	-659	887	2
-878	-659	-985	2
-878	-659	-553	2
-878	-371	167	2
-878	-371	671	2
-878	-371	959	2
-878	-371	-841	2
-878	-371	-193	2
-878	-371	-121	2
-878	-371	-49	2
-878	-155	455	2
-878	-155	527	2
-878	-155	-553	2
-878	-155	-265	2
-878	421	-913	2
-878	421	-625	2
-878	421	-193	2
-878	637	455	2
-878	637	671	2
-878	637	815	2
-878	637	-337	2
-878	637	-49	2
-878	925	95	2
-878	925	815	2
-878	925	887	2
-878	925	-193	2
-877	-310	215	1
-877	-310	-865	1
-877	698	287	1
-877	698	-793	1
-871	-472	215	1
-871	-472	-865	1
-871	536	287	1
-871	536	-793	1
-870	-987	-789	1
-870	-987	-429	1
-870	93	-933	1
-870	93	-429	1
-870	93	-69	1
-870	597	3	1
-867	-540	-969	1
-867	-540	-465	1
-867	-252	975	1
-867	-252	-105	1
-867	36	759	1
-867	252	327	1
-867	252	831	1
-867	252	-33	1
-867	540	-609	1
-867	540	-105	1
-867	828	255	1
-867	828	-825	1
-866	-719	935	2
-866	-719	-505	2
-866	-719	-145	2
-866	-431	-577	2
-866	-431	-361	2
-866	73	143	2
-866	73	431	2
-866	73	863	2
-866	73	935	2
-866	73	-649	2
-866	73	-145	2
-866	361	215	2
-866	361	-793	2
-866	361	-145	2
-866	577	287	2
-866	577	-865	2
-866	577	-73	2
-864	-861	651	1
-864	-357	507	1
-864	-357	867	1
-864	-357	-933	1
-864	-69	-933	1
-864	-69	-573	1
-864	435	-717	1
-864	723	867	1
-864	723	-573	1
-862	-235	395	1
-862	53	-613	1
-862	845	755	1
-861	-918	327	1
-861	-918	-33	1
-861	-702	-969	1
-861	-702	-465	1
-861	-414	975	1
-861	-414	-105	1
-861	-126	759	1
-861	378	-609	1
-861	378	-105	1
-861	666	255	1
-861	666	-825	1
-861	882	327	1
-861	882	-753	1
-859	-796	-865	1
-856	-397	-685	1
-856	-109	107	1
-856	-109	-613	1
-856	683	-685	1
-856	683	-325	1
-853	-958	215	1
-853	50	287	1
-853	50	647	1
-852	-393	-933	1
-852	-393	-573	1
-852	-393	-69	1
-852	111	-717	1
-852	903	435	1
-849	-450	759	1
-849	-450	903	1
-849	-450	-681	1
-849	-450	-177	1
-849	-234	831	1
-849	-234	-609	1
-849	54	255	1
-849	54	-609	1
-849	54	-249	1
-849	558	-753	1
-849	846	-249	1
-846	-843	147	1
-846	-843	-933	1
-846	237	507	1
-846	237	-573	1
-846	741	-645	1
-844	-721	395	1
-844	-721	-685	1
-844	-721	-325	1
-844	359	35	1
-844	359	755	1
-844	359	-325	1
-843	-900	-105	1
-843	-396	327	1
-843	-396	471	1
-843	-396	-609	1
-843	-108	255	1
-843	-108	831	1
-843	-108	-249	1
-843	-108	-105	1
-843	180	255	1
-843	396	327	1
-843	684	687	1
-843	684	831	1
-843	684	-753	1
-843	684	-249	1
-843	972	111	1
-843	972	255	1
-843	972	615	1
-842	-839	383	2
-842	-839	959	2
-842	-839	-841	2
-842	-839	-337	2
-842	-335	383	2
-842	-335	671	2
-842	-335	815	2
-842	-335	-697	2
-842	-335	-625	2
-842	-47	-625	2
-842	-47	-265	2
-842	241	23	2
-842	241	743	2
-842	241	-841	2
-842	241	-697	2
-842	241	-481	2
-842	457	599	2
-842	457	887	2
-842	457	-913	2
-842	457	-769	2
-842	457	-409	2
-842	457	-193	2
-842	457	-121	2
-842	745	743	2
-842	745	-337	2
-842	745	-265	2
-841	-274	647	1
-841	518	215	1
-841	518	-865	1
-838	-883	395	1
-838	-595	-613	1
-838	-595	-253	1
-838	197	755	1
-834	-879	507	1
-834	-879	-69	1
-834	-87	507	1
-834	-87	867	1
-834	705	-717	1
-831	-936	399	1
-831	-936	903	1
-831	-936	-681	1
-831	-936	-177	1
-831	-432	255	1
-831	-432	831	1
-831	-432	-249	1
-831	648	111	1
-831	648	615	1
-831	864	183	1
-831	864	759	1
-831	864	-681	1
-831	864	-321	1
-830	-611	575	2
-830	-611	-793	2
-830	-611	-433	2
-830	-611	-145	2
-830	-395	647	2
-830	-395	935	2
-830	-395	-865	2
-830	-395	-145	2
-830	-395	-73	2
-830	-107	287	2
-830	-107	791	2
-830	-107	-793	2
-830	-107	-289	2
-830	397	719	2
-830	397	863	2
-830	397	-937	2
-830	397	-721	2
-830	685	215	2
-830	685	287	2
-830	685	-793	2
-830	685	-505	2
-830	973	71	2
-830	973	647	2
-830	973	-793	2
-830	973	-433	2
-828	-249	-573	1
-828	255	435	1
-826	-919	827	1
-826	-919	-253	1
-826	-127	755	1
-826	-127	-685	1
-825	-882	471	1
-825	-882	-609	1
-825	-882	-33	1
-825	198	327	1
-825	198	831	1
-825	198	-753	1
-825	198	-249	1
-825	702	183	1
-825	702	759	1
-825	702	-321	1
-825	990	-753	1
-823	-760	287	1
-823	-760	-793	1
-823	32	215	1
-823	32	-865	1
-823	320	647	1
-823	320	-433	1
-817	-922	287	1
-817	-922	-793	1
-817	-130	215	1
-817	-130	575	1
-817	158	647	1
-817	158	-433	1
-817	950	575	1
-817	950	935	1
-816	-861	3	1
-816	-573	867	1
-816	-69	435	1
-816	-69	-285	1
-816	219	363	1
-816	219	-717	1
-813	-918	-249	1
-813	-918	-105	1
-813	-630	255	1
-813	-630	-825	1
-813	-414	327	1
-813	-414	-753	1
-813	-126	327	1
-813	-126	687	1
-813	-126	-249	1
-813	162	111	1
-813	162	255	1
-813	162	-825	1
-813	666	687	1
-813	666	-393	1
-813	954	111	1
-813	954	687	1
-810	-735	867	1
-810	57	363	1
-810	57	-717	1
-808	-613	35	1
-808	-613	-685	1
-807	-792	255	1
-807	-792	-825	1
-807	-288	687	1
-807	-288	831	1
-807	-288	-753	1
-807	0	255	1
-807	0	-825	1
-807	0	-249	1
-807	216	-321	1
-807	216	-177	1
-807	792	-393	1
-806	-731	239	2
-806	-731	743	2
-806	-731	-841	2
-806	-731	-697	2
-806	-731	-337	2
-806	-227	311	2
-806	-227	671	2
-806	-227	-985	2
-806	-227	-697	2
-806	-227	-265	2
-806	61	95	2
-806	61	167	2
-806	61	455	2
-806	61	-913	2
-806	61	-553	2
-806	277	167	2
-806	277	527	2
-806	277	815	2
-806	277	-265	2
-806	853	95	2
-806	853	671	2
-806	853	-625	2
-806	853	-337	2
-805	-166	647	1
-805	-166	-433	1
-805	914	-73	1
-802	-775	-685	1
-802	-775	-325	1
-799	-616	575	1
-799	464	935	1
-798	237	291	1
-798	525	-645	1
-795	-900	327	1
-795	-900	-753	1
-795	-612	687	1
-795	-108	-681	1
-795	-108	-177	1
-795	180	687	1
-795	180	-393	1
-795	684	255	1
-795	684	615	1
-795	972	183	1
-795	972	-897	1
-795	972	-321	1
-794	-791	143	2
-794	-791	215	2
-794	-791	503	2
-794	-791	791	2
-794	-791	-865	2
-794	-791	-505	2
-794	-791	-289	2
-794	-575	359	2
-794	-575	863	2
-794	-575	-721	2
-794	-575	-217	2
-794	-287	647	2
-794	-287	-865	2
-794	1	719	2
-794	1	-793	2
-794	1	-289	2
-794	1	-73	2
-794	505	143	2
-794	505	719	2
-794	505	-937	2
-794	505	-361	2
-794	793	-865	2
-794	793	-505	2
-792	-717	-645	1
-792	-429	363	1
-792	-429	-357	1
-792	363	-645	1
-792	363	-285	1
-792	867	867	1
-792	867	-789	1
-792	867	-429	1
-792	867	-213	1
-790	989	107	1
-790	989	-973	1
-789	-774	687	1
-789	-486	255	1
-789	-486	615	1
-789	-486	-249	1
-789	-270	-681	1
-789	-270	-177	1
-789	18	687	1
-789	306	-969	1
-789	810	183	1
-789	810	-897	1
-789	810	-321	1
-787	-652	647	1
-781	-22	935	1
-781	-22	-505	1
-780	39	-645	1
-780	39	-285	1
-780	543	-933	1
-780	543	-429	1
-780	543	-213	1
-777	-810	111	1
-777	-810	255	1
-777	-810	615	1
-777	-594	183	1
-777	-594	-681	1
-777	-594	-321	1
-777	-18	111	1
-777	-18	-969	1
-777	-18	-393	1
-777	486	39	1
-777	486	543	1
-777	486	-897	1
-777	486	-321	1
-777	990	111	1
-777	990	-465	1
-774	381	867	1
-774	669	-789	1
-772	503	-973	1
-772	503	-613	1
-771	-972	111	1
-771	-972	615	1
-771	-972	-249	1
-771	-756	183	1
-771	-756	759	1
-771	-756	-321	1
-771	-756	-177	1
-771	-468	-753	1
-771	36	615	1
-771	36	-825	1
-771	324	39	1
-771	324	183	1
-771	324	543	1
-771	612	-393	1
-771	828	615	1
-771	828	-969	1
-771	828	-825	1
-770	-911	95	2
-770	-911	-553	2
-770	-695	167	2
-770	-407	239	2
-770	-407	671	2
-770	-407	-913	2
-770	-407	-841	2
-770	-407	-769	2
-770	-407	-553	2
-770	-407	-49	2
-770	97	959	2
-770	97	-337	2
-770	385	527	2
-770	385	-913	2
-770	673	311	2
-770	673	599	2
-770	673	-553	2
-770	673	-481	2
-770	673	-409	2
-770	673	-193	2
-770	889	95	2
-770	889	167	2
-770	889	887	2
-770	889	-913	2
-770	889	-625	2
-769	-346	575	1
-769	-346	-505	1
-769	734	935	1
-769	734	-145	1
-766	341	107	1
-763	-508	575	1
-763	-508	-505	1
-763	-220	-73	1
-763	572	935	1
-763	572	-145	1
-762	-735	-69	1
-762	-447	795	1
-762	57	-789	1
-762	345	291	1
-762	345	-789	1
-759	-792	-753	1
-759	-504	111	1
-759	-504	687	1
-759	-504	-393	1
-759	0	39	1
-759	0	543	1
-759	288	-393	1
-759	504	-825	1
-758	-971	71	2
-758	-971	431	2
-758	-971	647	2
-758	-971	-433	2
-758	-971	-361	2
-758	-755	215	2
-758	-755	-865	2
-758	-179	647	2
-758	-179	-505	2
-758	-179	-433	2
-758	-179	-145	2
-758	37	143	2
-758	37	215	2
-758	37	431	2
-758	37	935	2
-758	37	-865	2
-758	37	-577	2
-758	37	-289	2
-758	325	575	2
-758	325	-865	2
-758	325	-505	2
-758	829	359	2
-758	829	-649	2
-758	829	-433	2
-758	829	-361	2
-756	-897	291	1
-756	-897	-69	1
-756	-609	75	1
-756	-609	-285	1
-756	183	291	1
-756	183	651	1
-756	687	147	1
-756	687	507	1
-754	809	35	1
-753	-954	-753	1
-753	-954	-393	1
-753	-666	687	1
-753	-666	-969	1
-753	-666	-393	1
-753	-450	255	1
-753	-450	-825	1
-753	126	-393	1
-753	126	-33	1
-753	342	-825	1
-753	630	615	1
-753	630	-465	1
-751	-832	575	1
-751	-832	935	1
-751	-544	-73	1
-751	248	935	1
-748	-145	-613	1
-748	935	-973	1
-748	935	-253	1
-745	-706	-73	1
-744	-429	291	1
-744	-429	867	1
-744	-429	-789	1
-744	-141	291	1
-744	-141	651	1
-744	363	507	1
-744	651	651	1
-744	651	-933	1
-744	651	-429	1
-741	-774	255	1
-741	-774	615	1
-741	-486	39	1
-741	-486	183	1
-741	-486	-897	1
-741	-198	-393	1
-741	-198	-33	1
-741	18	615	1
-741	18	-969	1
-741	18	-465	1
-741	306	615	1
-741	306	975	1
-741	594	399	1
-741	594	543	1
-741	594	-537	1
-738	-591	291	1
-738	-591	-789	1
-738	-591	-213	1
-738	-303	651	1
-738	201	-213	1
-738	489	147	1
-738	489	651	1
-738	489	-933	1
-738	489	-429	1
-736	-469	107	1
-736	323	35	1
-736	323	-685	1
-736	611	467	1
-735	-936	615	1
-735	-936	-825	1
-735	-648	183	1
-735	-648	-897	1
-735	-648	-321	1
-735	-360	-33	1
-735	144	975	1
-735	144	-465	1
-735	432	39	1
-735	432	543	1
-735	432	-537	1
-735	648	111	1
-735	648	-969	1
-735	648	-33	1
-734	-875	239	2
-734	-875	599	2
-734	-875	-337	2
-734	-587	95	2
-734	-587	167	2
-734	-587	887	2
-734	-587	-985	2
-734	-587	-913	2
-734	-587	-625	2
-734	-299	527	2
-734	-299	959	2
-734	-299	-553	2
-734	-299	-409	2
-734	-299	-49	2
-734	205	23	2
-734	205	599	2
-734	205	959	2
-734	205	-697	2
-734	493	455	2
-734	493	527	2
-734	493	-625	2
-734	493	-553	2
-734	493	-265	2
-734	709	23	2
-734	709	311	2
-734	709	455	2
-734	709	815	2
-734	709	-985	2
-733	770	287	1
-730	-631	-973	1
-730	449	-973	1
-730	449	-613	1
-726	-123	147	1
-726	-123	-213	1
-726	957	147	1
-726	957	507	1
-723	-468	111	1
-723	-468	615	1
-723	-468	-969	1
-723	-468	-465	1
-723	-180	975	1
-723	324	111	1
-723	324	-969	1
-723	324	-393	1
-723	612	471	1
-723	612	975	1
-723	612	-609	1
-723	612	-105	1
-722	-935	71	2
-722	-935	575	2
-722	-935	-937	2
-722	-935	-289	2
-722	-647	647	2
-722	-647	-865	2
-722	-647	-145	2
-722	-359	503	2
-722	-359	-577	2
-722	-359	-217	2
-722	-359	-1	2
-722	-143	71	2
-722	-143	359	2
-722	-143	647	2
-722	-143	-433	2
-722	145	71	2
-722	145	431	2
-722	145	935	2
-722	145	-937	2
-722	145	-577	2
-722	433	215	2
-722	433	-793	2
-722	433	-505	2
-722	937	431	2
-722	937	719	2
-722	937	-649	2
-722	937	-73	2
-720	3	651	1
-720	3	-933	1
-720	3	-789	1
-720	3	-573	1
-720	3	-69	1
-720	507	-357	1
-720	795	-933	1
-718	-955	107	1
-718	-955	-973	1
-718	-163	35	1
-718	125	467	1
-718	125	-613	1
-718	917	395	1
-717	-630	111	1
-717	-630	615	1
-717	-630	-969	1
-717	-342	975	1
-717	-54	39	1
-717	-54	543	1
-717	-54	903	1
-717	162	111	1
-717	162	-969	1
-717	162	-393	1
-717	450	471	1
-717	450	975	1
-717	450	-609	1
-715	284	-73	1
-712	-325	-685	1
-712	-37	467	1
-712	755	-325	1
-709	-886	935	1
-709	-886	-145	1
-709	914	215	1
-709	914	-145	1
-708	-609	147	1
-708	-321	-789	1
-708	-321	-573	1
-708	471	507	1
-708	975	75	1
-708	975	-645	1
-705	-666	975	1
-705	-666	-465	1
-705	-378	399	1
-705	-378	543	1
-705	-378	903	1
-705	-162	471	1
-705	-162	-969	1
-705	-162	-393	1
-705	-162	-33	1
-705	414	-105	1
-705	630	-33	1
-705	918	327	1
-705	918	831	1
-705	918	-609	1
-705	918	-33	1
-702	-483	-789	1
-702	21	723	1
-702	21	-357	1
-700	-361	467	1
-700	-361	-973	1
-700	-361	-253	1
-699	-540	39	1
-699	-540	399	1
-699	-540	903	1
-699	-324	111	1
-699	-324	471	1
-699	-324	-33	1
-699	-36	471	1
-699	-36	-969	1
-699	-36	-465	1
-699	468	-33	1
-699	756	327	1
-699	756	471	1
-699	756	831	1
-698	-479	527	2
-698	-479	887	2
-698	-479	-985	2
-698	-479	-265	2
-698	-263	455	2
-698	-263	-985	2
-698	-263	-409	2
-698	-263	-49	2
-698	25	527	2
-698	25	-625	2
-698	25	-553	2
-698	25	-265	2
-698	529	959	2
-698	529	-121	2
-698	529	-49	2
-698	817	311	2
-698	817	815	2
-698	817	-625	2
-698	817	-49	2
-697	-202	-73	1
-697	590	215	1
-697	590	-145	1
-697	878	287	1
-697	878	-793	1
-694	269	-685	1
-691	-364	287	1
-691	-364	-73	1
-691	428	215	1
-691	716	287	1
-691	716	647	1
-690	-807	651	1
-690	-807	-933	1
-690	-303	723	1
-690	-15	507	1
-690	-15	-933	1
-687	-864	399	1
-687	-648	471	1
-687	-648	-33	1
-687	-360	-969	1
-687	-360	-465	1
-687	-72	975	1
-687	-72	-105	1
-687	432	327	1
-687	432	831	1
-687	720	-609	1
-687	720	-105	1
-687	936	-537	1
-686	-827	71	2
-686	-827	575	2
-686	-827	791	2
-686	-827	-577	2
-686	-827	-505	2
-686	-827	-217	2
-686	-539	935	2
-686	-539	-145	2
-686	-539	-73	2
-686	-323	-73	2
-686	253	143	2
-686	253	431	2
-686	253	935	2
-686	253	-865	2
-686	253	-649	2
-686	253	-217	2
-686	253	-145	2
-686	469	503	2
-686	469	719	2
-686	469	-577	2
-686	469	-1	2
-686	757	287	2
-684	-969	147	1
-684	-969	-789	1
-684	-969	-429	1
-684	-465	-357	1
-684	-177	147	1
-684	-177	867	1
-684	615	3	1
-684	615	-717	1
-682	-847	-973	1
-682	-55	-685	1
-681	-522	-969	1
-681	-522	-465	1
-681	-522	-105	1
-681	-234	975	1
-681	-234	-105	1
-681	-18	-33	1
-681	558	255	1
-681	558	-609	1
-681	558	-105	1
-681	774	-537	1
-676	-217	395	1
-676	-217	-685	1
-673	-850	287	1
-673	-58	215	1
-673	230	647	1
-672	795	291	1
-672	795	-429	1
-669	-846	471	1
-669	-846	975	1
-669	-846	-609	1
-669	-846	-465	1
-669	-846	-105	1
-669	-342	-33	1
-669	-54	327	1
-669	-54	471	1
-669	-54	-609	1
-669	234	255	1
-669	234	831	1
-669	234	-249	1
-669	234	-105	1
-669	450	903	1
-669	450	-681	1
-669	450	-177	1
-669	738	327	1
-666	-663	147	1
-666	-663	-933	1
-666	-159	75	1
-666	921	435	1
-666	921	-645	1
-664	-541	395	1
-663	-720	975	1
-663	-216	471	1
-663	-216	-609	1
-663	-216	-33	1
-663	72	255	1
-663	72	831	1
-663	72	-609	1
-663	72	-249	1
-663	864	327	1
-663	864	831	1
-663	864	-753	1
-663	864	-249	1
-662	-947	455	2
-662	-947	887	2
-662	-947	-625	2
-662	-659	-841	2
-662	-659	-337	2
-662	-659	-121	2
-662	-443	527	2
-662	-443	887	2
-662	-443	-769	2
-662	-443	-481	2
-662	-443	-49	2
-662	-155	311	2
-662	-155	383	2
-662	-155	455	2
-662	-155	671	2
-662	-155	-697	2
-662	-155	-625	2
-662	-155	-337	2
-662	133	815	2
-662	133	-913	2
-662	133	-265	2
-662	637	311	2
-662	637	887	2
-662	637	-913	2
-662	637	-409	2
-662	637	-121	2
-662	925	23	2
-662	925	671	2
-662	925	743	2
-662	925	815	2
-662	925	-769	2
-662	925	-337	2
-662	925	-265	2
-661	-382	-145	1
-661	698	215	1
-661	698	-865	1
