p	A	B	C	rho	sigma	pairing	a	b	c	d	mc	nc	U1	U0	V1	V0	M	N	G1	G0	W1	W0	ordD	ordH	relrankMN
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	22	14	26	8	5	17	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	30	36	9	36	9	29	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	32	0	6	37	36	25	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	33	13	17	31	37	26	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	35	32	3	9	8	27	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	38	8	21	25	18	36	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	1	11	16	23	6	31	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	2	37	29	39	18	38	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	6	7	30	4	17	29	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	8	39	3	39	33	3	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	15	38	35	16	34	36	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	16	29	17	5	0	13	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	19	6	40	18	13	13	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	19	9	38	2	28	28	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	20	11	2	5	27	28	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	21	23	29	1	27	19	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	22	14	26	8	5	17	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	30	36	9	36	9	29	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	32	0	6	37	36	25	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	33	13	17	31	37	26	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	35	32	3	9	8	27	12	24	2
41	2	9	16	16	33	3	40	21	18	16	16	40	11	18	15	32	38	8	21	25	18	36	12	24	2
41	2	9	16	25	8	1	23	1	20	25	15	22	37	4	39	2	1	36	13	9	29	25	12	24	2
41	2	9	16	25	8	1	23	1	20	25	15	22	37	4	39	2	4	21	25	20	30	23	12	24	2
41	2	9	16	25	8	1	23	1	20	25	15	22	37	4	39	2	6	23	32	1	9	0	12	24	2
41	2	9	16	25	8	1	23	1	20	25	15	22	37	4	39	2	6	31	6	31	32	0	12	24	2
41	2	9	16	25	8	1	23	1	20	25	15	22	37	4	39	2	19	34	7	5	39	12	12	24	2
41	2	9	16	25	8	1	23	1	20	25	15	22	37	4	39	2	22	13	11	18	32	21	12	24	2
41	2	9	16	25	8	1	23	1	20	25	15	22	37	4	39	2	24	27	4	4	24	9	12	24	2
41	2	9	16	25	8	1	23	1	20	25	15	22	37	4	39	2	32	0	19	9	36	16	12	24	2
41	2	9	16	25	8	1	23	1	20	25	15	22	37	4	39	2	35	1	28	21	19	29	12	24	2
41	2	9	16	25	8	1	23	1	20	25	15	22	37	4	39	2	37	4	29	8	10	4	12	24	2
41	2	9	16	25	8	2	23	20	1	25	15	22	37	4	39	2	1	36	13	9	29	25	12	24	2
41	2	9	16	25	8	2	23	20	1	25	15	22	37	4	39	2	4	21	25	20	30	23	12	24	2
41	2	9	16	25	8	2	23	20	1	25	15	22	37	4	39	2	6	23	32	1	9	0	12	24	2
41	2	9	16	25	8	2	23	20	1	25	15	22	37	4	39	2	6	31	6	31	32	0	12	24	2
41	2	9	16	25	8	2	23	20	1	25	15	22	37	4	39	2	19	34	7	5	39	12	12	24	2
41	2	9	16	25	8	2	23	20	1	25	15	22	37	4	39	2	22	13	11	18	32	21	12	24	2
41	2	9	16	25	8	2	23	20	1	25	15	22	37	4	39	2	24	27	4	4	24	9	12	24	2
