u_num	u_den	t_num	t_den	w_num	w_den
118782	36109	240149	107993	89469	7547
168475	213496	-65113	88211	-127410	186689
194329	7430	82156	199261	32260	172589
92401	73248	127224	98113	184837	106180
59876	144791	163592	187903	-231749	93869
91495	14974	-170620	71069	103858	34389
-60233	260852	-240994	125843	97092	70691
-211390	147571	151931	39265	141547	53577
173351	190549	127397	132063	92448	246383
175092	155843	-118131	95011	115724	108853
71339	115604	53119	82356	-242339	125811
-55544	76053	-91001	85128	-56635	78226
-187812	72793	-236437	59066	-9151	157915
120548	72201	-17110	35111	-142383	146123
12579	117322	-126701	243359	-167319	244594
-74182	255327	224094	160783	107511	158975
152127	244021	136367	35996	83210	228427
116829	109916	-92055	55922	185127	179332
142560	250799	-105963	232688	115225	260664
-141039	32107	252655	164568	-192289	92585
116723	104242	-170085	90569	-18984	47815
-104365	14264	-151931	55218	32023	176543
203192	200565	-252824	67633	196163	43922
220430	166627	153323	250482	26929	1795
-150363	12154	182689	141007	-88778	87271
-237876	258541	102459	72691	3056	73955
-167269	22421	183889	9643	149027	111395
-100623	103918	178126	245645	142698	79301
-89274	131107	-83317	165831	-186469	219577
-207817	23182	113390	16749	-74999	186866
-59309	259264	-109174	105715	91412	154283
-251387	2010	33437	155569	110497	119281
-105187	48627	13833	234176	4053	244558
-84042	6329	152076	254413	-69281	190717
-190757	47477	-151931	105957	203856	76213
-231379	228290	-160921	93270	-105762	100735
198597	168646	138331	121360	-176589	206732
235309	199128	208012	67957	-91120	117067
-50986	99327	222053	148024	243412	138893
-230726	64373	-198237	123839	136159	47313
250068	160505	220704	19759	117299	157382
160812	4013	74037	97468	-35034	49807
122097	66233	-166437	143135	147548	45975
-83947	183044	151931	91027	-1377	231112
55877	204484	31639	257753	165203	246581
119186	162975	-257669	180465	-158470	71327
242718	220063	44109	68972	196211	238455
-161439	186937	-120137	232079	-132971	243820
-46978	6803	148393	2039	202351	258183
202299	3370	-22678	184061	-81181	32347
35164	261071	-112723	165480	-201946	9355
32257	102590	196571	189429	48601	126233
160728	77591	91429	140433	-134267	164677
17648	99419	-41354	222705	44035	255429
-105910	68249	-236371	219787	-202849	193389
-155013	201398	-141933	9148	-81463	133755
-162771	47750	-93119	66904	214022	241895
-225472	165769	-120435	230569	233987	120155
-184033	118627	218517	107158	94229	154798
239304	124715	187105	204313	-228573	50230
91040	220683	120497	202911	86947	22107
155080	158871	-102921	162304	-16015	189213
55930	95699	-163761	218077	-259148	164839
-231174	150751	168981	247583	136315	224566
-211329	73192	171399	10996	217648	67879
97010	201991	28899	129359	-205268	126985
-29033	135396	28101	189433	122789	26109
-206081	243552	38019	188303	177763	220899
239406	133063	-112723	101692	126063	186338
-164943	75073	109089	117938	-199553	40278
-174019	55021	-240994	244971	36116	234295
119521	160695	-227641	253817	66741	113461
-37203	255916	-137228	108763	-261242	219389
246490	200569	62192	168477	239900	173821
8401	28273	99541	222438	191556	105571
-90133	92821	-123080	198177	157215	36583
50728	29655	-22678	62329	-257567	216724
