t_num	t_den	r	a	b	c	d	curve_key	known_bank
1	2	6613	59501	393480113	105799	699648787	59501,105799,393480113,699648787	0
1	2	6633	59681	395864073	106119	703887327	59681,106119,395864073,703887327	0
1	2	6734	12118	81602612	21547	145097498	12118,21547,81602612,145097498	0
1	2	6746	60698	409468708	107927	728075542	60698,107927,409468708,728075542	0
1	2	6865	61769	424044185	109831	753989815	61769,109831,424044185,753989815	0
1	2	6945	8927	61998015	15873	110237985	8927,15873,61998015,110237985	0
1	2	7046	63398	446702308	112727	794274442	63398,112727,446702308,794274442	0
1	2	7097	63857	453193129	113543	805814671	63857,113543,453193129,805814671	0
1	2	7123	64091	456520193	113959	811729957	64091,113959,456520193,811729957	0
1	2	7140	64244	458702160	114231	815609340	64244,114231,458702160,815609340	0
1	2	7371	66323	488866833	117927	869239917	66323,117927,488866833,869239917	0
1	2	7393	9503	70255679	16897	124919521	9503,16897,70255679,124919521	0
1	2	7396	66548	492189008	118327	875146492	66548,118327,492189008,875146492	0
1	2	7409	13333	98784197	23707	175645163	13333,23707,98784197,175645163	0
1	2	7424	2672	19836928	4751	35271424	2672,4751,19836928,35271424	0
1	2	7471	67223	502223033	119527	892986217	67223,119527,502223033,892986217	0
1	2	7517	67637	508427329	120263	904016971	67637,120263,508427329,904016971	0
1	2	7627	68627	523418129	122023	930669421	68627,122023,523418129,930669421	0
1	2	7712	69392	535151104	123383	951529696	69392,123383,535151104,951529696	0
1	2	7770	69914	543231780	124311	965896470	69914,124311,543231780,965896470	0
1	2	7800	70184	547435200	124791	973369800	70184,124791,547435200,973369800	0
1	2	7865	70769	556598185	125831	989660815	70769,125831,556598185,989660815	0
1	2	7981	10259	81877079	18241	145581421	10259,18241,81877079,145581421	0
1	2	8022	72182	579044004	128343	1029567546	72182,128343,579044004,1029567546	0
1	2	8089	14557	117751573	25883	209367587	14557,25883,117751573,209367587	0
1	2	8121	10439	84775119	18561	150733881	10439,18561,84775119,150733881	0
1	2	8141	73253	596352673	130247	1060340827	73253,130247,596352673,1060340827	0
1	2	8163	10493	85654359	18657	152297091	10493,18657,85654359,152297091	0
1	2	8206	73838	605914628	131287	1077341122	73838,131287,605914628,1077341122	0
1	2	8212	10556	86685872	18769	154131028	10556,18769,86685872,154131028	0
1	2	8264	14872	122902208	26443	218524952	14872,26443,122902208,218524952	0
1	2	8308	74756	621072848	132919	1104291052	74756,132919,621072848,1104291052	0
1	2	8503	76511	650573033	136039	1156739617	76511,136039,650573033,1156739617	0
1	2	8518	76646	652870628	136279	1160824522	76646,136279,652870628,1160824522	0
1	2	8540	76844	656247760	136631	1166828740	76844,136631,656247760,1166828740	0
1	2	8602	77402	665812004	137623	1183833046	77402,137623,665812004,1183833046	0
1	2	8605	77429	666276545	137671	1184658955	77429,137671,666276545,1184658955	0
1	2	8619	15511	133689309	27579	237703401	15511,27579,133689309,237703401	0
1	2	8735	78599	686562265	139751	1220724985	78599,139751,686562265,1220724985	0
1	2	8788	79076	694919888	140599	1235584012	79076,140599,694919888,1235584012	0
1	2	8814	2266	19972524	4029	35511606	2266,4029,19972524,35511606	0
1	2	8866	79778	707311748	141847	1257615502	79778,141847,707311748,1257615502	0
1	2	8888	79976	710826688	142199	1263864712	79976,142199,710826688,1263864712	0
1	2	9164	2356	21590384	4189	38387996	2356,4189,21590384,38387996	0
1	2	9191	82703	760123273	147047	1351508977	82703,147047,760123273,1351508977	0
1	2	9257	83297	771080329	148103	1370989471	83297,148103,771080329,1370989471	0
1	2	9309	16753	155953677	29787	277287183	16753,29787,155953677,277287183	0
1	2	9452	85052	803911504	151223	1429359796	85052,151223,803911504,1429359796	0
1	2	9504	17104	162556416	30411	289026144	17104,30411,162556416,289026144	0
1	2	9517	85637	815007329	152263	1449086971	85637,152263,815007329,1449086971	0
1	2	9642	86762	836559204	154263	1487403846	86762,154263,836559204,1487403846	0
1	2	9671	87023	841599433	154727	1496364817	87023,154727,841599433,1496364817	0
1	2	9803	88211	864732433	156839	1537492717	88211,156839,864732433,1537492717	0
1	2	9837	88517	870741729	157383	1548176571	88517,157383,870741729,1548176571	0
1	2	9889	17797	175994533	31643	312917627	17797,31643,175994533,312917627	0
1	2	9961	89633	892834313	159367	1587454687	89633,159367,892834313,1587454687	0
