m	n	torsion_coset
-35842797	0	2
-35777277	0	2
-35717217	0	2
-35662617	0	2
-35422377	0	2
-35362317	0	2
-35116617	0	2
-34576077	0	2
-34221177	0	2
-34161117	0	2
-33795297	0	2
-33140097	0	2
-33019977	0	2
-32419377	0	2
-32413917	0	2
-32239197	0	2
-31938897	0	2
-31693197	0	2
-31513017	0	2
-31272777	0	2
-31212717	0	2
-30857817	0	2
-30737697	0	2
-30137097	0	2
-30071577	0	2
-30011517	0	2
-29656617	0	2
-28990497	0	2
-28870377	0	2
-28815777	0	2
-28455417	0	2
-28269777	0	2
-28089597	0	2
-27854817	0	2
-27789297	0	2
-27434397	0	2
-26713677	0	2
-26708217	0	2
-26588097	0	2
-26533497	0	2
-26233197	0	2
-25987497	0	2
-25507017	0	2
-25031997	0	2
-24666177	0	2
-24305817	0	2
-24251217	0	2
-24010977	0	2
-23705217	0	2
-23284797	0	2
-23110077	0	2
-22809777	0	2
-22564077	0	2
-22383897	0	2
-22149117	0	2
-22083597	0	2
-21728697	0	2
-21608577	0	2
-21007977	0	2
-20882397	0	2
-20527497	0	2
-20101617	0	2
-19861377	0	2
-19446417	0	2
-19326297	0	2
-18960477	0	2
-18725697	0	2
-18660177	0	2
-18545517	0	2
-18305277	0	2
-18245217	0	2
-17999517	0	2
-17579097	0	2
-17458977	0	2
-17404377	0	2
-17104077	0	2
-17044017	0	2
-16858377	0	2
-16443417	0	2
-16377897	0	2
-15902877	0	2
-15296817	0	2
-15176697	0	2
-15122097	0	2
-14576097	0	2
-14395917	0	2
-14155677	0	2
-14095617	0	2
-13740717	0	2
-13254777	0	2
-13019997	0	2
-12954477	0	2
-12894417	0	2
-12839817	0	2
-12599577	0	2
-12539517	0	2
-12293817	0	2
-11753277	0	2
-11398377	0	2
-11338317	0	2
-10972497	0	2
-10317297	0	2
-10197177	0	2
-9596577	0	2
-9591117	0	2
-9416397	0	2
-9116097	0	2
-8870397	0	2
-8690217	0	2
-8449977	0	2
-8389917	0	2
-8035017	0	2
-7914897	0	2
-7314297	0	2
-7248777	0	2
-7188717	0	2
-6833817	0	2
-6167697	0	2
-6047577	0	2
-5992977	0	2
-5632617	0	2
-5446977	0	2
-5266797	0	2
-5032017	0	2
-4966497	0	2
-4611597	0	2
-3890877	0	2
-3885417	0	2
-3765297	0	2
-3710697	0	2
-3410397	0	2
-3164697	0	2
-2684217	0	2
-2209197	0	2
-1843377	0	2
-1483017	0	2
-1428417	0	2
-1188177	0	2
-882417	0	2
-461997	0	2
-287277	0	2
13023	0	2
258723	0	2
438903	0	2
