p=11 admissible a: 3/11
p=13 admissible a: 2/13
p=17 admissible a: 2/17
p=19 admissible a: 3/19
p=23 admissible a: 3/23
p=29 admissible a: 7/29
p=31 admissible a: 4/31
p=37 admissible a: 6/37
p=41 admissible a: 2/41
p=43 admissible a: 7/43
p=47 admissible a: 4/47
p=53 admissible a: 6/53
PROGRESS c9 d=27800 checked=10140379793 surv=7
PROGRESS c9 d=28000 checked=10213220619 surv=7
PROGRESS c9 d=28200 checked=10286205753 surv=7
PROGRESS c9 d=28400 checked=10359230419 surv=7
PROGRESS c9 d=28600 checked=10432069279 surv=7
PROGRESS c9 d=28800 checked=10505038363 surv=7
PROGRESS c9 d=29000 checked=10578136639 surv=7
PROGRESS c9 d=29200 checked=10650937905 surv=7
PROGRESS c9 d=29400 checked=10723902801 surv=7
SURVIVOR c9 a = -132715/29497
PROGRESS c9 d=29600 checked=10797036977 surv=8
PROGRESS c9 d=29800 checked=10869766763 surv=8
PROGRESS c9 d=30000 checked=10942785477 surv=8
SEARCH_DONE c9 HN=300000 HD=30000 checked=10942785477 survivors=8
