p	A	B	C	rho	sigma	pairing	M	N	reason
71	28	5	35	55	47	2	-1	-1	projective_MN_missing_6
71	28	5	35	55	47	3	-1	-1	projective_MN_missing_6
71	28	35	5	55	47	1	-1	-1	projective_MN_missing_6
71	28	35	5	55	47	2	-1	-1	projective_MN_missing_6
71	28	35	5	55	47	3	-1	-1	projective_MN_missing_6
71	28	58	63	37	9	1	-1	-1	projective_MN_missing_6
71	28	58	63	37	9	2	-1	-1	projective_MN_missing_6
71	28	58	63	37	9	3	-1	-1	projective_MN_missing_6
71	28	63	58	37	9	1	-1	-1	projective_MN_missing_6
71	28	63	58	37	9	2	-1	-1	projective_MN_missing_6
71	28	63	58	37	9	3	-1	-1	projective_MN_missing_6
71	33	57	69	24	16	1	-1	-1	projective_MN_missing_6
71	33	57	69	24	16	2	-1	-1	projective_MN_missing_6
71	33	57	69	24	16	3	-1	-1	projective_MN_missing_6
71	33	60	62	62	34	1	-1	-1	projective_MN_missing_6
71	33	60	62	62	34	2	-1	-1	projective_MN_missing_6
71	33	60	62	62	34	3	-1	-1	projective_MN_missing_6
71	33	62	60	62	34	1	-1	-1	projective_MN_missing_6
71	33	62	60	62	34	2	-1	-1	projective_MN_missing_6
71	33	62	60	62	34	3	-1	-1	projective_MN_missing_6
71	33	69	57	24	16	1	-1	-1	projective_MN_missing_6
71	33	69	57	24	16	2	-1	-1	projective_MN_missing_6
71	33	69	57	24	16	3	-1	-1	projective_MN_missing_6
71	34	9	42	4	3	1	-1	-1	projective_MN_missing_6
71	34	9	42	4	3	2	-1	-1	projective_MN_missing_6
71	34	9	42	4	3	3	-1	-1	projective_MN_missing_6
71	34	42	9	4	3	1	-1	-1	projective_MN_missing_6
71	34	42	9	4	3	2	-1	-1	projective_MN_missing_6
71	34	42	9	4	3	3	-1	-1	projective_MN_missing_6
71	35	5	28	55	47	1	-1	-1	projective_MN_missing_6
71	35	5	28	55	47	2	-1	-1	projective_MN_missing_6
71	35	5	28	55	47	3	-1	-1	projective_MN_missing_6
71	35	28	5	55	47	1	-1	-1	projective_MN_missing_6
71	35	28	5	55	47	2	-1	-1	projective_MN_missing_6
71	35	28	5	55	47	3	-1	-1	projective_MN_missing_6
71	41	9	66	68	62	1	-1	-1	projective_MN_missing_6
71	41	9	66	68	62	2	-1	-1	projective_MN_missing_6
71	41	9	66	68	62	3	-1	-1	projective_MN_missing_6
71	41	66	9	68	62	1	-1	-1	projective_MN_missing_6
71	41	66	9	68	62	2	-1	-1	projective_MN_missing_6
71	41	66	9	68	62	3	-1	-1	projective_MN_missing_6
71	42	9	34	4	3	1	-1	-1	projective_MN_missing_6
71	42	9	34	4	3	2	-1	-1	projective_MN_missing_6
71	42	9	34	4	3	3	-1	-1	projective_MN_missing_6
71	42	34	9	4	3	1	-1	-1	projective_MN_missing_6
71	42	34	9	4	3	2	-1	-1	projective_MN_missing_6
71	42	34	9	4	3	3	-1	-1	projective_MN_missing_6
71	57	33	69	24	16	1	-1	-1	projective_MN_missing_6
71	57	33	69	24	16	2	-1	-1	projective_MN_missing_6
71	57	33	69	24	16	3	-1	-1	projective_MN_missing_6
71	57	69	33	24	16	1	-1	-1	projective_MN_missing_6
71	57	69	33	24	16	2	-1	-1	projective_MN_missing_6
71	57	69	33	24	16	3	-1	-1	projective_MN_missing_6
71	58	28	63	37	9	1	-1	-1	projective_MN_missing_6
71	58	28	63	37	9	2	-1	-1	projective_MN_missing_6
71	58	28	63	37	9	3	-1	-1	projective_MN_missing_6
71	58	63	28	37	9	1	-1	-1	projective_MN_missing_6
71	58	63	28	37	9	2	-1	-1	projective_MN_missing_6
71	58	63	28	37	9	3	-1	-1	projective_MN_missing_6
71	60	33	62	62	34	1	-1	-1	projective_MN_missing_6
71	60	33	62	62	34	2	-1	-1	projective_MN_missing_6
71	60	33	62	62	34	3	-1	-1	projective_MN_missing_6
71	60	62	33	62	34	1	-1	-1	projective_MN_missing_6
71	60	62	33	62	34	2	-1	-1	projective_MN_missing_6
71	60	62	33	62	34	3	-1	-1	projective_MN_missing_6
71	62	33	60	62	34	1	-1	-1	projective_MN_missing_6
71	62	33	60	62	34	2	-1	-1	projective_MN_missing_6
71	62	33	60	62	34	3	-1	-1	projective_MN_missing_6
71	62	60	33	62	34	1	-1	-1	projective_MN_missing_6
71	62	60	33	62	34	2	-1	-1	projective_MN_missing_6
71	62	60	33	62	34	3	-1	-1	projective_MN_missing_6
71	63	28	58	37	9	1	-1	-1	projective_MN_missing_6
71	63	28	58	37	9	2	-1	-1	projective_MN_missing_6
71	63	28	58	37	9	3	-1	-1	projective_MN_missing_6
71	63	58	28	37	9	1	-1	-1	projective_MN_missing_6
71	63	58	28	37	9	2	-1	-1	projective_MN_missing_6
71	63	58	28	37	9	3	-1	-1	projective_MN_missing_6
71	66	9	41	68	62	1	-1	-1	projective_MN_missing_6
71	66	9	41	68	62	2	-1	-1	projective_MN_missing_6
71	66	9	41	68	62	3	-1	-1	projective_MN_missing_6
71	66	41	9	68	62	1	-1	-1	projective_MN_missing_6
71	66	41	9	68	62	2	-1	-1	projective_MN_missing_6
71	66	41	9	68	62	3	-1	-1	projective_MN_missing_6
71	69	33	57	24	16	1	-1	-1	projective_MN_missing_6
71	69	33	57	24	16	2	-1	-1	projective_MN_missing_6
71	69	33	57	24	16	3	-1	-1	projective_MN_missing_6
71	69	57	33	24	16	1	-1	-1	projective_MN_missing_6
71	69	57	33	24	16	2	-1	-1	projective_MN_missing_6
71	69	57	33	24	16	3	-1	-1	projective_MN_missing_6
