a	b	c	d	e1	e2	e3	e4	L	U	v
1	15	13	2	22	8	11	24	1	3	23
1	15	21	22	20	15	26	1	14	8	13
1	15	22	21	20	15	26	1	14	8	13
1	17	4	14	9	3	20	25	10	16	13
1	17	6	18	12	5	17	23	13	20	22
1	17	7	8	26	3	3	25	10	11	19
1	17	8	7	26	3	3	25	10	11	19
1	17	14	4	9	3	20	25	10	16	13
1	17	18	6	12	5	17	23	13	20	22
1	18	6	17	12	5	17	23	13	20	22
1	18	9	19	13	27	2	16	9	11	7
1	18	10	24	15	7	23	1	2	10	11
1	18	17	6	12	5	17	23	13	20	22
1	18	19	9	13	27	2	16	9	11	7
1	18	22	26	6	11	7	1	12	1	28
1	18	24	10	15	7	23	1	2	10	11
1	18	26	22	6	11	7	1	12	1	28
1	19	5	8	16	17	9	7	2	12	13
1	19	6	27	25	21	13	16	12	26	4
1	19	8	5	16	17	9	7	2	12	13
1	19	9	18	13	27	2	16	9	11	7
1	19	11	13	14	17	27	23	6	26	8
1	19	12	23	20	3	9	25	4	13	16
1	19	13	11	14	17	27	23	6	26	8
1	19	18	9	13	27	2	16	9	11	7
1	19	23	12	20	3	9	25	4	13	16
1	19	25	26	10	14	21	16	11	2	14
1	19	26	25	10	14	21	16	11	2	14
1	19	27	6	25	21	13	16	12	26	4
1	21	7	11	3	20	9	20	13	2	8
1	21	9	10	14	6	18	25	12	4	16
1	21	10	9	14	6	18	25	12	4	16
1	21	11	7	3	20	9	20	13	2	8
1	21	15	22	20	15	26	1	14	8	13
1	21	22	15	20	15	26	1	14	8	13
1	21	24	27	7	19	4	20	9	6	23
1	21	27	24	7	19	4	20	9	6	23
1	22	15	21	20	15	26	1	14	8	13
1	22	18	26	6	11	7	1	12	1	28
1	22	21	15	20	15	26	1	14	8	13
1	22	26	18	6	11	7	1	12	1	28
1	23	8	27	18	24	1	23	12	12	19
1	23	12	19	20	3	9	25	4	13	16
1	23	19	12	20	3	9	25	4	13	16
1	23	27	8	18	24	1	23	12	12	19
1	24	10	18	15	7	23	1	2	10	11
1	24	18	10	15	7	23	1	2	10	11
1	24	21	27	7	19	4	20	9	6	23
1	24	27	21	7	19	4	20	9	6	23
1	25	3	14	19	16	5	7	6	3	12
1	25	14	3	19	16	5	7	6	3	12
1	25	19	26	10	14	21	16	11	2	14
1	25	26	19	10	14	21	16	11	2	14
1	26	2	4	1	12	8	25	2	12	5
1	26	4	2	1	12	8	25	2	12	5
1	26	5	14	28	14	7	20	6	21	1
1	26	6	11	22	19	23	25	7	2	7
1	26	9	12	3	3	26	25	4	18	10
1	26	11	6	22	19	23	25	7	2	7
1	26	12	9	3	3	26	25	4	18	10
1	26	14	5	28	14	7	20	6	21	1
1	26	18	22	6	11	7	1	12	1	28
1	26	19	25	10	14	21	16	11	2	14
1	26	22	18	6	11	7	1	12	1	28
1	26	25	19	10	14	21	16	11	2	14
1	27	3	5	10	22	14	1	7	7	28
1	27	5	3	10	22	14	1	7	7	28
1	27	6	19	25	21	13	16	12	26	4
1	27	8	23	18	24	1	23	12	12	19
1	27	19	6	25	21	13	16	12	26	4
1	27	21	24	7	19	4	20	9	6	23
1	27	23	8	18	24	1	23	12	12	19
1	27	24	21	7	19	4	20	9	6	23
