u	t	w	center	a	b	c	d	y0	y1	y2	y3
137489	44528	88814	487	50	528	160325	160160	130680	128180	148104	74294
137489	59169	88814	488	50	528	160325	160160	130680	128180	148104	74294
137489	73810	88814	489	50	528	160325	160160	130680	128180	148104	74294
137489	88451	88814	490	50	528	160325	160160	130680	128180	148104	74294
137489	103092	88814	491	50	528	160325	160160	130680	128180	148104	74294
137489	117733	88814	492	50	528	160325	160160	130680	128180	148104	74294
137489	132374	88814	493	50	528	160325	160160	130680	128180	148104	74294
137489	147015	88814	494	50	528	160325	160160	130680	128180	148104	74294
137489	1936	88814	495	50	528	160325	160160	130680	128180	148104	74294
137489	16577	88814	496	50	528	160325	160160	130680	128180	148104	74294
137489	31218	88814	497	50	528	160325	160160	130680	128180	148104	74294
137489	45859	88814	498	50	528	160325	160160	130680	128180	148104	74294
137489	60500	88814	499	50	528	160325	160160	130680	128180	148104	74294
137489	75141	88814	500	50	528	160325	160160	130680	128180	148104	74294
137489	89782	88814	501	50	528	160325	160160	130680	128180	148104	74294
137489	104423	88814	502	50	528	160325	160160	130680	128180	148104	74294
137489	119064	88814	503	50	528	160325	160160	130680	128180	148104	74294
137489	133705	88814	504	50	528	160325	160160	130680	128180	148104	74294
137489	148346	88814	505	50	528	160325	160160	130680	128180	148104	74294
137489	3267	88814	506	50	528	160325	160160	130680	128180	148104	74294
137489	17908	88814	507	50	528	160325	160160	130680	128180	148104	74294
137489	32549	88814	508	50	528	160325	160160	130680	128180	148104	74294
137489	47190	88814	509	50	528	160325	160160	130680	128180	148104	74294
137489	61831	88814	510	50	528	160325	160160	130680	128180	148104	74294
137489	76472	88814	511	50	528	160325	160160	130680	128180	148104	74294
137489	91113	88814	512	50	528	160325	160160	130680	128180	148104	74294
137489	105754	88814	513	50	528	160325	160160	130680	128180	148104	74294
137489	120395	88814	514	50	528	160325	160160	130680	128180	148104	74294
137489	135036	88814	515	50	528	160325	160160	130680	128180	148104	74294
137489	149677	88814	516	50	528	160325	160160	130680	128180	148104	74294
137489	4598	88814	517	50	528	160325	160160	130680	128180	148104	74294
137489	19239	88814	518	50	528	160325	160160	130680	128180	148104	74294
137489	33880	88814	519	50	528	160325	160160	130680	128180	148104	74294
137489	48521	88814	520	50	528	160325	160160	130680	128180	148104	74294
137489	63162	88814	521	50	528	160325	160160	130680	128180	148104	74294
137489	77803	88814	522	50	528	160325	160160	130680	128180	148104	74294
137489	92444	88814	523	50	528	160325	160160	130680	128180	148104	74294
137489	107085	88814	524	50	528	160325	160160	130680	128180	148104	74294
137489	121726	88814	525	50	528	160325	160160	130680	128180	148104	74294
137489	136367	88814	526	50	528	160325	160160	130680	128180	148104	74294
137489	151008	88814	527	50	528	160325	160160	130680	128180	148104	74294
137489	5929	88814	528	50	528	160325	160160	130680	128180	148104	74294
137489	20570	88814	529	50	528	160325	160160	130680	128180	148104	74294
137489	35211	88814	530	50	528	160325	160160	130680	128180	148104	74294
137489	49852	88814	531	50	528	160325	160160	130680	128180	148104	74294
137489	64493	88814	532	50	528	160325	160160	130680	128180	148104	74294
137489	79134	88814	533	50	528	160325	160160	130680	128180	148104	74294
137489	93775	88814	534	50	528	160325	160160	130680	128180	148104	74294
137489	108416	88814	535	50	528	160325	160160	130680	128180	148104	74294
137489	123057	88814	536	50	528	160325	160160	130680	128180	148104	74294
137489	137698	88814	537	50	528	160325	160160	130680	128180	148104	74294
137489	152339	88814	538	50	528	160325	160160	130680	128180	148104	74294
137489	7260	88814	539	50	528	160325	160160	130680	128180	148104	74294
137489	21901	88814	540	50	528	160325	160160	130680	128180	148104	74294
137489	36542	88814	541	50	528	160325	160160	130680	128180	148104	74294
137489	51183	88814	542	50	528	160325	160160	130680	128180	148104	74294
137489	65824	88814	543	50	528	160325	160160	130680	128180	148104	74294
137489	80465	88814	544	50	528	160325	160160	130680	128180	148104	74294
137489	95106	88814	545	50	528	160325	160160	130680	128180	148104	74294
137489	109747	88814	546	50	528	160325	160160	130680	128180	148104	74294
137489	124388	88814	547	50	528	160325	160160	130680	128180	148104	74294
137489	139029	88814	548	50	528	160325	160160	130680	128180	148104	74294
137489	153670	88814	549	50	528	160325	160160	130680	128180	148104	74294
137489	8591	88814	550	50	528	160325	160160	130680	128180	148104	74294
137489	23232	88814	551	50	528	160325	160160	130680	128180	148104	74294
137489	37873	88814	552	50	528	160325	160160	130680	128180	148104	74294
137489	52514	88814	553	50	528	160325	160160	130680	128180	148104	74294
137489	67155	88814	554	50	528	160325	160160	130680	128180	148104	74294
137489	81796	88814	555	50	528	160325	160160	130680	128180	148104	74294
137489	96437	88814	556	50	528	160325	160160	130680	128180	148104	74294
137489	111078	88814	557	50	528	160325	160160	130680	128180	148104	74294
137489	125719	88814	558	50	528	160325	160160	130680	128180	148104	74294
137489	140360	88814	559	50	528	160325	160160	130680	128180	148104	74294
137489	155001	88814	560	50	528	160325	160160	130680	128180	148104	74294
137489	9922	88814	561	50	528	160325	160160	130680	128180	148104	74294
137489	24563	88814	562	50	528	160325	160160	130680	128180	148104	74294
137489	39204	88814	563	50	528	160325	160160	130680	128180	148104	74294
137489	53845	88814	564	50	528	160325	160160	130680	128180	148104	74294
137489	68486	88814	565	50	528	160325	160160	130680	128180	148104	74294
137489	83127	88814	566	50	528	160325	160160	130680	128180	148104	74294
137489	97768	88814	567	50	528	160325	160160	130680	128180	148104	74294
137489	112409	88814	568	50	528	160325	160160	130680	128180	148104	74294
137489	127050	88814	569	50	528	160325	160160	130680	128180	148104	74294
137489	141691	88814	570	50	528	160325	160160	130680	128180	148104	74294
137489	156332	88814	571	50	528	160325	160160	130680	128180	148104	74294
137489	11253	88814	572	50	528	160325	160160	130680	128180	148104	74294
137489	25894	88814	573	50	528	160325	160160	130680	128180	148104	74294
137489	40535	88814	574	50	528	160325	160160	130680	128180	148104	74294
137489	55176	88814	575	50	528	160325	160160	130680	128180	148104	74294
137489	69817	88814	576	50	528	160325	160160	130680	128180	148104	74294
137489	84458	88814	577	50	528	160325	160160	130680	128180	148104	74294
137489	99099	88814	578	50	528	160325	160160	130680	128180	148104	74294
137489	113740	88814	579	50	528	160325	160160	130680	128180	148104	74294
137489	128381	88814	580	50	528	160325	160160	130680	128180	148104	74294
137489	143022	88814	581	50	528	160325	160160	130680	128180	148104	74294
137489	157663	88814	582	50	528	160325	160160	130680	128180	148104	74294
137489	12584	88814	583	50	528	160325	160160	130680	128180	148104	74294
137489	27225	88814	584	50	528	160325	160160	130680	128180	148104	74294
137489	41866	88814	585	50	528	160325	160160	130680	128180	148104	74294
137489	56507	88814	586	50	528	160325	160160	130680	128180	148104	74294
137489	71148	88814	587	50	528	160325	160160	130680	128180	148104	74294
137489	85789	88814	588	50	528	160325	160160	130680	128180	148104	74294
137489	100430	88814	589	50	528	160325	160160	130680	128180	148104	74294
137489	115071	88814	590	50	528	160325	160160	130680	128180	148104	74294
137489	129712	88814	591	50	528	160325	160160	130680	128180	148104	74294
