BASE (1/2,1/4) s=97/128 t=5/4 rankbounds [3,3]
BASE (1/2,1/4) zvals=16
  D4 above=T3 pat=111 lam=[ 7344077832843704929472552286407645887385419882, 7344077832843704929472552286407645887385419882, 257793765564097709246865179028576244777911087040522, 255646606501675885315140823784876793753 ] d=[ 1, 1, 3918682526041, 4991 ] lam2ok=true def=[ 65179666625805189601, 258547146 ] compat=false
  D4 above=T2 pat=111 lam=[ -136977886018587034791155530333, -136977886018587034791155530333, -10305793100591953720709210237, -215181619573166410934697 ] d=[ 1, 1, 3918682526041, 4991 ] lam2ok=true def=[ 145150894447409, 3030703629 ] compat=false
  D4 above=T1 pat=111 lam=[ 81390385682894153380104091757785875454110303302, 81390385682894153380104091757785875454110303302, 66446755470907713934618850759463993909843755217993106707213958, 183701475731869576261063220634755756614871222533 ] d=[ 1, 1, 3918682526041, 4991 ] lam2ok=true def=[ 1515924837449055633041103568049, 821433868995193454 ] compat=false
  D4 above=T2 pat=111 lam=[ 136977886018587034791155530333, 136977886018587034791155530333, 3698033349629520124406697317, 2030191802059874398818663 ] d=[ 1, 1, 3918682526041, 4991 ] lam2ok=true def=[ 52084574486969, 28594029891 ] compat=false
  D4 above=T1 pat=111 lam=[ -13424541129156618392202919005143861277533782022, -13424541129156618392202919005143861277533782022, -10959736758019672692922636133605292869613566291628745207648838, -157363197185687445455760443525772162423692773403 ] d=[ 1, 1, 3918682526041, 4991 ] lam2ok=true def=[ 1515924837449055633041103568049, 87064419294421426 ] compat=false
  D4 above=T3 pat=111 lam=[ 1810172114972862579020335186642771798444509658, 1810172114972862579020335186642771798444509658, 63541141101617220238123098701989565823546533789818, 314492433934915739456719573492436332731087 ] d=[ 1, 1, 3918682526041, 4991 ] lam2ok=true def=[ 65179666625805189601, 1290408805686 ] compat=false
  D4 above=T3 pat=111 lam=[ 1810172114972862579020335186642771798444509658, 1810172114972862579020335186642771798444509658, 63541141101617220238123098701989565823546533789818, 314492433934915739456719573492436332731087 ] d=[ 1, 1, 3918682526041, 4991 ] lam2ok=true def=[ 65179666625805189601, 1290408805686 ] compat=false
  D4 above=T2 pat=111 lam=[ -136977886018587034791155530333, -136977886018587034791155530333, -10305793100591953720709210237, -215181619573166410934697 ] d=[ 1, 1, 3918682526041, 4991 ] lam2ok=true def=[ 145150894447409, 3030703629 ] compat=false
  D4 above=T1 pat=111 lam=[ -13424541129156618392202919005143861277533782022, -13424541129156618392202919005143861277533782022, -10959736758019672692922636133605292869613566291628745207648838, -157363197185687445455760443525772162423692773403 ] d=[ 1, 1, 3918682526041, 4991 ] lam2ok=true def=[ 1515924837449055633041103568049, 87064419294421426 ] compat=false
  D4 above=T2 pat=111 lam=[ 136977886018587034791155530333, 136977886018587034791155530333, 3698033349629520124406697317, 2030191802059874398818663 ] d=[ 1, 1, 3918682526041, 4991 ] lam2ok=true def=[ 52084574486969, 28594029891 ] compat=false
