2.0.11.1-10800.5-f8|-11|0,0,0,1,0,0,-705,115,-7072,1666|2,6|0
2.0.11.1-10800.5-g2|-11|0,0,0,1,0,0,-15,10,-22,133|6|0
2.0.11.1-10800.5-g4|-11|0,0,0,1,0,0,30,0,-19,49|6|0
2.0.11.1-10800.8-d1|-11|0,0,1,-1,0,0,-12,-12,-24,32|6|0
2.0.11.1-10800.8-d3|-11|0,0,1,-1,0,0,-7,-2,-10,0|6|0
2.0.11.1-10800.8-e2|-11|0,0,1,-1,0,0,-9365,-1915,-338046,-109621|6|0
2.0.11.1-10800.8-e3|-11|0,0,1,-1,0,0,-590,-115,-5406,-1666|2,6|0
2.0.11.1-10800.8-e4|-11|0,0,1,-1,0,0,560,-440,-27316,564|6|0
2.0.11.1-10800.8-e7|-11|0,0,1,-1,0,0,-1805,290,23511,-10333|6|0
2.0.11.1-10800.8-f3|-11|0,0,1,-1,0,0,-5,-10,111,-133|6|0
2.0.11.1-10800.8-f4|-11|0,0,1,-1,0,0,30,0,30,-49|6|0
2.0.11.1-10800.8-g2|-11|0,0,1,-1,0,0,-168,96,1452,692|6|0
2.0.11.1-10800.8-g3|-11|0,0,1,-1,0,0,102,-39,210,98|2,6|0
2.0.11.1-10800.8-g6|-11|0,0,1,-1,0,0,427,-214,-3345,-757|6|0
2.0.11.1-10800.8-g7|-11|0,0,1,-1,0,0,1587,-579,15978,8171|6|0
2.0.11.1-10860.1-a1|-11|0,1,1,0,0,0,29,1,-37,29|5|0
2.0.11.1-10860.8-a1|-11|1,1,1,-1,0,0,30,-1,-8,-29|5|0
2.0.11.1-11.1-a2|-11|0,0,-1,0,1,0,-10,0,-20,0|5|1
2.0.11.1-11.1-a3|-11|0,0,-1,0,1,0,0,0,0,0|5|1
2.0.11.1-1100.2-a2|-11|1,0,1,0,1,0,10,0,-45,0|5|1
2.0.11.1-11124.4-e1|-11|0,1,0,0,0,0,-723,110,-7946,2011|6|0
2.0.11.1-11124.4-e2|-11|0,1,0,0,0,0,-3,70,-626,-181|6|0
2.0.11.1-11124.5-f2|-11|1,1,0,-1,0,0,-613,-110,-5935,-2011|6|0
2.0.11.1-11124.5-f3|-11|1,1,0,-1,0,0,67,-70,-807,181|6|0
2.0.11.1-11280.1-a1|-11|0,0,1,0,0,0,-20,1,96,27|6|0
2.0.11.1-11280.1-a3|-11|0,0,1,0,0,0,15,-9,33,-2|6|0
2.0.11.1-11280.8-a1|-11|0,0,1,0,0,0,-19,-1,123,-27|6|0
2.0.11.1-11280.8-a3|-11|0,0,1,0,0,0,6,9,31,2|6|0
